"ch"	"Ring"	"Species"	"Year"	"Hatch_Date_simp"	"Day_of_Season"	"Sex"	"ID"	"Hatch_brood_size"
"1000000000000000000...00000000000000"	"FH47038"	"KIP"	"2013"	329	48	"M"	"KIP_2013_3"	2
"000100000000...000010000000000000000"	"FH47114"	"KIP"	"2013"	405	55	"F"	"KIP_2013_202"	NA
"1000000000000000...................."	"FH47116"	"KIP"	"2012"	524	105	"F"	"KIP_2012_62"	2
"000000000000100000000000000........."	"FH47118"	"KIP"	"2012"	513	94	"M"	"KIP_2012_-48"	NA
"00000000000000011000000001101......."	"FH47126"	"KIP"	"2012"	511	92	"M"	"KIP_2012_-49"	NA
"10000000000........................."	"FH47136"	"KIP"	"2012"	529	110	"M"	"KIP_2012_65"	2
"01111000000........................."	"FH47140"	"KIP"	"2012"	529	110	"F"	"KIP_2012_-50"	NA
"0001111000000......................."	"FH47145"	"KIP"	"2012"	527	108	"F"	"KIP_2012_-50"	NA
"0000.0000000000000000000001000000100"	"FH47149"	"KIP"	"2012"	504	85	"F"	"KIP_2012_-117"	NA
"01000000000........................."	"FH47152"	"KIP"	"2012"	529	110	"M"	"KIP_2012_65"	2
"00000000000.000000000000000000000100"	"FH47153"	"KIP"	"2012"	427	78	"F"	"KIP_2012_-51"	NA
"..0000.......0000000010000000000.000"	"FH47157"	"KIP"	"2012"	406	57	"M"	"KIP_2012_-21"	NA
"10010100............................"	"FH47164"	"KIP"	"2012"	601	113	"M"	"KIP_2012_114"	2
"10010100............................"	"FH47166"	"KIP"	"2012"	601	113	"M"	"KIP_2012_114"	2
"0010000............................."	"FH47167"	"KIP"	"2012"	602	114	"M"	"KIP_2012_-52"	NA
"10000000010011011...0000000000001000"	"FH47175"	"KIP"	"2013"	331	50	"M"	"KIP_2013_13"	2
"011000010010000000...000000000000000"	"FH47176"	"KIP"	"2013"	330	49	"M"	"KIP_2013_-101"	NA
"..0001000000000000000000000000000000"	"FH47179"	"KIP"	"2013"	418	68	"M"	"KIP_2013_-2"	NA
"0000000.0000000000000000000000100001"	"FH47181"	"KIP"	"2012"	501	82	"F"	"KIP_2012_-41"	NA
"000....0011000010010001000...0000000"	"FH47231"	"KIP"	"2013"	322	41	"M"	"KIP_2013_-101"	NA
"0.000000.00000.000.00.00000000000001"	"FH47324"	"KIP"	"2009"	510	90	"M"	"KIP_2009_-17"	NA
"100010000000...000000000000000000000"	"FH47355"	"KIP"	"2013"	405	55	"M"	"KIP_2013_8"	2
"10000010000...0000000000000000000000"	"FH47364"	"KIP"	"2013"	406	56	"F"	"KIP_2013_5"	2
"1010000000000...00000000000000000000"	"FH47393"	"KIP"	"2013"	404	54	"F"	"KIP_2013_17"	NA
"0110000000000...00000000000000000000"	"FH47399"	"KIP"	"2013"	404	54	"M"	"KIP_2013_206"	NA
"100000000...000000000000000000000000"	"FH47411"	"KIP"	"2013"	408	58	"M"	"KIP_2013_202"	NA
"00000000000000001000001000.........."	"FH47450"	"KIP"	"2012"	514	95	"M"	"KIP_2012_-111"	NA
"1000000000000000000...00000000000000"	"FH47478"	"KIP"	"2013"	329	48	"M"	"KIP_2013_1"	2
"1..........00......................."	"FH47533"	"KIP"	"2010"	402	52	"F"	"KIP_2010_FAMILY"	NA
"00..0100000..........00............."	"FH47539"	"KIP"	"2010"	323	42	"M"	"KIP_2010_"	NA
".1000000..........00................"	"FH47628"	"KIP"	"2010"	326	45	"F"	"KIP_2010_KTP-FAMILY"	NA
"1000000...00000000000000000000000000"	"FH47642"	"KIP"	"2013"	410	60	"M"	"KIP_2013_4"	2
"1000000..........00................."	"FH47654"	"KIP"	"2010"	327	46	"M"	"KIP_2010_KTP-FAMILY"	NA
"10000000010000000...0000000000000000"	"FH47659"	"KIP"	"2013"	331	50	"M"	"KIP_2013_13"	2
"001000..........00.................."	"FH47685"	"KIP"	"2010"	328	47	"M"	"KIP_2010_KTP-FAMILY"	NA
"1000000..........00................."	"FH47700"	"KIP"	"2010"	327	46	"F"	"KIP_2010_3"	NA
"1000000000000000000...00000000000000"	"FH47744"	"KIP"	"2013"	329	48	"F"	"KIP_2013_1"	2
"0..0001000..........00.............."	"FH47815"	"KIP"	"2010"	324	43	"F"	"KIP_2010_KTP_F1"	NA
"0000.000000.00010.000.00.00000000000"	"FH47997"	"KIP"	"2009"	507	87	"M"	"KIP_2009_-6"	NA
"100000000000000...000000000000000000"	"FH68713"	"KIP"	"2013"	402	52	"F"	"KIP_2013_40"	2
"100000000000000...000000000000000000"	"FH68717"	"KIP"	"2013"	402	52	"F"	"KIP_2013_40"	2
"10000000000000...0000000000000000000"	"FH68719"	"KIP"	"2013"	403	53	"M"	"KIP_2013_2"	2
"10000000000000...0000000000000000000"	"FH68720"	"KIP"	"2013"	403	53	"M"	"KIP_2013_2"	2
"10111.0010000000000.00000000000000.."	"FH68741"	"KIP"	"2015"	331	50	"M"	"KIP_2015_104"	NA
"1000000000.00000000000000..0000.0000"	"FH68742"	"KIP"	"2015"	409	59	"F"	"KIP_2015_417"	1
"100000000.00000000000000..0000.00000"	"FH68746"	"KIP"	"2015"	410	60	"M"	"KIP_2015_407"	2
"100000000.00000000000000..0000.00000"	"FH68747"	"KIP"	"2015"	410	60	"M"	"KIP_2015_407"	2
"100100110001.01001000010000..0000.00"	"FH68749"	"KIP"	"2015"	407	57	"F"	"KIP_2015_201"	2
"10000000000...0000000000000000000000"	"FH68764"	"KIP"	"2013"	406	56	"F"	"KIP_2013_5"	2
"10000...0000000000000000000000000000"	"FH68781"	"KIP"	"2013"	412	62	"F"	"KIP_2013_19"	2
"10000...0000000000000000000000000000"	"FH68782"	"KIP"	"2013"	412	62	"M"	"KIP_2013_19"	2
"100...000000000000000000000000000000"	"FH68793"	"KIP"	"2013"	414	64	"F"	"KIP_2013_25"	1
"000001...000000000000000000000000000"	"FH68794"	"KIP"	"2013"	411	61	"F"	"KIP_2013_20"	1
"10000000010000000010000000000......."	"FH68805"	"KIP"	"2012"	511	92	"M"	"KIP_2012_40"	2
"00.0010000000000000000000000000000.."	"FH68807"	"KIP"	"2012"	506	87	"F"	"KIP_2012_-114"	NA
"0.0010000000000000000000000000000..."	"FH68808"	"KIP"	"2012"	507	88	"F"	"KIP_2012_-114"	NA
"1000000000000000000000000..........."	"FH68836"	"KIP"	"2012"	515	96	"F"	"KIP_2012_44"	2
"1000000000000001100110000..........."	"FH68837"	"KIP"	"2012"	515	96	"M"	"KIP_2012_44"	2
"000.0000000100010000000000001000000."	"FH68838"	"KIP"	"2012"	505	86	"M"	"KIP_2012_-117"	NA
"010000000000100000000010............"	"FH68845"	"KIP"	"2012"	516	97	"M"	"KIP_2012_-118"	NA
"000100000000001000001001............"	"FH68849"	"KIP"	"2012"	516	97	"M"	"KIP_2012_-111"	NA
"10000000000000000000................"	"FH68853"	"KIP"	"2012"	520	101	"M"	"KIP_2012_10a"	NA
"10000000000000000000................"	"FH68854"	"KIP"	"2012"	520	101	"F"	"KIP_2012_10a"	NA
"000000110100000000000000000........."	"FH68857"	"KIP"	"2012"	513	94	"F"	"KIP_2012_-44"	NA
"100000000000000000.................."	"FH68863"	"KIP"	"2012"	522	103	"M"	"KIP_2012_117"	1
"000000000100001100000010000........."	"FH68865"	"KIP"	"2012"	513	94	"M"	"KIP_2012_-119"	NA
"1000000000...00000000000000000000000"	"FH68876"	"KIP"	"2013"	407	57	"M"	"KIP_2013_7"	1
"110000000...000000000000000000000000"	"FH68877"	"KIP"	"2013"	408	58	"M"	"KIP_2013_31"	2
"00000010000000...0000000000010000000"	"FH68878"	"KIP"	"2013"	403	53	"M"	"KIP_2013_8"	2
"010000000...000000000000000000000000"	"FH68881"	"KIP"	"2013"	408	58	"M"	"KIP_2013_31"	2
"1000000...00000000000000000000000000"	"FH68882"	"KIP"	"2013"	410	60	"F"	"KIP_2013_15"	1
"1000000...00000000000000000000000000"	"FH68884"	"KIP"	"2013"	410	60	"F"	"KIP_2013_6"	2
"1000000...00000000000000000000000000"	"FH68885"	"KIP"	"2013"	410	60	"M"	"KIP_2013_6"	2
"100000...000000000000000000000000000"	"FH68886"	"KIP"	"2013"	411	61	"M"	"KIP_2013_12"	1
"010000...000000000000000000000000000"	"FH68890"	"KIP"	"2013"	411	61	"M"	"KIP_2013_205"	NA
"10000...0000011000000000000000000000"	"FH68894"	"KIP"	"2013"	412	62	"F"	"KIP_2013_29"	2
"0001000...00000000100010000000000000"	"FH68897"	"KIP"	"2013"	410	60	"F"	"KIP_2013_203"	NA
"0001000...00000000100010000000000000"	"FH68898"	"KIP"	"2013"	410	60	"F"	"KIP_2013_203"	NA
"10000...0000000000000000000000000000"	"FH68900"	"KIP"	"2013"	412	62	"F"	"KIP_2013_205"	NA
"100...000000000000000000000000000000"	"FH68901"	"KIP"	"2013"	414	64	"F"	"KIP_2013_33"	2
"10...0000000000000000000000000000000"	"FH68912"	"KIP"	"2013"	415	65	"M"	"KIP_2013_38"	1
"..0100000000000000000000000000000000"	"FH68923"	"KIP"	"2013"	418	68	"F"	"KIP_2013_-102"	NA
"0...01000000000000000000000000000000"	"FH68926"	"KIP"	"2013"	416	66	"F"	"KIP_2013_105"	NA
"0...01000000000000000000000000000000"	"FH68927"	"KIP"	"2013"	416	66	"F"	"KIP_2013_105"	NA
"..0100000000000000000000000000000000"	"FH68928"	"KIP"	"2013"	418	68	"M"	"KIP_2013_-103"	NA
".00100000000000010000100000000000000"	"FH68929"	"KIP"	"2013"	419	69	"M"	"KIP_2013_-103"	NA
"1000000000000000000000000000000000.0"	"FH68931"	"KIP"	"2013"	422	72	"F"	"KIP_2013_80"	2
"1000000000000000000000000000000000.0"	"FH68932"	"KIP"	"2013"	422	72	"M"	"KIP_2013_80"	2
"0...00010000000000000000000000000000"	"FH68938"	"KIP"	"2013"	416	66	"M"	"KIP_2013_-104"	NA
"0...00010000000000000000000000000000"	"FH68939"	"KIP"	"2013"	416	66	"F"	"KIP_2013_-104"	NA
"100000000000000000000000000000000.0."	"FH68942"	"KIP"	"2013"	423	73	"F"	"KIP_2013_108"	2
"100000000000000000000000000000000.0."	"FH68945"	"KIP"	"2013"	423	73	"F"	"KIP_2013_134"	NA
"0010000000000000000000000000000000.0"	"FH68953"	"KIP"	"2013"	422	72	"F"	"KIP_2013_-105"	NA
"00000000...0000100000000000000000000"	"FH68954"	"KIP"	"2013"	409	59	"M"	"KIP_2013_-106"	NA
".00001000000000000000000000000000000"	"FH68957"	"KIP"	"2013"	419	69	"M"	"KIP_2013_-107"	NA
".00001000000000000000000000000000000"	"FH68958"	"KIP"	"2013"	419	69	"F"	"KIP_2013_-107"	NA
"000010000000000000000000000000000000"	"FH68959"	"KIP"	"2013"	420	70	"F"	"KIP_2013_-108"	NA
"0010000000000000000000000000000000.0"	"FH68960"	"KIP"	"2013"	422	72	"M"	"KIP_2013_-108"	NA
"001000000000000010100000000000000.0."	"FH68961"	"KIP"	"2013"	423	73	"F"	"KIP_2013_-109"	NA
"0100000000000000000000000000000.0..."	"FH68966"	"KIP"	"2013"	425	75	"F"	"KIP_2013_161"	2
"0100000000000000000000000000000.0..."	"FH68967"	"KIP"	"2013"	425	75	"F"	"KIP_2013_161"	2
"000101000000000000000000000000000.0."	"FH68969"	"KIP"	"2013"	423	73	"F"	"KIP_2013_136"	NA
"0100000000000000000000000000000.0..."	"FH68971"	"KIP"	"2013"	425	75	"M"	"KIP_2013_-110"	NA
"...000000100000000000000000000000000"	"FH68972"	"KIP"	"2013"	417	67	"M"	"KIP_2013_36"	1
"00100000000000000000000000000000.0.."	"FH68973"	"KIP"	"2013"	424	74	"M"	"KIP_2013_-111"	NA
"..0000001000000000000000000000000000"	"FH68975"	"KIP"	"2013"	418	68	"M"	"KIP_2013_-112"	NA
".00000010000000000000000000000000000"	"FH68976"	"KIP"	"2013"	419	69	"F"	"KIP_2013_-112"	NA
"000000011000000100100000001000000000"	"FH68978"	"KIP"	"2013"	420	70	"F"	"KIP_2013_-113"	NA
".00000000100000000000000000000000000"	"FH68982"	"KIP"	"2013"	419	69	"M"	"KIP_2013_-114"	NA
"00000001000001100000000001000000000."	"FH68985"	"KIP"	"2013"	421	71	"F"	"KIP_2013_129"	NA
"0000001000001100000000001000000000.0"	"FH68986"	"KIP"	"2013"	422	72	"F"	"KIP_2013_129"	NA
"01000000000000000000000000000.0...00"	"FH68987"	"KIP"	"2013"	427	77	"M"	"KIP_2013_160"	2
