"ch"	"Ring"	"Species"	"Year"	"Hatch_Date_simp"	"Day_of_Season"	"Sex"	"ID"	"Hatch_brood_size"
"0000000000000.0000000000000000000001"	"FH17806"	"MP"	"2012"	425	76	"F"	"MP_2012_"	NA
"01000.00.00..000..000000..00000.0000"	"FH17885"	"MP"	"2009"	410	60	"F"	"MP_2009_12B"	NA
"1000000000000000...00000000000000000"	"FH47064"	"MP"	"2013"	401	51	"M"	"MP_2013_1"	1
"0000000000000.0000000000000000000001"	"FH47163"	"MP"	"2012"	425	76	"F"	"MP_2012_"	NA
"..0010000000000000000000000000000000"	"FH47192"	"MP"	"2013"	418	68	"F"	"MP_2013_9"	2
"0...00100000000000000100000000000000"	"FH47193"	"MP"	"2013"	416	66	"M"	"MP_2013_9"	2
"0.0.1.0.0.000000000.000...0.00.000.."	"FH47421"	"MP"	"2010"	219	10	"M"	"MP_2010_1"	2
"1000000010000000...00000000000000000"	"FH47437"	"MP"	"2013"	401	51	"F"	"MP_2013_2"	1
"1.0.0.0.0.000000000.000...0.00.000.."	"FH47603"	"MP"	"2010"	219	10	"M"	"MP_2010_1"	2
"......000.0.1.0.0.000000000.000...0."	"FH47607"	"MP"	"2010"	211	2	"M"	"MP_2010_4"	NA
"100...0.00.000..0000000..........00."	"FH47806"	"MP"	"2010"	311	30	"M"	"MP_2010_201"	1
"10000..........00..................."	"FH47895"	"MP"	"2010"	329	48	"M"	"MP_2010_206"	NA
"10000..........00..................."	"FH47896"	"MP"	"2010"	329	48	"F"	"MP_2010_206"	NA
"10000000000000000000000000000000000."	"FH68921"	"MP"	"2013"	421	71	"M"	"MP_2013_-101"	NA
"10000000001000000000000000000000000."	"FH68922"	"MP"	"2013"	421	71	"M"	"MP_2013_-101"	NA
"100000000000000000000000000000000.0."	"FH68936"	"MP"	"2013"	423	73	"M"	"MP_2013_102"	NA
"010000000000000000000000000000000.0."	"FH68946"	"MP"	"2013"	423	73	"M"	"MP_2013_-102"	NA
"010001000000000000100001000000100.0."	"FH68947"	"MP"	"2013"	423	73	"F"	"MP_2013_-103"	NA
"10000000000010000000000000000000.0.."	"FH68948"	"MP"	"2013"	424	74	"M"	"MP_2013_207"	NA
"10000000000010000000000000000000.0.."	"FH68951"	"MP"	"2013"	424	74	"M"	"MP_2013_207"	NA
"001.......0000000000000000000.000000"	"FH69226"	"MP"	"2012"	409	60	"F"	"MP_2012_-1"	NA
"0001.......0000000000000000000.00000"	"FH69227"	"MP"	"2012"	408	59	"M"	"MP_2012_-1"	NA
"1000000100000000000000000000000.0..."	"FH72101"	"MP"	"2013"	425	75	"F"	"MP_2013_8"	2
"1000000000000000000000000000000.0..."	"FH72102"	"MP"	"2013"	425	75	"M"	"MP_2013_8"	2
"000000000010000000000000000000.0...0"	"FH72148"	"MP"	"2013"	426	76	"F"	"MP_2013_-1"	NA
"100000000000000001000000000.0...0000"	"FH72201"	"MP"	"2013"	429	79	"F"	"MP_2013_26"	2
"100000000000000000000000000.0...0000"	"FH72203"	"MP"	"2013"	429	79	"M"	"MP_2013_26"	2
"00010000000000000000000000000.0...00"	"FH72216"	"MP"	"2013"	427	77	"F"	"MP_2013_210"	NA
"100000000000000000000000.0...0000000"	"FH72230"	"MP"	"2013"	502	82	"F"	"MP_2013_15"	2
"100000000000000000000000.0...0000000"	"FH72237"	"MP"	"2013"	502	82	"M"	"MP_2013_15"	2
"100000000000000000000000.0...0000000"	"FH72238"	"MP"	"2013"	502	82	"F"	"MP_2013_24"	2
"001000000000000000000000.0...0000000"	"FH72246"	"MP"	"2013"	502	82	"M"	"MP_2013_24"	2
