"ch"	"Ring"	"Species"	"Year"	"Hatch_Date_simp"	"Day_of_Season"	"Sex"	"ID"	"Hatch_brood_size"
"0100000000000000000000000000.0...000"	"120WfP1"	"WFP"	"2013"	428	78	"M"	"WFP_2013_120"	NA
"0100000000000000000000000000.0...000"	"120WfP2"	"WFP"	"2013"	428	78	"M"	"WFP_2013_120"	NA
"1.............................000000"	"FH17861"	"WFP"	"2009"	303	22	"F"	"WFP_2009_5"	NA
"1010000010000001...................."	"FH47111"	"WFP"	"2012"	524	105	"F"	"WFP_2012_38"	1
"0100000000000000...00000000000000000"	"FH47119"	"WFP"	"2013"	401	51	"M"	"WFP_2013_102"	2
"000000.00000000000000000001000000000"	"FH47133"	"WFP"	"2012"	502	83	"F"	"WFP_2012_106"	2
"0000000000000000010000000100........"	"FH47134"	"WFP"	"2012"	512	93	"M"	"WFP_2012_-19"	NA
"10.................................."	"FH47173"	"WFP"	"2012"	607	119	"F"	"WFP_2012_20"	1
"11000000100...0000000000000000000000"	"FH47178"	"WFP"	"2013"	406	56	"M"	"WFP_2013_103"	3
"0000.0000000000000100000000000000000"	"FH47252"	"WFP"	"2012"	504	85	"M"	"WFP_2012_22"	2
".......100000.......0000.......00010"	"FH47357"	"WFP"	"2012"	319	39	"F"	"WFP_2012_-7"	NA
"1000000000000000...00000000000000000"	"FH47366"	"WFP"	"2013"	401	51	"M"	"WFP_2013_102"	2
".............0.00100...........000.1"	"FH47387"	"WFP"	"2011"	424	74	"F"	"WFP_2011_-3"	NA
".....0010000........................"	"FH47492"	"WFP"	"2011"	608	119	"M"	"WFP_2011_-6"	NA
"........100000.......0000.......0001"	"FH47617"	"WFP"	"2012"	318	38	"F"	"WFP_2012_-7"	NA
"1000000...00000000000000000000000000"	"FH68774"	"WFP"	"2013"	410	60	"M"	"WFP_2013_27"	1
"000000.00001000010000000000000000000"	"FH68820"	"WFP"	"2012"	502	83	"F"	"WFP_2012_106"	2
"000000.00001000000000000000000000000"	"FH68821"	"WFP"	"2012"	502	83	"F"	"WFP_2012_106"	2
".......0000000000000000000.000011000"	"FH68823"	"WFP"	"2012"	412	63	"M"	"WFP_2012_-112"	NA
"01011111100...0010100000000000000000"	"FH68870"	"WFP"	"2013"	406	56	"F"	"WFP_2013_103"	3
"1000...00000000000000000000000000000"	"FH68895"	"WFP"	"2013"	413	63	"F"	"WFP_2013_5"	3
"0100...00000000000000000000000000000"	"FH68903"	"WFP"	"2013"	413	63	"F"	"WFP_2013_5"	3
"0110...00000000000000000000000000000"	"FH68913"	"WFP"	"2013"	413	63	"F"	"WFP_2013_5"	3
"010000000000000000000000000000000000"	"FH68924"	"WFP"	"2013"	420	70	"F"	"WFP_2013_112"	NA
"10000000000000000000000000000000000."	"FH68925"	"WFP"	"2013"	421	71	"M"	"WFP_2013_112"	NA
"100000000000000000000000000000000.0."	"FH68934"	"WFP"	"2013"	423	73	"F"	"WFP_2013_106"	NA
"100000000000000000000000000000000.0."	"FH68935"	"WFP"	"2013"	423	73	"M"	"WFP_2013_106"	NA
".00001001000000000000000000000000000"	"FH68955"	"WFP"	"2013"	419	69	"F"	"WFP_2013_-101"	NA
".00001001000100000000000000000000000"	"FH68956"	"WFP"	"2013"	419	69	"F"	"WFP_2013_-101"	NA
"1101001100100000000000000000.0...000"	"FH68992"	"WFP"	"2013"	428	78	"M"	"WFP_2013_120"	NA
"101000000000000000000000000.0...0000"	"FH68996"	"WFP"	"2013"	429	79	"M"	"WFP_2013_121"	NA
"101000000010000000000000000.0...0000"	"FH68997"	"WFP"	"2013"	429	79	"M"	"WFP_2013_121"	NA
"101000000010000000000000000.0...0000"	"FH68998"	"WFP"	"2013"	429	79	"M"	"WFP_2013_121"	NA
"....0000.......0000001000000000000.0"	"FH69013"	"WFP"	"2012"	404	55	"F"	"WFP_2012_-102"	NA
".......0000.......000000100000000000"	"FH69014"	"WFP"	"2012"	401	52	"M"	"WFP_2012_-102"	NA
"000.......0000.......000000010000000"	"FH69023"	"WFP"	"2012"	329	49	"F"	"WFP_2012_-104"	NA
"00001000000000.001000000000000000000"	"FH69031"	"WFP"	"2012"	424	75	"M"	"WFP_2012_-106"	NA
"000000001000000000.00100000000000000"	"FH69032"	"WFP"	"2012"	420	71	"F"	"WFP_2012_-106"	NA
"00.......0000.......0000000000100000"	"FH69107"	"WFP"	"2012"	330	50	"F"	"WFP_2012_-12"	NA
"000001100000000.11000000000000100000"	"FH69110"	"WFP"	"2012"	423	74	"F"	"WFP_2012_-107"	NA
"000.......0000.......000000000010000"	"FH69117"	"WFP"	"2012"	329	49	"M"	"WFP_2012_-13"	NA
"......0000000000000000000.0010000000"	"FH69138"	"WFP"	"2012"	413	64	"F"	"WFP_2012_-14"	NA
"000.0010010000000000000000000000000."	"FH69141"	"WFP"	"2012"	505	86	"M"	"WFP_2012_-15"	NA
"00.0010000000000000010000000000000.."	"FH69142"	"WFP"	"2012"	506	87	"M"	"WFP_2012_-15"	NA
"...0000000000000000000.0000110000000"	"FH69153"	"WFP"	"2012"	416	67	"M"	"WFP_2012_-16"	NA
"......0000000000000000000.0000010000"	"FH69159"	"WFP"	"2012"	413	64	"M"	"WFP_2012_-16"	NA
"0000010000001000000001000000000....."	"FH69164"	"WFP"	"2012"	509	90	"M"	"WFP_2012_-17"	NA
"11010000000000000000000000.........."	"FH69167"	"WFP"	"2012"	514	95	"M"	"WFP_2012_32"	2
"0.0000000001000000000100000000010..."	"FH69177"	"WFP"	"2012"	507	88	"M"	"WFP_2012_-18"	NA
