"population" "no_chicks" "clutch_size" "year" "male" "female" "family_ID"
"KIP" 0 "2" 2015 "bird_5507" "bird_5503" "family_417"
"MP" 0 "2" 2015 "bird_4039" "bird_5078" "family_2117"
"WFP" 0 "3" 2015 "bird_4962" "bird_4946" "family_2858"
"KIP" 0 "2" 2015 "bird_5686" "bird_5685" "family_361"
"KIP" 0 "2" 2015 "bird_5691" "bird_5689" "family_360"
"MP" 0 "2" 2015 "bird_4039" "bird_5078" "family_2116"
"MP" 0 "2" 2015 "bird_4188" "bird_4775" "family_2115"
"MP" 0 "2" 2015 "bird_4039" "bird_5078" "family_2114"
"WFP" 0 "2" 2015 "bird_4871" "bird_4678" "family_2857"
"WFP" 0 "3" 2015 "bird_5066" "bird_5678" "family_2856"
"WFP" 0 "3" 2015 "bird_4697" "bird_4706" "family_2855"
"WFP" 0 "2" 2015 "bird_5035" "bird_5279" "family_2854"
"WFP" 0 "3" 2015 "bird_4339" "bird_4142" "family_2853"
"WFP" 0 "2" 2015 "bird_4962" "bird_4946" "family_2852"
"WFP" 0 "3" 2015 "bird_4796" "bird_5623" "family_2851"
"KIP" 0 "2" 2015 "bird_5675" "bird_5674" "family_359"
"KIP" 1 "2" 2015 "bird_5688" "bird_5666" "family_358"
"KIP" 0 "2" 2015 "bird_5665" "bird_5672" "family_357"
"KIP" 0 "2" 2015 "bird_5682" "bird_5677" "family_356"
"KIP" 0 "2" 2015 "bird_5663" "bird_5662" "family_355"
"KIP" 0 "2" 2015 "bird_5668" "bird_5659" "family_354"
"KIP" 0 "2" 2015 "bird_5278" "bird_5681" "family_353"
"KIP" 0 "2" 2015 "bird_5667" "bird_5661" "family_352"
"KIP" 0 "2" 2015 "bird_5676" "bird_5671" "family_351"
"KIP" 0 "2" 2015 "bird_4465" "bird_4067" "family_350"
"KIP" 1 "2" 2015 "bird_5640" "bird_5644" "family_349"
"KIP" 0 "2" 2015 "bird_5653" "bird_5643" "family_347"
"KIP" 0 "2" 2015 "bird_5647" "bird_5639" "family_346"
"KIP" 0 "2" 2015 "bird_5654" "bird_5642" "family_345"
"KIP" 2 "2" 2015 "bird_5638" "bird_5631" "family_344"
"KIP" 0 "2" 2015 "bird_5650" "bird_4736" "family_342"
"KIP" 0 "2" 2015 "bird_5634" "bird_5637" "family_341"
"KIP" 0 "2" 2015 "bird_5625" "bird_5629" "family_340"
"KIP" 0 "2" 2015 "bird_5648" "bird_5636" "family_339"
"KIP" 2 "2" 2015 "bird_5626" "bird_4162" "family_338"
"KIP" 0 "2" 2015 "bird_4430" "bird_4406" "family_335"
"KIP" 0 "2" 2015 "bird_4684" "bird_4424" "family_334"
"KIP" 2 "2" 2015 "bird_4935" "bird_4056" "family_337"
"KIP" 2 "2" 2015 "bird_5656" "bird_4717" "family_333"
"WFP" 0 "5" 2015 "bird_5757" "bird_4140" "family_2862"
"WFP" 0 "2" 2015 "bird_5779" "bird_5755" "family_2861"
"WFP" 1 "2" 2015 "bird_4710" "bird_5288" "family_2860"
"WFP" 0 "3" 2015 "bird_4530" "bird_4271" "family_2859"
"MP" 0 "2" 2015 "bird_5761" "bird_5756" "family_2121"
"MP" 0 "2" 2015 "bird_5918" "bird_5927" "family_2120"
"MP" 1 "2" 2015 "bird_5919" "bird_4029" "family_2119"
"MP" 2 "2" 2015 "bird_4175" "bird_4189" "family_2118"
"MP" 2 "2" 2015 "bird_4175" "bird_4189" "family_2118"
"KIP" 1 "2" 2015 "bird_5785" "bird_5759" "family_391"
"KIP" 0 "2" 2015 "bird_5925" "bird_4519" "family_390"
"KIP" 2 "2" 2015 "bird_5753" "bird_5768" "family_389"
"KIP" 2 "2" 2015 "bird_5782" "bird_5921" "family_386"
"KIP" 0 "2" 2015 "bird_5758" "bird_4165" "family_384"
"KIP" 0 "2" 2015 "bird_4703" "bird_5930" "family_383"
"KIP" 0 "2" 2015 "bird_4049" "bird_5924" "family_382"
"KIP" 1 "2" 2015 "bird_5762" "bird_5914" "family_381"
"KIP" 2 "2" 2015 "bird_5771" "bird_4987" "family_380"
"KIP" 0 "2" 2015 "bird_5778" "bird_5915" "family_378"
"KIP" 0 "2" 2015 "bird_5916" "bird_5908" "family_376"
"KIP" 0 "2" 2015 "bird_4719" "bird_5912" "family_375"
"KIP" 2 "2" 2015 "bird_5907" "bird_5910" "family_374"
"KIP" 2 "2" 2015 "bird_5335" "bird_5913" "family_372"
"KIP" 1 "2" 2015 "bird_5922" "bird_5751" "family_370"
"KIP" 0 "2" 2015 "bird_5900" "bird_5903" "family_369"
"KIP" 2 "2" 2015 "bird_5905" "bird_4565" "family_368"
"KIP" 2 "2" 2015 "bird_4593" "bird_5897" "family_366"
"KIP" 2 "1" 2015 "bird_5635" "bird_5624" "family_364"
"KIP" 0 "2" 2015 "bird_5622" "bird_5621" "family_362"
"WFP" 0 "3" 2015 "bird_5081" "bird_5869" "family_2869"
"WFP" 0 "3" 2015 "bird_5081" "bird_5869" "family_2869"
"WFP" 0 "2" 2015 "bird_5842" "bird_4401" "family_2867"
"WFP" 0 "1" 2015 "bird_4238" "bird_4237" "family_2866"
"WFP" 0 "2" 2015 "bird_5838" "bird_4276" "family_2865"
"WFP" 0 "3" 2015 "bird_4238" "bird_4237" "family_2864"
"WFP" 0 "2" 2015 "bird_4389" "bird_4567" "family_2863"
"MP" 0 "2" 2015 "bird_4375" "bird_4041" "family_2126"
"MP" 0 "2" 2015 "bird_4398" "bird_4507" "family_2125"
"MP" 0 "2" 2015 "bird_5113" "bird_5112" "family_2124"
"MP" 0 "2" 2015 "bird_4037" "bird_4403" "family_2123"
"MP" 0 "2" 2015 "bird_4060" "bird_4062" "family_2122"
"KIP" 0 "2" 2015 "bird_5857" "bird_5827" "family_415"
"KIP" 0 "2" 2015 "bird_5828" "bird_5829" "family_414"
"KIP" 0 "2" 2015 "bird_5833" "bird_5834" "family_413"
"KIP" 0 "2" 2015 "bird_5858" "bird_5846" "family_412"
"KIP" 0 "2" 2015 "bird_4400" "bird_4373" "family_411"
"KIP" 0 "2" 2015 "bird_4384" "bird_4391" "family_410"
"KIP" 0 "2" 2015 "bird_5876" "bird_5837" "family_409"
"KIP" 0 "1" 2015 "bird_4386" "bird_4402" "family_407"
"KIP" 0 "2" 2015 "bird_4378" "bird_4396" "family_406"
"KIP" 0 "2" 2015 "bird_5847" "bird_5832" "family_405"
"KIP" 0 "2" 2015 "bird_4395" "bird_4377" "family_404"
"KIP" 0 "2" 2015 "bird_4385" "bird_4392" "family_403"
"KIP" 0 "2" 2015 "bird_4393" "bird_4381" "family_402"
"KIP" 0 "2" 2015 "bird_4394" "bird_4376" "family_401"
"KIP" 0 "2" 2015 "bird_5285" "bird_4365" "family_400"
"KIP" 0 "2" 2015 "bird_4755" "bird_4379" "family_399"
"KIP" 0 "2" 2015 "bird_4042" "bird_4380" "family_398"
"KIP" 0 "2" 2015 "bird_4513" "bird_4683" "family_395"
"KIP" 0 "1" 2015 "bird_4870" "bird_4448" "family_393"
"KIP" 0 "2" 2015 "bird_4585" "bird_4508" "family_392"
"WFP" NA NA 2015 "bird_5822" "bird_6201" "family_2875"
"WFP" NA NA 2015 "bird_5821" "bird_6202" "family_2874"
"WFP" NA NA 2015 "bird_4082" "bird_5082" "family_2873"
"WFP" NA NA 2015 "bird_4082" "bird_5082" "family_2873"
"WFP" 0 NA 2015 "bird_5511" "bird_4950" "family_2870"
"MP" 0 NA 2015 "bird_5978" "bird_5979" "family_2128"
"MP" 0 NA 2015 "bird_5892" "bird_5549" "family_2127"
"KIP" NA NA 2015 "bird_6142" "bird_6144" "family_449"
"KIP" NA NA 2015 "bird_6145" "bird_5977" "family_448"
"KIP" NA NA 2015 "bird_6003" "bird_5976" "family_447"
"KIP" NA NA 2015 "bird_5726" "bird_5712" "family_446"
"KIP" NA NA 2015 "bird_5536" "bird_5543" "family_441"
"KIP" NA NA 2015 "bird_5535" "bird_4298" "family_440"
"KIP" NA NA 2015 "bird_5744" "bird_5720" "family_435"
"KIP" NA NA 2015 "bird_5721" "bird_5986" "family_433"
"KIP" NA NA 2015 "bird_5555" "bird_5732" "family_425"
"KIP" 0 NA 2015 "bird_5508" "bird_5509" "family_423"
"KIP" 0 NA 2015 "bird_5506" "bird_5510" "family_422"
"MP" 0 "2" 2015 "bird_4037" "bird_4403" "family_2113"
"WFP" NA "2" 2015 "bird_4473" "bird_4341" "family_2850"
"MP" NA "2" 2015 "bird_4035" "bird_4309" "family_2112"
"KIP" NA "2" 2015 "bird_5272" "bird_5944" "family_331"
"MP" 0 "2" 2015 "bird_5273" "bird_4826" "family_2111"
"KIP" 0 "2" 2015 "bird_5268" "bird_5158" "family_329"
"KIP" NA "2" 2015 "bird_5269" "bird_5936" "family_328"
"KIP" 0 "2" 2015 "bird_4819" "bird_5275" "family_327"
"KIP" 0 "2" 2015 "bird_5937" "bird_5274" "family_326"
"KIP" 0 "2" 2015 "bird_5276" "bird_5238" "family_325"
"MP" NA "2" 2015 "bird_4334" "bird_5270" "family_2110"
"KIP" NA "2" 2015 "bird_4716" "bird_5243" "family_322"
"MP" NA "2" 2015 "bird_5249" "bird_5256" "family_2109"
"KIP" 0 "2" 2015 "bird_5250" "bird_5244" "family_321"
"WFP" NA "3" 2015 "bird_4137" "bird_4722" "family_2848"
"KIP" NA "2" 2015 "bird_5293" "bird_4792" "family_319"
"MP" NA "2" 2015 "bird_4110" "bird_4055" "family_2108"
"KIP" NA "2" 2015 "bird_5952" "bird_4172" "family_317"
"KIP" 0 "2" 2015 "bird_4898" "bird_5239" "family_315"
"KIP" 2 "2" 2015 "bird_4592" "bird_5237" "family_314"
"KIP" 0 "2" 2015 "bird_4411" "bird_4408" "family_312"
"KIP" NA "2" 2015 "bird_5125" "bird_4136" "family_311"
"WFP" 0 "2" 2015 "bird_4473" "bird_4341" "family_2846"
"WFP" 0 "1" 2015 "bird_4238" "bird_4237" "family_2845"
"KIP" 0 "2" 2015 "bird_5898" "bird_5896" "family_309"
"WFP" 0 "2" 2015 "bird_4339" "bird_4142" "family_2844"
"KIP" 0 "2" 2015 "bird_4465" "bird_4067" "family_307"
"KIP" NA "2" 2015 "bird_4436" "bird_5620" "family_306"
"KIP" NA "2" 2015 "bird_4436" "bird_5620" "family_306"
"KIP" 1 "2" 2014 "bird_5428" "bird_5424" "family_263"
"KIP" 0 "2" 2014 "bird_5417" "bird_5419" "family_252"
"KIP" 0 "1" 2014 "bird_5382" "bird_5381" "family_244"
"KIP" 0 "2" 2014 "bird_5072" "bird_5071" "family_268"
"KIP" 0 "2" 2014 "bird_5069" "bird_4950" "family_268"
"KIP" 0 "2" 2014 "bird_5066" "bird_5070" "family_246"
"KIP" 1 "2" 2014 "bird_5065" "bird_4768" "family_241"
"KIP" 0 "2" 2014 "bird_5065" "bird_4768" "family_241"
"KIP" 2 "2" 2014 "bird_4963" "bird_4946" "family_230"
"KIP" 0 "2" 2014 "bird_4963" "bird_4946" "family_230"
"WFP" 0 "2" 2014 "bird_5497" "bird_5496" "family_2834"
"WFP" 0 "2" 2014 "bird_4710" "bird_5426" "family_2829"
"WFP" 0 "3" 2014 "bird_4075" "bird_5398" "family_2827"
"WFP" 0 "3" 2014 "bird_4101" "bird_4696" "family_2824"
"WFP" 0 "1" 2014 "bird_5396" "bird_5397" "family_2816"
"WFP" 1 "3" 2014 "bird_5091" "bird_4328" "family_2842"
"WFP" 0 "2" 2014 "bird_5089" "bird_5376" "family_2841"
"WFP" 0 "2" 2014 "bird_4339" "bird_4706" "family_2840"
"WFP" 0 "2" 2014 "bird_4718" "bird_5074" "family_2839"
"WFP" 0 "2" 2014 "bird_4697" "bird_4152" "family_2838"
"MP" 2 "2" 2014 "bird_4202" "bird_5405" "family_2105"
