"population" "year" "male" "female" "family_ID" "chick_ID"
"KIP" 2012 0 1 "family_31" "bird_4455"
"KIP" 2012 1 0 "family_31" "bird_4456"
"KIP" 2012 1 0 "family_34" "bird_4095"
"KIP" 2012 1 0 "family_34" "bird_4104"
"KIP" 2012 1 0 "family_24" "bird_4114"
"KIP" 2012 1 0 "family_24" "bird_4116"
"KIP" 2013 1 0 "family_104" "bird_4181"
"KIP" 2013 0 1 "family_104" "bird_4303"
"KIP" 2013 1 0 "family_126" "bird_4361"
"KIP" 2013 1 0 "family_126" "bird_4362"
"KIP" 2013 1 0 "family_139" "bird_4054"
"KIP" 2013 0 1 "family_139" "bird_4103"
"KIP" 2013 0 1 "family_169" "bird_4154"
"KIP" 2013 0 1 "family_169" "bird_4405"
"KIP" 2013 0 1 "family_172" "bird_4499"
"KIP" 2013 1 0 "family_172" "bird_4500"
"KIP" 2013 1 0 "family_110" "bird_4120"
"KIP" 2013 1 0 "family_110" "bird_4284"
"KIP" 2013 0 1 "family_124" "bird_4422"
"KIP" 2013 1 0 "family_124" "bird_4423"
"KIP" 2013 1 0 "family_140" "bird_4492"
"KIP" 2013 1 0 "family_140" "bird_4496"
"KIP" 2013 0 1 "family_143" "bird_4515"
"KIP" 2013 1 0 "family_143" "bird_4611"
"KIP" 2013 0 1 "family_166" "bird_4355"
"KIP" 2013 0 1 "family_166" "bird_4359"
"KIP" 2013 0 1 "family_176" "bird_4544"
"KIP" 2013 1 0 "family_176" "bird_4545"
"KIP" 2013 1 0 "family_180" "bird_4769"
"KIP" 2013 1 0 "family_180" "bird_4770"
"KIP" 2013 1 0 "family_115" "bird_4905"
"KIP" 2013 0 1 "family_115" "bird_4906"
"KIP" 2013 1 0 "family_117" "bird_4605"
"KIP" 2013 1 0 "family_117" "bird_4606"
"KIP" 2013 1 0 "family_119" "bird_4598"
"KIP" 2013 1 0 "family_119" "bird_4599"
"KIP" 2013 0 1 "family_121" "bird_4577"
"KIP" 2013 0 1 "family_121" "bird_4578"
"KIP" 2013 0 1 "family_129" "bird_4078"
"KIP" 2013 1 0 "family_129" "bird_4168"
"KIP" 2013 0 1 "family_130" "bird_4511"
"KIP" 2013 0 1 "family_130" "bird_4512"
"KIP" 2013 1 0 "family_131" "bird_4504"
"KIP" 2013 0 1 "family_131" "bird_4514"
"KIP" 2013 0 1 "family_150" "bird_4814"
"KIP" 2013 0 1 "family_150" "bird_4815"
"KIP" 2013 1 0 "family_152" "bird_4761"
"KIP" 2013 0 1 "family_152" "bird_4763"
"KIP" 2013 0 1 "family_156" "bird_4940"
"KIP" 2013 0 1 "family_156" "bird_4941"
"KIP" 2013 1 0 "family_161" "bird_4943"
"KIP" 2013 1 0 "family_161" "bird_4944"
"KIP" 2013 0 1 "family_163" "bird_5058"
"KIP" 2013 1 0 "family_163" "bird_5059"
"KIP" 2014 1 0 "family_245" "bird_5422"
"KIP" 2014 1 0 "family_245" "bird_5425"
"KIP" 2014 1 0 "family_231" "bird_5119"
"KIP" 2014 0 1 "family_231" "bird_5122"
"KIP" 2014 0 1 "family_236" "bird_5160"
"KIP" 2014 0 1 "family_236" "bird_5161"
"KIP" 2014 1 0 "family_239" "bird_5589"
"KIP" 2014 0 1 "family_239" "bird_5594"
"KIP" 2014 1 0 "family_243" "bird_5182"
"KIP" 2014 0 1 "family_243" "bird_5184"
"KIP" 2014 0 1 "family_254" "bird_5303"
"KIP" 2014 1 0 "family_254" "bird_5304"
"KIP" 2014 1 0 "family_258" "bird_5360"
"KIP" 2014 1 0 "family_258" "bird_5361"
"KIP" 2014 1 0 "family_260" "bird_5311"
"KIP" 2014 1 0 "family_260" "bird_5312"
"KIP" 2014 0 1 "family_265" "bird_5324"
"KIP" 2014 1 0 "family_265" "bird_5325"
"KIP" 2015 0 1 "family_305" "bird_5657"
"KIP" 2015 1 0 "family_305" "bird_5658"
"KIP" 2015 0 1 "family_310" "bird_5261"
"KIP" 2015 0 1 "family_310" "bird_5262"
"KIP" 2015 1 0 "family_313" "bird_5934"
"KIP" 2015 0 1 "family_313" "bird_5935"
"KIP" 2015 0 1 "family_316" "bird_5948"
"KIP" 2015 0 1 "family_316" "bird_5951"
"KIP" 2015 1 0 "family_318" "bird_5940"
"KIP" 2015 1 0 "family_318" "bird_5941"
"KIP" 2015 1 0 "family_320" "bird_5959"
"KIP" 2015 0 1 "family_320" "bird_5960"
"KIP" 2015 1 0 "family_323" "bird_5954"
"KIP" 2015 0 1 "family_323" "bird_5955"
"KIP" 2015 0 1 "family_330" "bird_5967"
"KIP" 2015 1 0 "family_330" "bird_5971"
"KIP" 2015 0 1 "family_332" "bird_4390"
"KIP" 2015 1 0 "family_332" "bird_5655"
"KIP" 2015 1 0 "family_336" "bird_5651"
"KIP" 2015 1 0 "family_336" "bird_5652"
"KIP" 2015 0 1 "family_343" "bird_5683"
"KIP" 2015 1 0 "family_343" "bird_5684"
"KIP" 2015 0 1 "family_363" "bird_5669"
"KIP" 2015 1 0 "family_363" "bird_5670"
"KIP" 2015 0 1 "family_365" "bird_5747"
"KIP" 2015 0 1 "family_365" "bird_5929"
"KIP" 2015 1 0 "family_367" "bird_5746"
"KIP" 2015 1 0 "family_367" "bird_5931"
"KIP" 2015 0 1 "family_371" "bird_5764"
"KIP" 2015 0 1 "family_371" "bird_5765"
"KIP" 2015 1 0 "family_373" "bird_5772"
"KIP" 2015 0 1 "family_373" "bird_5773"
"KIP" 2015 0 1 "family_377" "bird_5766"
"KIP" 2015 0 1 "family_377" "bird_5767"
"KIP" 2015 0 1 "family_379" "bird_5770"
"KIP" 2015 0 1 "family_379" "bird_5776"
"KIP" 2015 0 1 "family_385" "bird_5783"
"KIP" 2015 0 1 "family_385" "bird_5784"
"KIP" 2015 1 0 "family_387" "bird_5792"
"KIP" 2015 1 0 "family_387" "bird_5793"
"KIP" 2015 0 1 "family_388" "bird_5780"
"KIP" 2015 1 0 "family_388" "bird_5781"
"KIP" 2015 1 0 "family_394" "bird_5840"
"KIP" 2015 0 1 "family_394" "bird_5841"
"KIP" 2015 0 1 "family_396" "bird_5844"
"KIP" 2015 0 1 "family_396" "bird_5845"
"KIP" 2015 1 0 "family_397" "bird_4387"
"KIP" 2015 1 0 "family_397" "bird_4388"
"KIP" 2015 1 0 "family_408" "bird_5874"
"KIP" 2015 1 0 "family_408" "bird_5875"
"KIP" 2015 0 1 "family_418" "bird_5500"
"KIP" 2015 1 0 "family_418" "bird_5501"
"KIP" 2015 0 1 "family_420" "bird_5556"
"KIP" 2015 0 1 "family_420" "bird_5557"
"KIP" 2015 1 0 "family_424" "bird_5735"
"KIP" 2015 0 1 "family_424" "bird_5736"
"KIP" 2015 0 1 "family_426" "bird_5548"
"KIP" 2015 1 0 "family_426" "bird_5551"
"KIP" 2015 1 0 "family_428" "bird_5716"
"KIP" 2015 0 1 "family_428" "bird_5723"
"KIP" 2015 1 0 "family_430" "bird_5738"
"KIP" 2015 0 1 "family_430" "bird_5983"
"KIP" 2015 0 1 "family_434" "bird_5745"
"KIP" 2015 1 0 "family_434" "bird_5975"
"KIP" 2015 1 0 "family_436" "bird_5878"
"KIP" 2015 1 0 "family_436" "bird_5879"
"KIP" 2015 0 1 "family_439" "bird_5989"
"KIP" 2015 1 0 "family_439" "bird_5993"
"KIP" 2015 1 0 "family_442" "bird_5743"
"KIP" 2015 0 1 "family_442" "bird_5982"
"KIP" 2015 1 0 "family_444" "bird_5697"
