"bird_ID" "ch" "sex" "age" "population"
"bird_49" "1000000" "F" "J" "SP"
"bird_72" "1000000" "F" "J" "SP"
"bird_73" "1000000" "M" "J" "SP"
"bird_77" "1000000" "F" "J" "SP"
"bird_78" "1000000" "F" "J" "SP"
"bird_85" "1110000" "F" "J" "SP"
"bird_86" "1000000" "F" "J" "SP"
"bird_93" "1000000" "M" "J" "SP"
"bird_95" "1000000" "M" "J" "SP"
"bird_96" "1000000" "M" "J" "SP"
"bird_109" "1000000" "F" "J" "SP"
"bird_110" "1111000" "F" "J" "SP"
"bird_111" "1000000" "M" "J" "SP"
"bird_112" "1000000" "F" "J" "SP"
"bird_120" "1000000" "F" "J" "SP"
"bird_121" "1011000" "M" "J" "SP"
"bird_122" "1000000" "F" "J" "SP"
"bird_126" "1000000" "M" "J" "SP"
"bird_127" "1000000" "F" "J" "SP"
"bird_132" "1000000" "F" "J" "SP"
"bird_133" "1000000" "F" "J" "SP"
"bird_184" "1000000" "F" "J" "SP"
"bird_313" "1000000" "F" "J" "SP"
"bird_324" "1000000" "M" "J" "SP"
"bird_335" "1000000" "F" "J" "SP"
"bird_366" "1000000" "F" "J" "SP"
"bird_398" "1100000" "M" "J" "SP"
"bird_419" "1100000" "M" "J" "SP"
"bird_609" "1000000" "M" "J" "SP"
"bird_619" "1000000" "M" "J" "SP"
"bird_629" "1000000" "M" "J" "SP"
"bird_767" "1000000" "F" "J" "SP"
"bird_777" "1000000" "F" "J" "SP"
"bird_809" "1000000" "M" "J" "SP"
"bird_844" "1000000" "M" "J" "SP"
"bird_845" "1000000" "M" "J" "SP"
"bird_851" "1000000" "M" "J" "SP"
"bird_852" "1101000" "M" "J" "SP"
"bird_857" "1000000" "M" "J" "SP"
"bird_861" "1000000" "M" "J" "SP"
"bird_864" "1000000" "F" "J" "SP"
"bird_868" "1000000" "M" "J" "SP"
"bird_869" "1000000" "M" "J" "SP"
"bird_929" "1000000" "F" "J" "SP"
"bird_939" "1000000" "M" "J" "SP"
"bird_959" "1000000" "F" "J" "SP"
"bird_979" "1000000" "M" "J" "SP"
"bird_1034" "1000000" "M" "J" "SP"
"bird_1106" "1000000" "M" "J" "SP"
"bird_1156" "1000000" "F" "J" "SP"
"bird_1167" "1000000" "M" "J" "SP"
"bird_1178" "1000000" "M" "J" "SP"
"bird_1245" "1000000" "M" "J" "SP"
"bird_1285" "1000000" "M" "J" "SP"
"bird_1325" "1000000" "F" "J" "SP"
"bird_1335" "1000000" "F" "J" "SP"
"bird_1356" "1000000" "M" "J" "SP"
"bird_1385" "1000000" "F" "J" "SP"
"bird_1394" "1000000" "M" "J" "SP"
"bird_1448" "1000000" "M" "J" "SP"
"bird_1464" "1000000" "F" "J" "SP"
"bird_1475" "1000000" "M" "J" "SP"
"bird_1485" "1000000" "F" "J" "SP"
"bird_1495" "1000000" "F" "J" "SP"
"bird_1506" "1000000" "M" "J" "SP"
"bird_1528" "1000000" "M" "J" "SP"
"bird_1538" "1000000" "F" "J" "SP"
"bird_1548" "1000000" "F" "J" "SP"
"bird_1589" "1000000" "F" "J" "SP"
"bird_1611" "1000000" "M" "J" "SP"
"bird_1619" "1000000" "M" "J" "SP"
"bird_1630" "1000000" "M" "J" "SP"
"bird_1663" "1000000" "M" "J" "SP"
"bird_1674" "1000000" "M" "J" "SP"
"bird_1680" "1000000" "F" "J" "SP"
"bird_1687" "1000000" "F" "J" "SP"
"bird_1701" "1000000" "F" "J" "SP"
"bird_1703" "1000000" "F" "J" "SP"
"bird_1712" "1000000" "M" "J" "SP"
"bird_1723" "1000000" "M" "J" "SP"
"bird_1733" "1000000" "M" "J" "SP"
"bird_1741" "1000000" "F" "J" "SP"
"bird_1752" "1000000" "M" "J" "SP"
"bird_1763" "1000000" "F" "J" "SP"
"bird_1774" "1000000" "M" "J" "SP"
"bird_1784" "1111100" "M" "J" "SP"
"bird_1795" "1000000" "F" "J" "SP"
"bird_1806" "1000000" "F" "J" "SP"
"bird_1815" "1000000" "M" "J" "SP"
"bird_327" "0100000" "M" "J" "SP"
"bird_328" "0111111" "M" "J" "SP"
"bird_329" "0111100" "M" "J" "SP"
"bird_330" "0100000" "F" "J" "SP"
"bird_331" "0100000" "M" "J" "SP"
"bird_337" "0100000" "M" "J" "SP"
"bird_338" "0111000" "F" "J" "SP"
"bird_339" "0111110" "M" "J" "SP"
"bird_340" "0100000" "F" "J" "SP"
"bird_341" "0111000" "M" "J" "SP"
"bird_343" "0100000" "F" "J" "SP"
"bird_344" "0100000" "F" "J" "SP"
"bird_346" "0100000" "F" "J" "SP"
"bird_347" "0111000" "M" "J" "SP"
"bird_353" "0100000" "F" "J" "SP"
"bird_357" "0100000" "F" "J" "SP"
"bird_358" "0100000" "F" "J" "SP"
"bird_362" "0100000" "M" "J" "SP"
"bird_365" "0100000" "F" "J" "SP"
"bird_367" "0100000" "M" "J" "SP"
"bird_368" "0100000" "F" "J" "SP"
"bird_369" "0100000" "M" "J" "SP"
"bird_370" "0100000" "M" "J" "SP"
"bird_372" "0100000" "M" "J" "SP"
"bird_373" "0100100" "M" "J" "SP"
"bird_375" "0101111" "M" "J" "SP"
"bird_376" "0100000" "F" "J" "SP"
"bird_378" "0100000" "M" "J" "SP"
"bird_397" "0100000" "M" "J" "SP"
"bird_405" "0101110" "F" "J" "SP"
"bird_406" "0111111" "F" "J" "SP"
