"population" "date" "hatch_date" "care_system" "family_ID"
"KIP" "2013-05-10" "2013-05-04" "male_care" "family_63"
"KIP" "2013-05-09" "2013-04-24" "male_care" "family_62"
"KIP" "2013-05-10" "2013-04-24" "male_care" "family_62"
"KIP" "2013-05-10" "2013-04-24" "male_care" "family_62"
"KIP" "2013-06-01" "2013-04-24" "male_care" "family_62"
"KIP" "2013-05-09" "2013-04-28" "male_care" "family_61"
"KIP" "2013-05-08" "2013-04-09" "male_care" "family_60"
"KIP" "2013-05-08" "2013-04-06" "male_care" "family_59"
"KIP" "2013-05-15" "2013-04-06" "male_care" "family_59"
"KIP" "2013-05-07" "2013-04-13" "male_care" "family_58"
"KIP" "2013-05-07" "2013-04-05" "male_care" "family_56"
"KIP" "2013-05-06" "2013-05-01" "male_care" "family_55"
"KIP" "2013-05-06" "2013-05-01" "male_care" "family_54"
"KIP" "2013-05-03" "2013-05-01" "female_care" "family_53"
"KIP" "2013-06-04" "2013-05-01" "female_care" "family_53"
"KIP" "2013-06-08" "2013-05-01" "female_care" "family_53"
"KIP" "2013-05-02" "2013-04-23" "male_care" "family_52"
"KIP" "2013-06-02" "2013-04-30" "male_care" "family_51"
"KIP" "2013-05-01" "2013-05-01" "male_care" "family_50"
"KIP" "2013-04-30" "2013-04-21" "male_care" "family_49"
"KIP" "2013-04-29" "2013-04-27" "male_care" "family_47"
"KIP" "2013-04-29" "2013-04-19" "male_care" "family_46"
"KIP" "2013-05-01" "2013-04-19" "male_care" "family_46"
"KIP" "2013-05-01" "2013-04-19" "male_care" "family_46"
"KIP" "2013-05-10" "2013-04-19" "male_care" "family_46"
"KIP" "2013-04-29" "2013-04-19" "male_care" "family_45"
"KIP" "2013-04-28" "2013-04-19" "male_care" "family_44"
"KIP" "2013-04-27" "2013-04-20" "male_care" "family_43"
"KIP" "2013-04-28" "2013-04-20" "male_care" "family_43"
"KIP" "2013-05-05" "2013-04-20" "male_care" "family_43"
"KIP" "2013-05-08" "2013-04-20" "male_care" "family_43"
"KIP" "2013-05-16" "2013-04-20" "male_care" "family_43"
"KIP" "2013-04-26" "2013-04-18" "male_care" "family_42"
"KIP" "2013-04-26" "2013-04-25" "male_care" "family_41"
"KIP" "2013-04-24" "2013-04-20" "male_care" "family_39"
"KIP" "2013-04-24" "2013-04-22" "female_care" "family_38"
"KIP" "2013-04-23" "2013-04-16" "male_care" "family_37"
"KIP" "2013-05-10" "2013-04-18" "male_care" "family_36"
"KIP" "2013-03-31" "2013-03-22" "male_care" "family_35"
"KIP" "2013-04-01" "2013-03-22" "male_care" "family_35"
"KIP" "2013-04-06" "2013-03-22" "male_care" "family_35"
"KIP" "2013-04-09" "2013-03-22" "male_care" "family_35"
"KIP" "2013-06-20" "2013-06-18" "male_care" "family_100"
"KIP" "2013-06-13" "2013-06-09" "male_care" "family_99"
"KIP" "2013-06-11" "2013-05-26" "male_care" "family_98"
"KIP" "2013-06-17" "2013-05-26" "male_care" "family_98"
"KIP" "2013-06-17" "2013-05-26" "male_care" "family_98"
"KIP" "2013-06-11" "2013-06-02" "male_care" "family_97"
"KIP" "2013-06-17" "2013-06-02" "male_care" "family_97"
"KIP" "2013-06-10" "2013-05-23" "male_care" "family_96"
"KIP" "2013-06-16" "2013-05-23" "male_care" "family_96"
"KIP" "2013-06-08" "2013-05-27" "female_care" "family_95"
"KIP" "2013-06-17" "2013-05-27" "female_care" "family_95"
"KIP" "2013-06-08" "2013-06-06" "male_care" "family_94"
"KIP" "2013-06-07" "2013-06-07" "male_care" "family_92"
"KIP" "2013-06-04" "2013-05-27" "male_care" "family_91"
"KIP" "2013-06-03" "2013-05-29" "male_care" "family_90"
"KIP" "2013-06-03" "2013-05-16" "male_care" "family_89"
"KIP" "2013-06-01" "2013-05-05" "female_care" "family_87"
"KIP" "2013-06-01" "2013-05-28" "male_care" "family_86"
"KIP" "2013-06-07" "2013-05-28" "male_care" "family_86"
"KIP" "2013-06-01" "2013-05-21" "male_care" "family_85"
"KIP" "2013-06-02" "2013-05-21" "male_care" "family_85"
"KIP" "2013-06-14" "2013-05-21" "male_care" "family_85"
"KIP" "2013-06-01" "2013-05-13" "female_care" "family_84"
"KIP" "2013-05-31" "2013-05-01" "male_care" "family_83"
"KIP" "2013-06-07" "2013-05-01" "male_care" "family_83"
"KIP" "2013-05-31" "2013-05-01" "male_care" "family_82"
"KIP" "2013-06-07" "2013-05-01" "male_care" "family_82"
"KIP" "2013-05-27" "2013-05-25" "male_care" "family_81"
"KIP" "2013-05-25" "2013-05-18" "male_care" "family_80"
"KIP" "2013-05-24" "2013-05-17" "male_care" "family_79"
"KIP" "2013-05-24" "2013-05-19" "male_care" "family_78"
"KIP" "2013-06-16" "2013-05-19" "male_care" "family_78"
"KIP" "2013-06-19" "2013-05-19" "male_care" "family_78"
"KIP" "2013-05-24" "2013-05-16" "female_care" "family_77"
"KIP" "2013-05-23" "2013-05-20" "male_care" "family_76"
"KIP" "2013-05-22" "2013-05-22" "male_care" "family_75"
"KIP" "2013-05-20" "2013-05-13" "male_care" "family_74"
"KIP" "2013-05-27" "2013-05-13" "male_care" "family_74"
"KIP" "2013-05-19" "2013-05-19" "male_care" "family_73"
"KIP" "2013-05-18" "2013-05-18" "male_care" "family_72"
"KIP" "2013-05-18" "2013-05-11" "female_care" "family_71"
"KIP" "2013-05-27" "2013-05-11" "female_care" "family_71"
"KIP" "2013-06-07" "2013-05-11" "female_care" "family_71"
"KIP" "2013-06-07" "2013-05-10" "male_care" "family_69"
"KIP" "2013-06-10" "2013-05-10" "male_care" "family_69"
"KIP" "2013-06-16" "2013-05-10" "male_care" "family_69"
"KIP" "2013-05-14" "2013-05-14" "male_care" "family_68"
"KIP" "2013-06-17" "2013-05-14" "male_care" "family_68"
"KIP" "2013-05-14" "2013-05-14" "male_care" "family_67"
"KIP" "2013-05-11" "2013-05-02" "female_care" "family_66"
"KIP" "2013-06-02" "2013-05-02" "female_care" "family_66"
"KIP" "2013-05-11" "2013-05-11" "female_care" "family_65"
"KIP" "2013-05-10" "2013-05-10" "male_care" "family_64"
"KIP" "2013-05-10" "2013-05-07" "male_care" "family_57"
"KIP" "2013-05-15" "2013-05-07" "male_care" "family_57"
"KIP" "2013-05-08" "2013-04-17" "male_care" "family_48"
"KIP" "2013-05-24" "2013-04-17" "male_care" "family_48"
"KIP" "2013-05-08" "2013-04-27" "male_care" "family_40"
"KIP" "2013-05-07" "2013-04-22" "male_care" "family_103"
"KIP" "2013-05-23" "2013-04-22" "male_care" "family_103"
"KIP" "2013-05-05" "2013-04-14" "male_care" "family_102"
"KIP" "2013-05-04" "2013-04-22" "male_care" "family_101"
"KIP" "2013-05-06" "2013-04-22" "male_care" "family_101"
"KIP" "2013-04-30" "2013-04-19" "male_care" "family_93"
"KIP" "2013-05-10" "2013-04-19" "male_care" "family_93"
"KIP" "2013-05-11" "2013-04-19" "male_care" "family_93"
"KIP" "2013-05-17" "2013-04-19" "male_care" "family_93"
"KIP" "2013-04-30" "2013-04-22" "female_care" "family_88"
"KIP" "2013-05-27" "2013-04-22" "female_care" "family_88"
"KIP" "2013-04-23" "2013-04-18" "female_care" "family_70"
"KIP" "2013-04-03" "2013-04-03" "female_care" "family_127"
"KIP" "2013-04-06" "2013-04-06" "male_care" "family_170"
"KIP" "2013-04-12" "2013-04-06" "male_care" "family_170"
"KIP" "2013-04-10" "2013-04-10" "male_care" "family_173"
"KIP" "2013-04-06" "2013-04-04" "male_care" "family_123"
"KIP" "2013-04-12" "2013-04-12" "male_care" "family_125"
"KIP" "2013-04-16" "2013-04-11" "male_care" "family_128"
"KIP" "2013-04-14" "2013-04-14" "male_care" "family_136"
"KIP" "2013-04-26" "2013-04-14" "male_care" "family_136"
"KIP" "2013-04-25" "2013-04-12" "male_care" "family_138"
"KIP" "2013-04-26" "2013-04-12" "male_care" "family_138"
"KIP" "2013-04-09" "2013-04-08" "male_care" "family_141"
"KIP" "2013-04-02" "2013-04-02" "male_care" "family_167"
"KIP" "2013-04-22" "2013-04-22" "male_care" "family_177"
"KIP" "2013-04-28" "2013-04-21" "male_care" "family_178"
"KIP" "2013-05-05" "2013-04-21" "male_care" "family_178"
"KIP" "2013-05-05" "2013-05-05" "male_care" "family_181"
"KIP" "2013-05-17" "2013-05-05" "male_care" "family_181"
"KIP" "2013-05-22" "2013-05-05" "male_care" "family_181"
"KIP" "2013-04-28" "2013-04-21" "male_care" "family_109"
"KIP" "2013-05-04" "2013-04-21" "male_care" "family_109"
"KIP" "2013-05-16" "2013-04-21" "male_care" "family_109"
"KIP" "2013-04-28" "2013-04-16" "male_care" "family_111"
"KIP" "2013-05-16" "2013-04-16" "male_care" "family_111"
"KIP" "2013-04-23" "2013-04-23" "male_care" "family_112"
"KIP" "2013-04-26" "2013-04-23" "male_care" "family_113"
"KIP" "2013-04-28" "2013-04-23" "male_care" "family_113"
"KIP" "2013-04-28" "2013-04-25" "male_care" "family_118"
"KIP" "2013-05-02" "2013-04-25" "male_care" "family_118"
"KIP" "2013-05-16" "2013-04-25" "female_care" "family_118"
"KIP" "2013-04-28" "2013-04-27" "male_care" "family_120"
"KIP" "2013-05-07" "2013-04-27" "male_care" "family_120"
"KIP" "2013-04-26" "2013-04-25" "male_care" "family_122"
"KIP" "2013-04-06" "2013-04-04" "male_care" "family_133"
"KIP" "2013-04-11" "2013-04-04" "male_care" "family_133"
"KIP" "2013-05-11" "2013-05-11" "female_care" "family_151"
"KIP" "2013-05-03" "2013-05-03" "female_care" "family_153"
"KIP" "2013-05-04" "2013-05-03" "female_care" "family_153"
"KIP" "2013-05-22" "2013-05-03" "female_care" "family_153"
"KIP" "2013-05-27" "2013-05-03" "female_care" "family_153"
"KIP" "2013-05-09" "2013-05-09" "male_care" "family_154"
"KIP" "2013-06-07" "2013-05-28" "male_care" "family_155"
"KIP" "2013-05-07" "2013-05-07" "male_care" "family_158"
"KIP" "2013-05-22" "2013-05-22" "male_care" "family_162"
"KIP" "2013-06-02" "2013-05-22" "male_care" "family_162"
"KIP" "2013-06-06" "2013-05-22" "male_care" "family_162"
"KIP" "2013-06-16" "2013-06-15" "male_care" "family_164"
"KIP" "2013-05-20" "2013-05-20" "female_care" "family_168"
"KIP" "2013-05-16" "2013-05-10" "male_care" "family_69"
"MP" "2013-05-06" "2013-05-01" "male_care" "family_2064"
"MP" "2013-05-06" "2013-04-23" "biparental_care" "family_2063"
"MP" "2013-05-07" "2013-04-23" "biparental_care" "family_2063"
"MP" "2013-04-24" "2013-04-23" "biparental_care" "family_2062"
"MP" "2013-04-28" "2013-04-23" "biparental_care" "family_2062"
"MP" "2013-05-11" "2013-04-23" "biparental_care" "family_2062"
"MP" "2013-05-16" "2013-04-23" "biparental_care" "family_2062"
"MP" "2013-05-23" "2013-04-23" "biparental_care" "family_2062"
"MP" "2013-05-01" "2013-04-21" "biparental_care" "family_2061"
"MP" "2013-06-12" "2013-06-12" "biparental_care" "family_2065"
"MP" "2013-05-06" "2013-04-26" "biparental_care" "family_2060"
"MP" "2013-04-01" "2013-04-01" "biparental_care" "family_2066"
"MP" "2013-04-10" "2013-04-01" "biparental_care" "family_2066"
"MP" "2013-04-01" "2013-04-01" "biparental_care" "family_2070"
"MP" "2013-04-09" "2013-04-01" "biparental_care" "family_2070"
"MP" "2013-04-25" "2013-04-25" "biparental_care" "family_2082"
"MP" "2013-05-02" "2013-04-25" "female_care" "family_2082"
"MP" "2013-05-06" "2013-04-25" "biparental_care" "family_2082"
"MP" "2013-04-22" "2013-04-16" "biparental_care" "family_2083"
"MP" "2013-05-07" "2013-04-16" "biparental_care" "family_2083"
"MP" "2013-04-29" "2013-04-29" "biparental_care" "family_2076"
"MP" "2013-05-16" "2013-04-29" "biparental_care" "family_2076"
"MP" "2013-06-07" "2013-04-29" "biparental_care" "family_2076"
"MP" "2013-06-01" "2013-06-01" "biparental_care" "family_2080"
"MP" "2013-06-12" "2013-06-01" "biparental_care" "family_2080"
"MP" "2013-06-04" "2013-06-04" "biparental_care" "family_2081"
"MP" "2013-04-23" "2013-04-23" "biparental_care" "family_2068"
"MP" "2013-04-30" "2013-04-27" "biparental_care" "family_2074"
"WFP" "2013-05-01" "2013-04-16" "biparental_care" "family_2764"
"WFP" "2013-05-04" "2013-04-16" "biparental_care" "family_2764"
"WFP" "2013-05-18" "2013-04-16" "biparental_care" "family_2764"
"WFP" "2013-04-30" "2013-04-14" "biparental_care" "family_2763"
"WFP" "2013-05-04" "2013-04-14" "biparental_care" "family_2763"
"WFP" "2013-04-27" "2013-04-19" "biparental_care" "family_2762"
"WFP" "2013-06-21" "2013-06-08" "biparental_care" "family_2771"
"WFP" "2013-06-11" "2013-05-25" "biparental_care" "family_2770"
"WFP" "2013-06-17" "2013-05-25" "biparental_care" "family_2770"
"WFP" "2013-06-09" "2013-06-01" "biparental_care" "family_2769"
"WFP" "2013-06-06" "2013-05-22" "biparental_care" "family_2768"
"WFP" "2013-06-10" "2013-05-22" "biparental_care" "family_2768"
"WFP" "2013-06-04" "2013-05-30" "biparental_care" "family_2767"
"WFP" "2013-06-04" "2013-05-13" "biparental_care" "family_2766"
"WFP" "2013-06-16" "2013-05-13" "biparental_care" "family_2766"
"WFP" "2013-05-17" "2013-05-12" "biparental_care" "family_2765"
"WFP" "2013-05-21" "2013-05-12" "biparental_care" "family_2765"
"WFP" "2013-06-08" "2013-05-12" "biparental_care" "family_2765"
"WFP" "2013-06-13" "2013-05-12" "biparental_care" "family_2765"
"WFP" "2013-04-28" "2013-04-12" "biparental_care" "family_2761"
"WFP" "2013-04-14" "2013-04-13" "biparental_care" "family_2792"
"WFP" "2013-05-02" "2013-04-07" "female_care" "family_2802"
"WFP" "2013-04-10" "2013-04-10" "biparental_care" "family_2786"
"WFP" "2013-05-05" "2013-04-30" "biparental_care" "family_2790"
"WFP" "2013-05-06" "2013-04-30" "biparental_care" "family_2790"
"WFP" "2013-05-22" "2013-04-30" "biparental_care" "family_2790"
