year,site,nest,exp,type,laying_date,hatching_date,manip,male,female,chick1,chick2,chick3
2006,A,1,U,U,427,NA,NA,802109713,CA226,NA,NA,NA
2006,A,2,U,U,427,NA,NA,NA,CA2082,NA,NA,NA
2006,A,3,U,U,506,NA,NA,CA143,802122911,NA,NA,NA
2006,A,4,U,U,504,NA,NA,CA110,CA101,NA,NA,NA
2006,A,5,U,U,504,529,NA,CA328,802122914,CA022,CA028,NA
2006,A,7,U,U,506,531,NA,CA1545,802122913,CA032,CA033,CA037
2006,A,101,U,U,512,606,NA,CA050,CA103,CA087,CA088,NA
2006,A,102,U,U,507,NA,NA,NA,802122930,NA,NA,NA
2006,A,103,U,U,511,605,NA,CA052,CA102,CA075,CA076,CA086
2006,A,104,U,U,516,610,NA,CA051,802109760,CA207,CA209,NA
2006,A,105,U,U,503,NA,NA,NA,CA2037,NA,NA,NA
2006,B,-1,U,U,NA,NA,NA,NA,802109777,CA083,CA084,CA085
2006,B,1,U,U,501,NA,NA,802109744,CA241,NA,NA,NA
2006,B,2,U,U,504,529,NA,802122903,CA245,CA023,NA,NA
2006,B,3,U,U,425,NA,NA,CA203,CA039,NA,NA,NA
2006,B,4,U,U,508,602,NA,802122925,802122928,CA045,CA046,CA055
2006,B,5,U,U,511,605,NA,CA057,802109721,CA072,CA073,CA077
2006,B,6,U,U,511,605,NA,RX.WX|YX.BX,RX.WX|YX.WX,CA070,CA071,NA
2006,B,7,U,U,514,608,NA,CA043,CA112,CA097,NA,NA
2006,B,8,U,U,517,611,NA,CA042,CA113,CA212,CA213,NA
2006,B,9,U,U,521,NA,NA,CA080,NA,NA,NA,NA
2006,B,101,U,U,501,NA,NA,802109714,NA,NA,NA,NA
2006,B,207,U,U,524,618,NA,CA203,CA204,CA184,CA187,NA
2006,B,208,U,U,513,607,NA,CA091,CA126,CA089,CA090,XX.XX|SX.XX
2006,B,209,U,U,513,607,NA,CA123,CA125,CA124,CA130,CA131
2006,C,111,U,U,516,604,NA,NA,NA,CA074,NA,NA
2006,C,-1,U,U,NA,NA,NA,CA142,NA,802122927,NA,NA
2006,C,1,U,U,424,519,NA,CA220,CA177,802122931,802122934,802122935
2006,C,3,U,U,NA,NA,NA,CA156,CA202,NA,NA,NA
2006,C,5,U,U,429,603,NA,CA007,802109742,CA056,NA,NA
2006,C,6,U,U,507,NA,NA,802109793,CA011,NA,NA,NA
2006,C,7,U,U,508,602,NA,CA001,CA002,CA053,NA,NA
2006,C,8,U,U,507,608,NA,CA029,CA015,CA094,NA,NA
2006,C,9,U,U,510,NA,NA,CA030,CA012,NA,NA,NA
2006,C,10,U,U,518,612,NA,CA013,CA034,CA218,NA,NA
2006,C,11,U,U,513,NA,NA,802109716,CA003,NA,NA,NA
2006,C,12,U,U,514,608,NA,CA054,CA010,CA095,NA,NA
2006,C,13,U,U,522,616,NA,CA008,CA036,CA167,CA174,CA175
2006,C,15,U,U,515,NA,NA,802109768,CA1526,NA,NA,NA
2006,C,16,U,U,521,615,NA,CA114,CA047,CA157,CA163,CA164
2006,C,17,U,U,603,NA,NA,CA220,CA219,NA,NA,NA
2006,C,18,U,U,609,NA,NA,NA,802109785,NA,NA,NA
2006,C,19,U,U,607,NA,NA,CA165,CA152,NA,NA,NA
2006,C,20,U,U,608,703,NA,CA107,CA137,CA302,CA304,NA
2006,C,21,U,U,618,NA,NA,CA231,CA002,NA,NA,NA
2006,C,22,U,U,620,NA,NA,CA233,CA262,NA,NA,NA
2006,C,23,U,U,622,NA,NA,NA,CA003,NA,NA,NA
2006,C,24,U,U,621,NA,NA,CA280,CA082,NA,NA,NA
2006,C,25,U,U,619,NA,NA,CA301,CA266,NA,NA,NA
2006,C,26,U,U,626,NA,NA,NA,CA314,NA,NA,NA
2006,C,27,U,U,615,NA,NA,CA235,802109771,NA,NA,NA
2006,C,28,U,U,620,NA,NA,CA029,CA1579,NA,NA,NA
2006,C,30,U,U,612,707,NA,802109780,CA310,CA313,CA315,CA321
2006,C,31,U,U,613,NA,NA,802109714,CA234,NA,NA,NA
2006,C,32,U,U,620,NA,NA,CA030,CA012,NA,NA,NA
2006,C,33,U,U,618,NA,NA,CA253,CA015,NA,NA,NA
2006,C,34,U,U,626,NA,NA,NA,CA1526,NA,NA,NA
2006,C,36,U,U,701,NA,NA,NA,802109729,NA,NA,NA
2006,C,37,U,U,701,NA,NA,CA026,NA,NA,NA,NA
2006,C,38,U,U,628,NA,NA,BX.WX|BX.OX,NA,NA,NA,NA
2006,C,39,U,U,704,NA,NA,CA165,CA152,NA,NA,NA
2006,C,105,U,U,502,527,NA,802122906,CA219,CA105,CA106,CA111
2006,C,106,U,U,512,NA,NA,NA,CA096,NA,NA,NA
2006,C,107,U,U,506,601,NA,YX.BX|BX.RX,RX.WX|RX.GX,CA038,CA041,NA
2006,C,108,U,U,517,NA,NA,NA,CA118,NA,NA,NA
2006,C,110,U,U,513,NA,NA,CA058,CA044,NA,NA,NA
2006,C,112,U,U,520,614,NA,802109735,CA134,CA145,CA146,CA150
2006,C,113,U,U,605,630,NA,CA166,CA140,CA269,CA275,NA
2006,C,201,U,U,608,NA,NA,CA139,CA014,NA,NA,NA
2006,C,206,U,U,520,614,NA,NA,CA136,CA147,CA148,CA149
2006,C,210,U,U,601,626,NA,CA201,CA151,CA249,CA250,CA251
2006,C,211,U,U,531,625,NA,CA098,CA096,CA246,CA267,NA
2006,C,212,U,U,606,NA,NA,CA153,CA158,NA,NA,NA
2006,C,213,U,U,525,619,NA,CA154,CA135,CA222,CA223,CA224
2006,C,214,U,U,530,NA,NA,CA156,CA202,NA,NA,NA
2006,D,118,U,U,520,614,NA,CA109,CA122,CA160,CA161,CA162
2006,D,114,U,U,511,607,NA,CA079,CA066,CA217,NA,NA
2006,D,23,U,U,602,627,NA,CA2224,CA198,CA254,CA255,CA256
2006,D,1,U,U,424,519,NA,802122919,BX.WX|GX.BX,802122932,802122933,802122936
2006,D,2,U,U,502,527,NA,BX.WX|gX.XX,802109785,CA009,CA016,CA017
2006,D,3,U,U,507,NA,NA,CA027,NA,NA,NA,NA
2006,D,4,U,U,515,609,NA,CA068,CA020,CA100,CA205,CA206
2006,D,5,U,U,515,NA,NA,CA026,CA039,NA,NA,NA
2006,D,6,U,U,430,525,NA,NA,CA014,CA004,CA005,CA006
2006,D,7,U,U,524,618,NA,CA040,CA025,CA182,CA183,NA
2006,D,8,U,U,514,608,NA,CA065,CA081,CA127,CA128,CA129
2006,D,9,U,U,515,NA,NA,CA067,CA082,NA,NA,NA
2006,D,10,U,U,520,NA,NA,802109790,CA021,NA,NA,NA
2006,D,11,U,U,517,611,NA,CA069,CA019,CA214,CA215,NA
2006,D,12,U,U,518,NA,NA,NA,CA018,NA,NA,NA
2006,D,13,U,U,522,616,NA,CA092,CA2082,CA227,NA,NA
2006,D,14,U,U,526,620,NA,802109746,CA133,NA,NA,NA
