year,site,nest,ID,ring,age_sex,date,time,weight,bill,left_tarsus,right_tarsus,left_wing,right_wing,fat,blood,blood_tube,code,moult ,observer,comments,ages,zones,species,blood_bath,blood_madagascar,feather,slides,feacal
2006,B,1,2006_B_1,CA241,AF,505,1899-12-31 07:00:00,38.7,,24.8,24.7,109,110,2,1,,RX.MX|BX.BX,,CK,,,,,,,,,
2006,B,3,2006_B_3,CA039,AF,505,1899-12-31 08:30:00,38.3,,25.3,25.4,109,110,0,1,,RX.MX|BX.LX,,CK,,,,,,,,,
2006,A,1,2006_A_1,802109713,AM,505,1899-12-31 21:50:00,38.5,,26.4,26.3,111,112,0,1,,BX.WX|SX.GM,,CK,Rings changed: previously BX.WX|XX.GM,,,,,,,,
2006,A,1,2006_A_1,CA226,AF,506,1899-12-31 08:00:00,38.5,,24.6,24.7,106,107,1,1,,RX.MX|RX.YX,,CK,,,,,,,,,
2006,B,2,2006_B_2,CA245,AF,506,1899-12-31 10:00:00,37,,25,24.8,109,111,1,1,,RX.MX|BX.RX,,CK,,,,,,,,,
2006,C,1,2006_C_1,CA177,AF,506,1899-12-31 11:00:00,33.5,,24.8,24.9,108,109,2,1,,RX.MX|BX.GX,,CK,,,,,,,,,
2006,C,1,2006_C_1,CA220,AM,506,1899-12-31 23:00:00,35.5,,23.7,23.8,107,107,2,1,,RX.MX|RX.BX,,CK,,,,,,,,,
2006,B,3,2006_B_3,CA203,AM,507,1899-12-31 00:05:00,36.75,,25.5,25.6,109,110,2,1,,RX.MX|RX.RX,,CK,,,,,,,,,
2006,B,2,2006_B_2,802122903,AM,507,1899-12-31 22:00:00,35.5,,25.2,25.2,107,108,2,1,,RX.MX|WX.WX,,CK,,,,,,,,,
2006,B,101,2006_B_101,802109714,AM,507,,34.25,,24.6,24.7,107,108,2,1,,BX.WX|SX.LM,,SQ,Rings changed: previously XX.WX|XX.LM,,,,,,,,
2006,C,3,2006_C_3,CA202,AF,508,1899-12-31 08:10:00,36.75,,24.6,24.7,103,104,2,1,,RX.MX|BX.WX,,CK,,,,,,,,,
2006,C,105,2006_C_105,CA219,AF,508,1899-12-31 09:00:00,37.75,,24.1,24.1,108,109,0,1,,RX.MX|BX.YX,,CK,,,,,,,,,
2006,C,105,2006_C_105,802122906,AM,509,1899-12-31 22:20:00,36.25,,24.8,24.9,106,107,1,1,,YX.MX|YX.WX,,SQ,,,,,,,,,
2006,C,3,2006_C_3,CA156,AM,509,1899-12-31 23:00:00,37.75,,26,25.9,109,109,2,1,,RX.MX|WX.BX,,CK,,,,,,,,,
2006,D,1,2006_D_1,BX.WX|GX.BX,AF,510,1899-12-31 08:30:00,35.75,,24.8,24.9,106,107,3,1,,BX.WX|GX.BX,,SQ,,,,,,,,,
2006,D,103,2006_D_103,BX.WX|SX.,AF,510,1899-12-31 08:30:00,37.75,,23.3,23.3,109,108,2,1,,BX.WX|SX.XX,,SQ,,,,,,,,,
2006,D,101,2006_D_101,CA190,AF,510,1899-12-31 10:15:00,37,,23.7,23.8,107,107,0,1,,OX.MX|WX.LX,,CK,,,,,,,,,
2006,D,102,2006_D_102,802122910,AF,510,1899-12-31 11:00:00,35.25,,23.6,23.4,104,105,2,1,,BX.WX|OX.MX,,CK,Rings changed: previously BX.WX|OX.OX,,,,,,,,
2006,D,2,2006_D_2,802109785,AF,510,1899-12-31 11:40:00,40,,25.3,25,110,112,0,1,,WX.BX|OX.RM,,CK,,,,,,,,,
2006,A,3,2006_A_3,802122911,AF,511,1899-12-31 07:05:00,38.75,,26.2,26,110,110,0,1,,RX.MX|WX.LX,,CK,,,,,,,,,
2006,A,2,2006_A_2,CA2082,AF,511,1899-12-31 07:05:00,39.5,,25.6,25.7,110,111,1,1,,YX.MX|WX.GX,,SQ,,,,,,,,,
2006,A,7,2006_A_7,802122913,AF,511,1899-12-31 09:10:00,37,,23.8,23.6,105,106,0,1,,RX.MX|WX.GX,,CK,,,,,,,,,
2006,A,5,2006_A_5,802122914,AF,511,1899-12-31 09:45:00,41.75,,24.6,24.7,107,108,3,1,,BX.MX|BX.WX,,SQ,Rings changed: previously BX.GX|BX.WX,,,,,,,,
2006,D,102,2006_D_102,802122915,AM,511,1899-12-31 21:10:00,37.25,,26,25.9,109,109,2,1,,RX.YX|OX.MX,,CK,Rings changed: previously RX.YX|OX.BX,,,,,,,,
2006,D,103,2006_D_103,CA264,AM,511,1899-12-31 21:10:00,37.25,,26,26,112,112,2,1,,YX.MX|WX.LX,,SQ,,,,,,,,,
2006,D,1,2006_D_1,802122919,AM,511,1899-12-31 22:10:00,37,,26.1,26.1,112,113,2,1,,BX.WX|RX.MX,,CK,,,,,,,,,
2006,D,101,2006_D_101,CA180,AM,511,1899-12-31 22:15:00,38,,26.2,26.2,109,109,0,1,,YX.MX|WX.RX,,SQ,,,,,,,,,
2006,D,2,2006_D_2,BX.WX|LX.XX,AM,511,1899-12-31 23:05:00,37,,25.3,25.4,110,111,0,1,,BX.WX|LX.XX,,SQ,,,,,,,,,
2006,A,3,2006_A_3,CA143,AM,512,1899-12-31 21:05:00,41.25,,26.2,26.3,111,112,1,1,,RX.MX|RX.WX,,CK,,,,,,,,,
2006,B,5,2006_B_5,CA057,AM,512,1899-12-31 21:35:00,35.75,,25,25,108,109,2,1,,WX.MX|WX.WX,,CK,,,,,,,,,
2006,A,2,2006_A_2,CA2082,AF,512,1899-12-31 21:45:00,36.25,,26,25.9,,,0,0,,YX.MX|WX.GX,,CK,,,,,,,,,
2006,A,7,2006_A_7,CA1545,AM,512,1899-12-31 22:10:00,37.75,,26.3,26.4,112,112,1,1,,RX.MX|WX.YX,,CK,,,,,,,,,
2006,A,5,2006_A_5,CA328,AM,513,1899-12-31 22:15:00,38,,25.2,25.2,107,108,2,1,,YX.MX|WX.WX,,SQ,,,,,,,,,
2006,B,4,2006_B_4,802122925,AM,513,1899-12-31 22:50:00,38.25,,25.6,25.5,108,109,0,1,,YX.MX|BX.BX,,SQ,,,,,,,,,
2006,B,5,2006_B_5,802109721,AF,515,1899-12-31 07:25:00,39.25,,23.4,23.4,108,109,3,1,,XX.WB|XX.RWM,,SQ,,,,,,,,,
2006,C,-1,2006_C_-1,802122927,JJ,515,1899-12-31 07:30:00,5.8,,17.7,17.6,,,,1,,MX.XX|BX.XX,,CK,,,,,,,,,
2006,C,-1,2006_C_-1,CA142,AM,515,1899-12-31 07:30:00,32.75,,26.5,26.3,111,112,0,1,,RX.MX|RX.LX,,CK,,,,,,,,,
2006,B,4,2006_B_4,802122928,AF,515,1899-12-31 07:45:00,36.5,,24.2,24.3,102,103,2,1,,YX.MX|BX.LX,,SQ,,,,,,,,,
2006,A,102,2006_A_102,802122930,AF,515,1899-12-31 10:30:00,39.25,,25.9,25.8,95,105,2,1,,YX.MX|BX.GX,,SQ,,,,,,,,,
2006,B,1,2006_B_1,CA241,AF,518,1899-12-31 05:00:00,40,,,,,,,0,,RX.MX|BX.BX,,CK,,,,,,,,,
