year,site,nest,easting,northing,found_date,laying_date,end_date,fate,no_chicks,clutch_size,length1,width1,float1,length2,width2,float2,length3,width3,float3,observer,comments,,,,,north-west,north-east
2006,A,1,54.501,57.478,502,427,512,ABAN,,2,30.1,22.6,C,29.5,21.4,B,,,,CK,abandoned nest is smashed on 516 by car,,,,north,57.499,57.499
2006,A,2,54.258,57.181,505,427,601,UNHATCH,0,3,30.7,22.6,C,30.7,22.4,D,31,21.9,D,CK,,,,,west,,54.07
2006,A,3,54.34,57.201,505,506,519,PRED,,3,31,22.3,B,31.3,22.7,AB,31.2,22.6,,CK,,,,,,,
2006,A,4,54.851,57.499,507,504,607,UNHATCH,0,3,29.3,21.3,AB,31.5,21.9,B,30.9,21.7,AB,CK,all unhatched eggs contained yellow yolk,,,,,,
2006,A,5,54.642,57.481,508,504,529,HATCH,2,3,30.2,22,C,30.5,21.8,AB,31,21.5,B,CK,unhatched egg(s) with yolk only,,,,,,
2006,A,6,54.61,57.41,508,505,509,PRED,,2,,,B,,,B,,,,CK,,,,,,,
2006,A,7,54.548,57.364,508,506,531,HATCH,3,3,29.8,22.5,B,29.5,22.5,C,30.7,22.4,AB,CK,,,,,,,
2006,A,8,54.391,57.375,516,505,521,PRED,,2,31,21.8,F,30.6,22.1,F,,,,CK,,,,,,,
2006,A,101,54.07,57.099,512,512,606,HATCH,2+,3,31.8,22.8,A,32.4,22.4,A,32.5,22.2,A,SQ,"1 egg/chick disappeared at hatching, after the first two chicks had hatched",,,,,,
2006,A,102,54.144,57.054,512,507,519,PRED,,2,33.4,22.8,C,32.9,22.9,B,,,,SQ,,,,,,,
2006,A,103,54.313,57.153,513,511,605,HATCH,3,3,32.6,23.1,B,31.8,22.9,A,31.1,23.2,A,SQ,one egg disappeared about 10 days before hatching,,,,,,
2006,A,104,54.279,57.19,513,516,610,HATCH,2,3,31.7,23,A,31.1,23.1,A,31.3,23.2,B,SQ,?unhatched egg(s) with yolk only,,,,,,
2006,A,105,54.087,57.013,513,503,523,PRED,,3,29.7,22.2,D,31.2,22.2,D,30.7,22.2,E,SQ,,,,,,,
2006,A,106,,,513,510,523,PRED,,3,32.2,22.6,A,31.9,22.8,B,33.3,22.5,A,SQ,,,,,,,
2006,B,1,54.729,57.824,502,501,526,HATCH,1,3,30.7,22.9,C,32.9,22,C,32.6,22.5,C,CK,"518 male found dead 2 m next to nest, on egg broken; 525 both remaining eggs pecking; 526 one egg hatched but chick found dead in nest, last egg unhatched ",,,,,,
2006,B,2,54.717,57.827,502,504,529,HATCH,1,2,31.5,22.8,AB,30.8,22.3,B,,,,CK,503 one egg disappeared,,,,,,
2006,B,3,54.827,57.832,503,425,513,ABAN,,3,32.2,21.7,D,31.2,22.2,D,31.3,22,C,CK,,,,,,,
2006,B,4,54.705,57.76,507,508,602,HATCH,3,3,29.7,21,AB,29.8,22,A ,29.4,21.6,,CK,,,,,,,
2006,B,5,54.772,57.754,508,511,605,HATCH,3,3,31.3,22.9,B,30.9,23,B,31.1,22.8,AB,CK,,,,,,,
