“ring"	"ch"	"Year"	"Hatch_Date_simp"	"Day_of_Season"	"Sex"	"Hatch_ID"	"Care_ID"	"CF"	"Hatch_brood_size"	"Care_site"
"CA004"	"11110101.10110000000.000000"	"2006"	525	24	"M"	"2006_D_6"	"2006_D_6"	0	3	"D"
"CA005"	"11110000.00000000000.000000"	"2006"	525	24	"M"	"2006_D_6"	"2006_D_6"	0	3	"D"
"CA006"	"11110000.00000000000.000000"	"2006"	525	24	"F"	"2006_D_6"	"2006_D_6"	0	3	"D"
"CA009"	"110100.00000000000.00000000"	"2006"	527	26	"F"	"2006_D_2"	"2006_D_2"	0	3	"D"
"CA016"	"110100.00000000000.00000000"	"2006"	527	26	"F"	"2006_D_2"	"2006_D_2"	0	3	"D"
"CA017"	"110100.00000000000.00000000"	"2006"	527	26	"M"	"2006_D_2"	"2006_D_2"	0	3	"D"
"CA022"	"1111..10000.0000000.000.0.."	"2006"	529	28	"M"	"2006_A_5"	"2006_A_5"	0	2	"A"
"CA023"	"1..101.00010100101111100100"	"2006"	529	28	"M"	"2006_B_2"	"2006_B_2"	0	1	"B"
"CA024"	"1000.00000000000.0000000000"	"2006"	529	28	"M"	"2006_D_102"	"2006_D_102"	0	1	"D"
"CA028"	"1111..10000.0000000.000.0.."	"2006"	529	28	"M"	"2006_A_5"	"2006_A_5"	0	2	"A"
"CA032"	"11..11011.1011001.001.1..11"	"2006"	531	30	"F"	"2006_A_7"	"2006_A_7"	0	3	"A"
"CA033"	"11..11011.1011001.001.1..11"	"2006"	531	30	"M"	"2006_A_7"	"2006_A_7"	0	3	"A"
"CA037"	"11..11011.1011001.001.1..11"	"2006"	531	30	"F"	"2006_A_7"	"2006_A_7"	0	3	"A"
"CA038"	"100110000110100110010000001"	"2006"	601	31	"F"	"2006_C_107"	"2006_C_107"	0	2	"C"
"CA041"	"100110000110100110010000001"	"2006"	601	31	"F"	"2006_C_107"	"2006_C_107"	0	2	"C"
"CA045"	"11.010110110101010111011010"	"2006"	602	32	"M"	"2006_B_4"	"2006_B_4"	0	3	"B"
"CA046"	"11.010110110101010111011010"	"2006"	602	32	"F"	"2006_B_4"	"2006_B_4"	0	3	"B"
"CA053"	"100100100101001010110010101"	"2006"	602	32	"M"	"2006_C_7"	"2006_C_7"	0	1	"C"
"CA055"	"11.010110110101010111011010"	"2006"	602	32	"M"	"2006_B_4"	"2006_B_4"	0	3	"B"
"CA056"	"100011011010010101010101010"	"2006"	603	33	"M"	"2006_C_5"	"2006_C_5"	0	1	"C"
"CA059"	"1101001000.0000000000000000"	"2006"	604	34	"F"	"2006_D_117"	"2006_D_117"	0	1	"D"
"CA070"	"1011011010110100100000000.0"	"2006"	605	35	"M"	"2006_B_6"	"2006_B_6"	0	2	"B"
"CA071"	"1011011010110100100000000.0"	"2006"	605	35	"F"	"2006_B_6"	"2006_B_6"	0	2	"B"
"CA072"	"1010010010010001100101011.1"	"2006"	605	35	"F"	"2006_B_5"	"2006_B_5"	0	3	"B"
"CA073"	"1010010010010001100101011.1"	"2006"	605	35	"M"	"2006_B_5"	"2006_B_5"	0	3	"B"
