"ring"	"ch"	"sex"	"age"
"CA009"	"1000000"	"F"	"J"
"CA032"	"1000000"	"F"	"J"
"CA033"	"1000000"	"M"	"J"
"CA037"	"1000000"	"F"	"J"
"CA038"	"1000000"	"F"	"J"
"CA045"	"1110000"	"F"	"J"
"CA046"	"1000000"	"F"	"J"
"CA053"	"1000000"	"M"	"J"
"CA055"	"1000000"	"M"	"J"
"CA056"	"1000000"	"M"	"J"
"CA071"	"1000000"	"F"	"J"
"CA072"	"1111000"	"F"	"J"
"CA073"	"1000000"	"M"	"J"
"CA074"	"1000000"	"F"	"J"
"CA083"	"1000000"	"F"	"J"
"CA084"	"1011000"	"M"	"J"
"CA085"	"1000000"	"F"	"J"
"CA089"	"1000000"	"M"	"J"
"CA090"	"1000000"	"F"	"J"
"CA095"	"1000000"	"F"	"J"
"CA097"	"1000000"	"F"	"J"
"CA106"	"1000000"	"F"	"J"
"CA119"	"1000000"	"F"	"J"
"CA120"	"1000000"	"M"	"J"
"CA121"	"1000000"	"F"	"J"
"CA124"	"1000000"	"F"	"J"
"CA127"	"1100000"	"M"	"J"
"CA129"	"1100000"	"M"	"J"
"CA147"	"1000000"	"M"	"J"
"CA148"	"1000000"	"M"	"J"
"CA149"	"1000000"	"M"	"J"
"CA163"	"1000000"	"F"	"J"
"CA164"	"1000000"	"F"	"J"
"CA167"	"1000000"	"M"	"J"
"CA174"	"1000000"	"M"	"J"
"CA175"	"1000000"	"M"	"J"
"CA182"	"1000000"	"M"	"J"
"CA183"	"1101000"	"M"	"J"
"CA188"	"1000000"	"M"	"J"
"CA192"	"1000000"	"M"	"J"
"CA195"	"1000000"	"F"	"J"
"CA199"	"1000000"	"M"	"J"
"CA200"	"1000000"	"M"	"J"
"CA206"	"1000000"	"F"	"J"
"CA207"	"1000000"	"M"	"J"
"CA209"	"1000000"	"F"	"J"
"CA218"	"1000000"	"M"	"J"
"CA225"	"1000000"	"M"	"J"
"CA232"	"1000000"	"M"	"J"
"CA237"	"1000000"	"F"	"J"
"CA238"	"1000000"	"M"	"J"
"CA239"	"1000000"	"M"	"J"
"CA246"	"1000000"	"M"	"J"
"CA250"	"1000000"	"M"	"J"
"CA254"	"1000000"	"F"	"J"
"CA255"	"1000000"	"F"	"J"
"CA257"	"1000000"	"M"	"J"
"CA260"	"1000000"	"F"	"J"
"CA261"	"1000000"	"M"	"J"
"CA267"	"1000000"	"M"	"J"
"CA269"	"1000000"	"F"	"J"
"CA270"	"1000000"	"M"	"J"
"CA271"	"1000000"	"F"	"J"
"CA272"	"1000000"	"F"	"J"
"CA273"	"1000000"	"M"	"J"
"CA275"	"1000000"	"M"	"J"
"CA276"	"1000000"	"F"	"J"
"CA277"	"1000000"	"F"	"J"
"CA302"	"1000000"	"F"	"J"
"CA304"	"1000000"	"M"	"J"
"CA305"	"1000000"	"M"	"J"
"CA306"	"1000000"	"M"	"J"
"CA309"	"1000000"	"M"	"J"
"CA311"	"1000000"	"M"	"J"
"CA312"	"1000000"	"F"	"J"
"CA313"	"1000000"	"F"	"J"
"CA315"	"1000000"	"F"	"J"
"CA316"	"1000000"	"F"	"J"
"CA317"	"1000000"	"M"	"J"
"CA318"	"1000000"	"M"	"J"
"CA319"	"1000000"	"M"	"J"
"CA320"	"1000000"	"F"	"J"
"CA321"	"1000000"	"M"	"J"
"CA322"	"1000000"	"F"	"J"
"CA323"	"1000000"	"M"	"J"
"CA324"	"1111100"	"M"	"J"
"CA325"	"1000000"	"F"	"J"
"CA326"	"1000000"	"F"	"J"
"CA329"	"1000000"	"M"	"J"
"CA1202"	"0100000"	"M"	"J"
"CA1203"	"0111111"	"M"	"J"
"CA1204"	"0111100"	"M"	"J"
"CA1205"	"0100000"	"F"	"J"
"CA1206"	"0100000"	"M"	"J"
"CA1211"	"0100000"	"M"	"J"
"CA1212"	"0111000"	"F"	"J"
"CA1213"	"0111110"	"M"	"J"
"CA1214"	"0100000"	"F"	"J"
"CA1215"	"0111000"	"M"	"J"
"CA1218"	"0100000"	"F"	"J"
"CA1219"	"0100000"	"F"	"J"
"CA1220"	"0100000"	"F"	"J"
"CA1222"	"0111000"	"M"	"J"
"CA1228"	"0100000"	"F"	"J"
"CA1231"	"0100000"	"F"	"J"
"CA1232"	"0100000"	"F"	"J"
"CA1236"	"0100000"	"M"	"J"
"CA1239"	"0100000"	"F"	"J"
"CA1240"	"0100000"	"M"	"J"
"CA1241"	"0100000"	"F"	"J"
"CA1242"	"0100000"	"M"	"J"
"CA1243"	"0100000"	"M"	"J"
"CA1245"	"0100000"	"M"	"J"
"CA1246"	"0100100"	"M"	"J"
"CA1248"	"0101111"	"M"	"J"
"CA1249"	"0100000"	"F"	"J"
"CA1250"	"0100000"	"M"	"J"
"CA1269"	"0100000"	"M"	"J"
"CA1276"	"0101110"	"F"	"J"
"CA1278"	"0111111"	"F"	"J"
"CA1282"	"0100000"	"M"	"J"
"CA1284"	"0100000"	"M"	"J"
"CA1286"	"0100000"	"F"	"J"
"CA1288"	"0100000"	"M"	"J"
"CA1289"	"0100000"	"M"	"J"
"CA1303"	"0100000"	"F"	"J"
"CA1315"	"0100000"	"M"	"J"
"CA1325"	"0100000"	"M"	"J"
"CA1338"	"0100000"	"M"	"J"
"CA1344"	"0100000"	"F"	"J"
"CA1345"	"0100000"	"F"	"J"
"CA1346"	"0100000"	"F"	"J"
"CA1348"	"0100000"	"F"	"J"
"CA1354"	"0100000"	"M"	"J"
"CA1369"	"0100000"	"F"	"J"
"CA1376"	"0100000"	"F"	"J"
"CA1378"	"0100000"	"F"	"J"
"CA1393"	"0100000"	"M"	"J"
"CA1403"	"0100000"	"F"	"J"
"CA1404"	"0100000"	"M"	"J"
"CA1406"	"0100000"	"F"	"J"
"CA1409"	"0111110"	"M"	"J"
"CA1410"	"0100000"	"M"	"J"
"CA1411"	"0100000"	"F"	"J"
"CA1412"	"0100000"	"F"	"J"
"CA1413"	"0100000"	"F"	"J"
"CA1414"	"0100000"	"M"	"J"
"CA1416"	"0111111"	"M"	"J"
"CA1418"	"0111111"	"M"	"J"
"CA1429"	"0111110"	"F"	"J"
