"ch"	"species"	"ring"	"sex"	"age"
"1100100"	"KIP"	"FH17810"	"F"	"A"
"1000001"	"KIP"	"FH17847"	"M"	"A"
"1001111"	"KIP"	"FH17854"	"F"	"A"
"1001111"	"KIP"	"FH17858"	"M"	"A"
"1101111"	"KIP"	"FH17877"	"M"	"A"
"1000010"	"KIP"	"FH47020"	"F"	"A"
"0000100"	"KIP"	"FH47038"	"M"	"J"
"0000101"	"KIP"	"FH47041"	"F"	"A"
"0000110"	"KIP"	"FH47042"	"F"	"A"
"1101110"	"KIP"	"FH47045"	"F"	"A"
"1101110"	"KIP"	"FH47045"	"F"	"A"
"0000111"	"KIP"	"FH47049"	"M"	"A"
"0000110"	"KIP"	"FH47059"	"M"	"A"
"0000101"	"KIP"	"FH47065"	"M"	"A"
"0000100"	"KIP"	"FH47066"	"F"	"A"
"0000100"	"KIP"	"FH47068"	"F"	"A"
"0000101"	"KIP"	"FH47071"	"F"	"A"
"0000001"	"KIP"	"FH47073"	"F"	"A"
"0001000"	"KIP"	"FH47104"	"M"	"A"
"0001010"	"KIP"	"FH47105"	"M"	"A"
"0001100"	"KIP"	"FH47112"	"F"	"A"
"0000100"	"KIP"	"FH47114"	"F"	"J"
"0001000"	"KIP"	"FH47116"	"F"	"J"
"0001000"	"KIP"	"FH47117"	"M"	"A"
"0001000"	"KIP"	"FH47118"	"M"	"J"
"0001000"	"KIP"	"FH47126"	"M"	"J"
"0001000"	"KIP"	"FH47127"	"M"	"A"
"0001101"	"KIP"	"FH47130"	"M"	"A"
"0001000"	"KIP"	"FH47136"	"M"	"J"
"0001000"	"KIP"	"FH47140"	"F"	"J"
"0001000"	"KIP"	"FH47145"	"F"	"J"
"0001100"	"KIP"	"FH47149"	"F"	"J"
"0001100"	"KIP"	"FH47149"	"F"	"J"
"0001000"	"KIP"	"FH47152"	"M"	"J"
"0001000"	"KIP"	"FH47153"	"F"	"J"
"0000111"	"KIP"	"FH47155"	"F"	"A"
"0000100"	"KIP"	"FH47156"	"F"	"A"
"0000100"	"KIP"	"FH47156"	"F"	"A"
"0001000"	"KIP"	"FH47157"	"M"	"J"
"0001000"	"KIP"	"FH47164"	"M"	"J"
"0001000"	"KIP"	"FH47166"	"M"	"J"
"0001000"	"KIP"	"FH47167"	"M"	"J"
"0001000"	"KIP"	"FH47168"	"M"	"A"
"0000100"	"KIP"	"FH47175"	"M"	"J"
"0000100"	"KIP"	"FH47176"	"M"	"J"
"0000100"	"KIP"	"FH47179"	"M"	"J"
"0000111"	"KIP"	"FH47180"	"M"	"A"
"0001111"	"KIP"	"FH47181"	"F"	"J"
"0000110"	"KIP"	"FH47182"	"F"	"A"
"0000100"	"KIP"	"FH47183"	"F"	"A"
"0000100"	"KIP"	"FH47185"	"M"	"A"
"0000111"	"KIP"	"FH47186"	"F"	"A"
"0000111"	"KIP"	"FH47186"	"F"	"A"
"0000101"	"KIP"	"FH47187"	"F"	"A"
"0000101"	"KIP"	"FH47187"	"M"	"A"
"0000111"	"KIP"	"FH47188"	"F"	"A"
"0000100"	"KIP"	"FH47190"	"M"	"A"
"0000111"	"KIP"	"FH47194"	"F"	"A"
"0000101"	"KIP"	"FH47231"	"M"	"J"
"0000101"	"KIP"	"FH47231"	"M"	"J"
"1000011"	"KIP"	"FH47324"	"M"	"J"
"1011000"	"KIP"	"FH47329"	"M"	"A"
"1001101"	"KIP"	"FH47333"	"M"	"A"
"1001101"	"KIP"	"FH47333"	"M"	"A"
"1100000"	"KIP"	"FH47344"	"F"	"A"
"0000111"	"KIP"	"FH47352"	"F"	"A"
"0000100"	"KIP"	"FH47355"	"M"	"J"
"0000101"	"KIP"	"FH47356"	"M"	"A"
"0000100"	"KIP"	"FH47363"	"F"	"A"
"0000100"	"KIP"	"FH47364"	"F"	"J"
"0000100"	"KIP"	"FH47384"	"F"	"A"
"0000100"	"KIP"	"FH47393"	"F"	"J"
"0000001"	"KIP"	"FH47394"	"F"	"A"
"0000101"	"KIP"	"FH47395"	"F"	"A"
"0000100"	"KIP"	"FH47399"	"M"	"J"
"1001101"	"KIP"	"FH47404"	"F"	"A"
"0000100"	"KIP"	"FH47411"	"M"	"J"
"0000100"	"KIP"	"FH47418"	"M"	"A"
"0000101"	"KIP"	"FH47419"	"F"	"A"
"0000101"	"KIP"	"FH47432"	"F"	"A"
"0000101"	"KIP"	"FH47432"	"F"	"A"
"0000111"	"KIP"	"FH47439"	"M"	"A"
"0001000"	"KIP"	"FH47450"	"M"	"J"
"1010010"	"KIP"	"FH47458"	"F"	"A"
"0000100"	"KIP"	"FH47459"	"F"	"A"
"0000100"	"KIP"	"FH47462"	"F"	"A"
"0000101"	"KIP"	"FH47466"	"M"	"A"
"0000101"	"KIP"	"FH47466"	"M"	"A"
"0000100"	"KIP"	"FH47478"	"M"	"J"
"0000100"	"KIP"	"FH47480"	"F"	"A"
"0000110"	"KIP"	"FH47485"	"M"	"A"
"0000110"	"KIP"	"FH47493"	"F"	"A"
"0000101"	"KIP"	"FH47495"	"F"	"A"
"0100010"	"KIP"	"FH47529"	"M"	"A"
"0100000"	"KIP"	"FH47533"	"F"	"J"
"0101010"	"KIP"	"FH47534"	"M"	"A"
"0100000"	"KIP"	"FH47535"	"M"	"A"
"0100000"	"KIP"	"FH47536"	"F"	"A"
"0100000"	"KIP"	"FH47537"	"F"	"A"
"0100000"	"KIP"	"FH47538"	"M"	"A"
"0100000"	"KIP"	"FH47539"	"M"	"J"
"0100000"	"KIP"	"FH47540"	"M"	"A"
"0100001"	"KIP"	"FH47541"	"F"	"A"
"0100000"	"KIP"	"FH47548"	"M"	"A"
"0100000"	"KIP"	"FH47549"	"M"	"A"
"0100000"	"KIP"	"FH47550"	"F"	"A"
"0100000"	"KIP"	"FH47551"	"M"	"A"
"0100000"	"KIP"	"FH47552"	"F"	"A"
"0100000"	"KIP"	"FH47553"	"M"	"A"
"0100000"	"KIP"	"FH47554"	"M"	"A"
"0100000"	"KIP"	"FH47555"	"M"	"A"
"0100100"	"KIP"	"FH47556"	"F"	"A"
"0100010"	"KIP"	"FH47557"	"F"	"A"
"0100000"	"KIP"	"FH47558"	"M"	"A"
"0100000"	"KIP"	"FH47559"	"F"	"A"
"0100000"	"KIP"	"FH47560"	"M"	"A"
"0100100"	"KIP"	"FH47561"	"F"	"A"
"0100000"	"KIP"	"FH47562"	"M"	"A"
"0100000"	"KIP"	"FH47563"	"M"	"A"
"0101000"	"KIP"	"FH47564"	"F"	"A"
"0100000"	"KIP"	"FH47565"	"M"	"A"
"0100000"	"KIP"	"FH47566"	"F"	"A"
"0100000"	"KIP"	"FH47567"	"M"	"A"
"0100110"	"KIP"	"FH47568"	"F"	"A"
"0100000"	"KIP"	"FH47569"	"M"	"A"
"0100000"	"KIP"	"FH47570"	"F"	"A"
"0100000"	"KIP"	"FH47571"	"F"	"A"
"0100010"	"KIP"	"FH47572"	"F"	"A"
