"ch"	"species"	"ring"	"sex"	"age"
"0110011"	"MP"	"FH17770"	"F"	"A"
"0001011"	"MP"	"FH17803"	"F"	"A"
"0001011"	"MP"	"FH17803"	"F"	"A"
"0001000"	"MP"	"FH17804"	"F"	"A"
"0001000"	"MP"	"FH17806"	"F"	"J"
"1010100"	"MP"	"FH17815"	"F"	"A"
"1100111"	"MP"	"FH17819"	"M"	"A"
"1100111"	"MP"	"FH17819"	"M"	"A"
"1101000"	"MP"	"FH17825"	"M"	"A"
"1110111"	"MP"	"FH17826"	"M"	"A"
"1010111"	"MP"	"FH17834"	"M"	"A"
"1010100"	"MP"	"FH17841"	"F"	"A"
"1010100"	"MP"	"FH17841"	"F"	"A"
"1010100"	"MP"	"FH17841"	"F"	"A"
"1010100"	"MP"	"FH17841"	"F"	"A"
"1000011"	"MP"	"FH17846"	"F"	"A"
"1000011"	"MP"	"FH17846"	"F"	"A"
"1001000"	"MP"	"FH17856"	"M"	"A"
"1000111"	"MP"	"FH17885"	"F"	"J"
"0000001"	"MP"	"FH47015"	"M"	"A"
"0000111"	"MP"	"FH47025"	"F"	"A"
"0000111"	"MP"	"FH47025"	"F"	"A"
"0000111"	"MP"	"FH47040"	"F"	"A"
"0000111"	"MP"	"FH47040"	"F"	"A"
"0000101"	"MP"	"FH47052"	"M"	"A"
"0000101"	"MP"	"FH47060"	"F"	"A"
"0000101"	"MP"	"FH47060"	"F"	"A"
"0000100"	"MP"	"FH47064"	"M"	"J"
"0000100"	"MP"	"FH47076"	"M"	"A"
"0001000"	"MP"	"FH47123"	"M"	"A"
"0001000"	"MP"	"FH47125"	"F"	"A"
"0001000"	"MP"	"FH47131"	"F"	"J"
"0001001"	"MP"	"FH47132"	"F"	"A"
"0001001"	"MP"	"FH47132"	"F"	"A"
"0001001"	"MP"	"FH47132"	"F"	"A"
"0001001"	"MP"	"FH47132"	"F"	"A"
"0001000"	"MP"	"FH47137"	"F"	"A"
"0001000"	"MP"	"FH47138"	"F"	"A"
"0001000"	"MP"	"FH47139"	"M"	"A"
"0001000"	"MP"	"FH47154"	"M"	"A"
"0000111"	"MP"	"FH47160"	"M"	"A"
"0000111"	"MP"	"FH47160"	"M"	"A"
"0001100"	"MP"	"FH47161"	"F"	"A"
"0001100"	"MP"	"FH47161"	"F"	"A"
"0001000"	"MP"	"FH47162"	"M"	"A"
"0001000"	"MP"	"FH47163"	"F"	"J"
"0000111"	"MP"	"FH47165"	"M"	"A"
"0000111"	"MP"	"FH47189"	"M"	"A"
"0000111"	"MP"	"FH47189"	"M"	"A"
"0000100"	"MP"	"FH47192"	"F"	"J"
"0000100"	"MP"	"FH47193"	"M"	"J"
"0000100"	"MP"	"FH47367"	"F"	"A"
"0100000"	"MP"	"FH47421"	"M"	"J"
"0000100"	"MP"	"FH47437"	"F"	"J"
"0000101"	"MP"	"FH47441"	"M"	"A"
"0000111"	"MP"	"FH47506"	"M"	"A"
"0000101"	"MP"	"FH47521"	"F"	"A"
"0100000"	"MP"	"FH47542"	"M"	"A"
"0100010"	"MP"	"FH47543"	"M"	"A"
"0100010"	"MP"	"FH47543"	"M"	"A"
"0100000"	"MP"	"FH47544"	"F"	"A"
"0100000"	"MP"	"FH47545"	"F"	"A"
"0100000"	"MP"	"FH47580"	"F"	"A"
"0100011"	"MP"	"FH47586"	"M"	"A"
"0100000"	"MP"	"FH47591"	"M"	"A"
"0100001"	"MP"	"FH47592"	"F"	"A"
"0100111"	"MP"	"FH47595"	"F"	"A"
"0100111"	"MP"	"FH47595"	"F"	"A"
"0100001"	"MP"	"FH47596"	"F"	"A"
"0100000"	"MP"	"FH47597"	"M"	"A"
"0110000"	"MP"	"FH47598"	"F"	"A"
"0100110"	"MP"	"FH47599"	"M"	"A"
"0100000"	"MP"	"FH47600"	"F"	"A"
"0100001"	"MP"	"FH47602"	"F"	"A"
"0100000"	"MP"	"FH47603"	"M"	"J"
"0110000"	"MP"	"FH47604"	"F"	"A"
"0100111"	"MP"	"FH47607"	"M"	"J"
"0100111"	"MP"	"FH47607"	"M"	"J"
"0100000"	"MP"	"FH47656"	"F"	"A"
"0100000"	"MP"	"FH47683"	"M"	"J"
"0100000"	"MP"	"FH47683"	"M"	"J"
"0100001"	"MP"	"FH47804"	"F"	"A"
"0100001"	"MP"	"FH47804"	"F"	"A"
"0100000"	"MP"	"FH47805"	"F"	"A"
"0100000"	"MP"	"FH47806"	"M"	"J"
"0100000"	"MP"	"FH47895"	"M"	"J"
"0100000"	"MP"	"FH47896"	"F"	"J"
"1110101"	"MP"	"FH47908"	"F"	"A"
"1010111"	"MP"	"FH47944"	"M"	"A"
"0000111"	"MP"	"FH68722"	"F"	"A"
"0000111"	"MP"	"FH68722"	"F"	"A"
"0000111"	"MP"	"FH68722"	"F"	"A"
"0000001"	"MP"	"FH68734"	"M"	"A"
"0000001"	"MP"	"FH68757"	"M"	"A"
"0000111"	"MP"	"FH68762"	"F"	"A"
"0000111"	"MP"	"FH68762"	"F"	"A"
"0000100"	"MP"	"FH68775"	"F"	"A"
"0000110"	"MP"	"FH68776"	"F"	"A"
"0000111"	"MP"	"FH68779"	"M"	"A"
"0000111"	"MP"	"FH68779"	"M"	"A"
"0000110"	"MP"	"FH68795"	"F"	"A"
"0000100"	"MP"	"FH68799"	"M"	"A"
"0000111"	"MP"	"FH68800"	"F"	"A"
"0000111"	"MP"	"FH68800"	"F"	"A"
"0000100"	"MP"	"FH68888"	"M"	"A"
"0000100"	"MP"	"FH68892"	"F"	"A"
"0000111"	"MP"	"FH68893"	"F"	"A"
"0000111"	"MP"	"FH68893"	"F"	"A"
"0000111"	"MP"	"FH68893"	"F"	"A"
"0000111"	"MP"	"FH68893"	"F"	"A"
"0000111"	"MP"	"FH68918"	"F"	"A"
"0000111"	"MP"	"FH68919"	"M"	"A"
"0000100"	"MP"	"FH68921"	"M"	"J"
"0000100"	"MP"	"FH68922"	"M"	"J"
"0000100"	"MP"	"FH68936"	"M"	"J"
"0000111"	"MP"	"FH68944"	"F"	"A"
"0000100"	"MP"	"FH68946"	"M"	"J"
"0000100"	"MP"	"FH68947"	"F"	"J"
"0000100"	"MP"	"FH68947"	"F"	"J"
"0000100"	"MP"	"FH68948"	"M"	"J"
"0000100"	"MP"	"FH68951"	"M"	"J"
"0000101"	"MP"	"FH68989"	"F"	"A"
"0000111"	"MP"	"FH68993"	"F"	"A"
"0000110"	"MP"	"FH68999"	"F"	"A"
"0001000"	"MP"	"FH69226"	"F"	"J"
"0001000"	"MP"	"FH69227"	"M"	"J"
"0000100"	"MP"	"FH72101"	"F"	"J"
"0000100"	"MP"	"FH72102"	"M"	"J"
"0000110"	"MP"	"FH72116"	"M"	"A"
"0000111"	"MP"	"FH72147"	"F"	"A"
"0000100"	"MP"	"FH72148"	"F"	"J"
"0000100"	"MP"	"FH72149"	"M"	"A"
"0000101"	"MP"	"FH72178"	"F"	"A"
"0000110"	"MP"	"FH72191"	"F"	"A"
"0000111"	"MP"	"FH72197"	"M"	"A"
"0000101"	"MP"	"FH72201"	"F"	"J"
"0000101"	"MP"	"FH72201"	"F"	"J"
"0000111"	"MP"	"FH72202"	"M"	"A"
"0000100"	"MP"	"FH72203"	"M"	"J"
"0000100"	"MP"	"FH72216"	"F"	"J"
"0000100"	"MP"	"FH72230"	"F"	"J"
"0000100"	"MP"	"FH72237"	"M"	"J"
"0000100"	"MP"	"FH72238"	"F"	"J"
"0000100"	"MP"	"FH72246"	"M"	"J"
"0000111"	"MP"	"FH72247"	"M"	"A"
"0000100"	"MP"	"FH72253"	"M"	"J"
"0000100"	"MP"	"FH72254"	"M"	"J"
"0000100"	"MP"	"FH72255"	"M"	"A"
"0000110"	"MP"	"FH72256"	"F"	"A"
"0000100"	"MP"	"FH72262"	"M"	"J"
"0000100"	"MP"	"FH72263"	"F"	"J"
"0000101"	"MP"	"FH72264"	"M"	"A"
"0000110"	"MP"	"FH72274"	"M"	"A"
"0000110"	"MP"	"FH72274"	"M"	"A"
"0000110"	"MP"	"FH72274"	"M"	"A"
"0000110"	"MP"	"FH72274"	"M"	"A"
"0000110"	"MP"	"FH72274"	"M"	"A"
"0000110"	"MP"	"FH72274"	"M"	"A"
"0000110"	"MP"	"FH72274"	"M"	"A"
"0000110"	"MP"	"FH72274"	"M"	"A"
"0000100"	"MP"	"FH72275"	"M"	"J"
"0000100"	"MP"	"FH72275"	"M"	"J"
"0000100"	"MP"	"FH72275"	"M"	"J"
"0000100"	"MP"	"FH72275"	"M"	"J"
"0000100"	"MP"	"FH72275"	"M"	"J"
"0000100"	"MP"	"FH72275"	"M"	"J"
"0000100"	"MP"	"FH72275"	"M"	"J"
"0000100"	"MP"	"FH72275"	"M"	"J"
"0000111"	"MP"	"FH72276"	"M"	"J"
"0000111"	"MP"	"FH72276"	"M"	"J"
"0000111"	"MP"	"FH72276"	"M"	"J"
"0000111"	"MP"	"FH72276"	"M"	"J"
"0000111"	"MP"	"FH72279"	"F"	"A"
"0000111"	"MP"	"FH72279"	"F"	"A"
"0000100"	"MP"	"FH72304"	"F"	"A"
"0000110"	"MP"	"FH72321"	"M"	"A"
"0000101"	"MP"	"FH72322"	"M"	"A"
"0000111"	"MP"	"FH72367"	"M"	"A"
"0000100"	"MP"	"FH72368"	"M"	"J"
"0000100"	"MP"	"FH72403"	"M"	"J"
"0000100"	"MP"	"FH72404"	"F"	"J"
"0000111"	"MP"	"FH72405"	"M"	"A"
"0000111"	"MP"	"FH72446"	"M"	"J"
"0000011"	"MP"	"FH72484"	"F"	"A"
"0000010"	"MP"	"FH72501"	"F"	"A"
"0000010"	"MP"	"FH72506"	"F"	"J"
"0000010"	"MP"	"FH72509"	"M"	"J"
"0000010"	"MP"	"FH72511"	"F"	"J"
"0000011"	"MP"	"FH72512"	"F"	"A"
"0000010"	"MP"	"FH72513"	"M"	"A"
"0000010"	"MP"	"FH72514"	"F"	"A"
"0000011"	"MP"	"FH72521"	"F"	"A"
"0000011"	"MP"	"FH72522"	"M"	"A"
"0000010"	"MP"	"FH72527"	"M"	"J"
"0000011"	"MP"	"FH72550"	"F"	"A"
"0000010"	"MP"	"FH72557"	"M"	"J"
"0000010"	"MP"	"FH72595"	"M"	"J"
"0000011"	"MP"	"FH72596"	"F"	"A"
"0000011"	"MP"	"FH72596"	"F"	"A"
"0000011"	"MP"	"FH72599"	"F"	"A"
"0000011"	"MP"	"FH72613"	"M"	"A"
"0000011"	"MP"	"FH72614"	"F"	"J"
"0000010"	"MP"	"FH72615"	"F"	"J"
"0000010"	"MP"	"FH72624"	"F"	"A"
"0000011"	"MP"	"FH72632"	"M"	"A"
"0000011"	"MP"	"FH72633"	"F"	"A"
"0000010"	"MP"	"FH72634"	"M"	"J"
"0000010"	"MP"	"FH72635"	"F"	"J"
"0000011"	"MP"	"FH72636"	"M"	"A"
"0000001"	"MP"	"FH72659"	"M"	"A"
"0000001"	"MP"	"FH72659"	"F"	"A"
"0000001"	"MP"	"FH72659"	"F"	"A"
"0000001"	"MP"	"FH72672"	"M"	"A"
"0000011"	"MP"	"FH72680"	"F"	"A"
"0000001"	"MP"	"FH72681"	"F"	"A"
"0000001"	"MP"	"FH72681"	"M"	"A"
"0000001"	"MP"	"FH72683"	"F"	"J"
"0000001"	"MP"	"FH72684"	"M"	"J"
"0000001"	"MP"	"FH72688"	"F"	"A"
"0000001"	"MP"	"FH72690"	"M"	"J"
"0000001"	"MP"	"FH72694"	"F"	"A"
"0000001"	"MP"	"FH72697"	"M"	"A"
"0000011"	"MP"	"FH72704"	"M"	"A"
"0000011"	"MP"	"FH72706"	"F"	"A"
"0000010"	"MP"	"FH72707"	"M"	"J"
"0000010"	"MP"	"FH72708"	"M"	"J"
"0000011"	"MP"	"FH72715"	"F"	"A"
"0000011"	"MP"	"FH72715"	"F"	"A"
"0000010"	"MP"	"FH72757"	"M"	"J"
"0000010"	"MP"	"FH72758"	"F"	"J"
"0000010"	"MP"	"FH72763"	"M"	"J"
"0000010"	"MP"	"FH72764"	"F"	"J"
"0000011"	"MP"	"FH72784"	"M"	"A"
"0000011"	"MP"	"FH72784"	"M"	"A"
"0000010"	"MP"	"FH72792"	"F"	"J"
"0000010"	"MP"	"FH72793"	"M"	"J"
"0000011"	"MP"	"FH72810"	"M"	"J"
"0000010"	"MP"	"FH72813"	"M"	"J"
