"ch"	"species"	"ring"	"sex"	"age"
"0000100"	"WFP"	"FH120WfP1"	"M"	"J"
"0000100"	"WFP"	"FH120WfP2"	"M"	"J"
"1001111"	"WFP"	"FH17831"	"F"	"A"
"0000111"	"WFP"	"FH17841"	"F"	"A"
"0000111"	"WFP"	"FH17841"	"F"	"A"
"0000111"	"WFP"	"FH17841"	"F"	"A"
"0000111"	"WFP"	"FH17841"	"F"	"A"
"1001111"	"WFP"	"FH17853"	"M"	"A"
"1000110"	"WFP"	"FH17855"	"F"	"A"
"1001011"	"WFP"	"FH17861"	"F"	"J"
"0000100"	"WFP"	"FH47094"	"M"	"A"
"0001111"	"WFP"	"FH47107"	"M"	"J"
"0001111"	"WFP"	"FH47107"	"M"	"J"
"0001000"	"WFP"	"FH47109"	"F"	"A"
"0001111"	"WFP"	"FH47110"	"M"	"A"
"0001000"	"WFP"	"FH47111"	"F"	"J"
"0000101"	"WFP"	"FH47119"	"M"	"J"
"0000101"	"WFP"	"FH47119"	"M"	"J"
"0000111"	"WFP"	"FH47120"	"F"	"A"
"0001000"	"WFP"	"FH47121"	"F"	"A"
"0001101"	"WFP"	"FH47122"	"M"	"A"
"0001000"	"WFP"	"FH47133"	"F"	"J"
"0001101"	"WFP"	"FH47134"	"M"	"J"
"0000110"	"WFP"	"FH47141"	"M"	"A"
"0000110"	"WFP"	"FH47141"	"M"	"A"
"0000111"	"WFP"	"FH47144"	"M"	"A"
"0000111"	"WFP"	"FH47144"	"M"	"A"
"0001000"	"WFP"	"FH47173"	"F"	"J"
"0000100"	"WFP"	"FH47178"	"M"	"J"
"0000101"	"WFP"	"FH47191"	"F"	"A"
"1011111"	"WFP"	"FH47227"	"M"	"A"
"1011111"	"WFP"	"FH47227"	"M"	"A"
"1011111"	"WFP"	"FH47227"	"M"	"A"
"1001111"	"WFP"	"FH47240"	"M"	"A"
"1000111"	"WFP"	"FH47251"	"F"	"A"
"0001111"	"WFP"	"FH47252"	"M"	"J"
"1001111"	"WFP"	"FH47266"	"F"	"A"
"1001000"	"WFP"	"FH47270"	"F"	"A"
"1000010"	"WFP"	"FH47274"	"F"	"A"
"0001011"	"WFP"	"FH47357"	"F"	"J"
"0001011"	"WFP"	"FH47357"	"F"	"J"
"0000100"	"WFP"	"FH47366"	"M"	"J"
"0000100"	"WFP"	"FH47368"	"F"	"A"
"0000111"	"WFP"	"FH47370"	"F"	"A"
"0011100"	"WFP"	"FH47387"	"F"	"J"
"0000111"	"WFP"	"FH47390"	"F"	"A"
"0010010"	"WFP"	"FH47492"	"M"	"J"
"0100000"	"WFP"	"FH47531"	"F"	"A"
"0100010"	"WFP"	"FH47532"	"F"	"A"
"0100010"	"WFP"	"FH47532"	"M"	"A"
"0100010"	"WFP"	"FH47532"	"F"	"A"
"0100000"	"WFP"	"FH47546"	"M"	"A"
"0100111"	"WFP"	"FH47547"	"F"	"A"
"0100111"	"WFP"	"FH47547"	"F"	"A"
"0101111"	"WFP"	"FH47578"	"F"	"A"
"0101111"	"WFP"	"FH47579"	"M"	"A"
"0001001"	"WFP"	"FH47617"	"F"	"J"
"0001001"	"WFP"	"FH47617"	"F"	"J"
"0000111"	"WFP"	"FH47621"	"M"	"A"
"0000111"	"WFP"	"FH47621"	"M"	"A"
"0000111"	"WFP"	"FH47637"	"F"	"A"
"0000001"	"WFP"	"FH47749"	"M"	"A"
"0101110"	"WFP"	"FH47809"	"F"	"A"
"1101010"	"WFP"	"FH47907"	"F"	"A"
"1000010"	"WFP"	"FH47913"	"F"	"A"
"1000111"	"WFP"	"FH47915"	"M"	"A"
"1000111"	"WFP"	"FH47931"	"M"	"A"
"1001100"	"WFP"	"FH47934"	"M"	"A"
"1001000"	"WFP"	"FH47945"	"F"	"A"
"1101110"	"WFP"	"FH47946"	"F"	"A"
"1001111"	"WFP"	"FH47947"	"F"	"A"
"1000111"	"WFP"	"FH47967"	"F"	"A"
"1001111"	"WFP"	"FH47981"	"M"	"A"
"1001111"	"WFP"	"FH47981"	"M"	"A"
"1001111"	"WFP"	"FH47981"	"M"	"A"
"1000110"	"WFP"	"FH47985"	"M"	"A"
"0000111"	"WFP"	"FH47988"	"F"	"A"
"0000111"	"WFP"	"FH47988"	"F"	"A"
"0000111"	"WFP"	"FH47988"	"F"	"A"
"0000100"	"WFP"	"FH68705"	"M"	"A"
"0000111"	"WFP"	"FH68721"	"F"	"A"
"0000001"	"WFP"	"FH68748"	"M"	"A"
"0000001"	"WFP"	"FH68760"	"F"	"A"
"0000110"	"WFP"	"FH68772"	"M"	"A"
"0000110"	"WFP"	"FH68773"	"F"	"A"
"0000110"	"WFP"	"FH68773"	"F"	"A"
"0000100"	"WFP"	"FH68774"	"M"	"J"
"0000111"	"WFP"	"FH68777"	"M"	"A"
"0000111"	"WFP"	"FH68778"	"F"	"A"
"0000111"	"WFP"	"FH68780"	"F"	"A"
"0001111"	"WFP"	"FH68802"	"M"	"A"
"0001100"	"WFP"	"FH68809"	"F"	"A"
"0001000"	"WFP"	"FH68820"	"F"	"J"
"0001000"	"WFP"	"FH68821"	"F"	"J"
"0001000"	"WFP"	"FH68823"	"M"	"J"
"0001100"	"WFP"	"FH68830"	"M"	"A"
"0001100"	"WFP"	"FH68851"	"M"	"A"
"0001111"	"WFP"	"FH68858"	"M"	"A"
"0001111"	"WFP"	"FH68858"	"M"	"A"
"0001111"	"WFP"	"FH68861"	"F"	"A"
"0001100"	"WFP"	"FH68864"	"M"	"A"
"0001100"	"WFP"	"FH68864"	"M"	"A"
"0001100"	"WFP"	"FH68867"	"M"	"A"
"0001111"	"WFP"	"FH68868"	"F"	"A"
"0000100"	"WFP"	"FH68870"	"F"	"J"
"0000100"	"WFP"	"FH68895"	"F"	"J"
"0000100"	"WFP"	"FH68903"	"F"	"J"
"0000100"	"WFP"	"FH68913"	"F"	"J"
"0000111"	"WFP"	"FH68916"	"M"	"A"
"0000111"	"WFP"	"FH68917"	"F"	"A"
"0000100"	"WFP"	"FH68924"	"F"	"J"
"0000100"	"WFP"	"FH68925"	"M"	"J"
"0000100"	"WFP"	"FH68933"	"M"	"A"
"0000100"	"WFP"	"FH68934"	"F"	"J"
"0000100"	"WFP"	"FH68935"	"M"	"J"
"0000110"	"WFP"	"FH68949"	"F"	"A"
"0000101"	"WFP"	"FH68955"	"F"	"J"
"0000101"	"WFP"	"FH68955"	"F"	"J"
"0000111"	"WFP"	"FH68956"	"F"	"J"
"0000111"	"WFP"	"FH68956"	"F"	"J"
"0000111"	"WFP"	"FH68956"	"F"	"J"
"0000101"	"WFP"	"FH68979"	"M"	"A"
"0000101"	"WFP"	"FH68979"	"M"	"A"
