year,site,nest,laying_date,hatching_date,parent1,parent2,parent3,chick1,chick2,chick3,species,comments
2003,Antilihy bay,-1,,,,,,FH17102,,,MP,
2003,Ifaty,-1,,,,,,FH17108,,,MP,
2003,Besalampy_Marofototra,1,,,FH17103,,,,,,MP,
2003,Mahavavy_Andolomikopaka ,1,,,FH17101,,,,,,MP,
2003,Mangoky_Andevitry,1,,,FH17105,,,,,,MP,
2003,Tsiribihina delta,1,,,FH17104,,,,,,MP,
2003,Mangoky,2,,,FH17107,FH17106,,,,,MP,
2003,Marambitsy_Barakoky_Mampapany,10,,,FH17111,,,,,,MP,
2003,Marambitsy_Barakoky,11,,,FH17109,,,,,,MP,
2003,Marambitsy_Barakoky,12,,,FH17110,,,,,,MP,
2003,Marambitsy_Barakoky Ampakabe ,13,,,FH17112,,,,,,MP,
2004,Namakia-Paremahitsy,-9,,,,,,FH17181,FH17180,,KiP,
2004,Namakia-Paremahitsy,-8,,,,,,FH17182,,,KiP,
2004,Namakia-Paremahitsy,-7,,,,,,FH17186,,,KiP,
2004,Namakia-Paremahitsy,-6,,,,,,FH17187,,,KiP,
2004,Namakia-Paremahitsy,-5,,,,,,FH17196,FH17195,,KiP,
2004,Namakia-Paremahitsy,-4,,,,,,FH17194,,,KiP,
2004,Namakia-Paremahitsy,-3,,,,,,FH17193,,,KiP,
2004,Ifaty,1,,,FH17118,,,,,,KiP,
2004,Namakia-Paremahitsy,14,,,,,,FH17184,,,KiP,
2004,Namakia-Paremahitsy,18,,,FH17200,FH17199,,,,,KiP,
2004,Namakia-Paremahitsy,19,,,FH17198,,,,,,KiP,
2004,Namakia-Paremahitsy,23,,,FH17192,,,,,,KiP,
2004,Namakia-Paremahitsy,24,,,FH17191,FH17190,,,,,KiP,
2004,Namakia-Paremahitsy,25,,,FH17189,FH17188,,,,,KiP,
2004,Namakia-Paremahitsy,28,,,FH17183,,,FH17185,,,KiP,
2004,Namakia-Paremahitsy,31,,,FH17171,,,,,,KiP,
2004,Namakia-Paremahitsy,32,,,FH17179,,,,,,KiP,
2004,Namakia-Paremahitsy,33,,,FH17178,FH17177,,,,,KiP,
2004,Namakia-Paremahitsy,34,,,FH17176,FH17175,,,,,KiP,
2004,Namakia-Paremahitsy,35,,,FH17174,FH17173,,,,,KiP,
2004,Namakia-Paremahitsy,37,,,FH17172,,,,,,KiP,
2004,Namakia-Paremahitsy,38,,,FH17170,FH17169,,,,,KiP,
2004,Marambitsy_Barakoky Ampakabe ,-9,,,,,,FH17399,,,MP,
2004,Androkaela,-3,,,,,,FH17096,,,MP,
2004,Tsimanampetsotsa,-3,,,,,,FH17127,,,MP,
2004,Androkaela,-2,,,,,,FH17097,,,MP,
2004,Tsimanampetsotsa,-2,,,,,,FH17126,,,MP,
2004,Androkaela,-1,,,,,,FH17098,,,MP,
2004,Ifaty,-1,,,,,,FH17120,,,MP,
2004,Tsimanampetsotsa,-1,,,,,,FH17123,,,MP,
2004,Ifaty,1,,,FH17117,FH17119,,,,,MP,
2004,Mahavavy_Andolomikopaka ,1,,,FH17114,FH17113,,,,,MP,
2004,Marambitsy_Barakoky,1,,,FH17116,,,,,,MP,
2004,Marambitsy_Barakoky,1,,,FH17337,,,,,,MP,
2004,Tsimanampetsotsa,1,,,FH17100,,,,,,MP,
2004,Marambitsy_Barakoky,2,,,FH17115,FH17054,,,,,MP,
2004,Tsimanampetsotsa,2,,,FH17099,,,,,,MP,
2004,Marambitsy_Barakoky,3,,,FH17323,,,,,,MP,
2004,Tsimanampetsotsa,3,,,FH17124,,,,,,MP,
2004,Marambitsy_Barakoky Ampakabe ,4,,,FH17053,FH17211,,,,,MP,
2004,Tsimanampetsotsa,4,,,FH17122,,,,,,MP,
2004,Marambitsy_Barakoky Ampakabe ,5,,,FH17052,FH17400,,,,,MP,
2004,Tsimanampetsotsa,5,,,FH17121,,,,,,MP,
2004,Marambitsy_Barakoky,6,,,FH17322,FH17210,,,,,MP,
2004,Marambitsy_Barakoky,7,,,FH17303,,,,,,MP,
2004,Tsimanampetsotsa,7,,,FH17125,,,,,,MP,
2004,Marambitsy_Barakoky_Mampapany,8,,,FH17051,,,,,,MP,
2004,Tsimanampetsotsa,10,,,FH17134,,,,,,MP,
2004,Tsimanampetsotsa,11,,,FH17133,,,,,,MP,
2004,Tsimanampetsotsa,13,,,FH17128,,,,,,MP,
2004,Tsimanampetsotsa,15,,,FH17129,FH17130,,,,,MP,
2004,Tsimanampetsotsa,16,,,FH17131,,,,,,MP,
2004,Tsimanampetsotsa,17,,,FH17132,,,,,,MP,
2004,Tsimanampetsotsa,18,,,FH17138,,,,,,MP,
2004,Tsimanampetsotsa,20,,,FH17139,FH17140,,,,,MP,
2004,Tsimanampetsotsa,21,,,FH17136,FH17137,,,,,MP,
2004,Tsimanampetsotsa,2',,,FH17135,,,,,,MP,
2005,Ifaty,-2,,,,,,FH17332,FH17333,,KiP,
2005,Ifaty,-1,,,FH17330,,,FH17331,FH47476,,KiP,
2005,Tsimanampetsotsa,-1,,,,,,FH17312,FH17313,,KiP,
2005,Ankazobe-Sirasira,1,,,FH17307,,,,,,KiP,
2005,Ifaty,1,,,FH17336,,,,,,KiP,
2005,Mahavavy_Ambiky,1,,,FH17301,,,,,,KiP,
2005,Ifaty,2,,,FH17329,,,,,,KiP,
2005,Tsimanampetsotsa ,5,,,FH17166,,,,,,KiP,
2005,Tsimanampetsotsa ,10,,,FH17002,,,,,,KiP,
2005,Tsimanampetsotsa ,12,,,FH17005,,,,,,KiP,
2005,Tsimanampetsotsa ,13,,,FH17004,,,,,,KiP,
2005,Tsimanampetsotsa ,14,,,FH17157,,,,,,KiP,
2005,Tsimanampetsotsa ,15,,,FH17167,,,,,,KiP,
2005,Tsimanampetsotsa ,16,,,FH17165,,,,,,KiP,
2005,Tsimanampetsotsa ,18,,,,,,FH17045,,,KiP,
2005,Tsimanampetsotsa ,21,,,FH17160,FH17161,,,,,KiP,
2005,Tsimanampetsotsa ,30,,,FH17001,,,,,,KiP,
2005,Tsimanampetsotsa ,33,,,FH17003,,,,,,KiP,
2005,Tsimanampetsotsa ,35,,,FH17040,,,,,,KiP,
2005,Tsimanampetsotsa ,36,,,FH17043,,,FH17042,,,KiP,
2005,Tsimanampetsotsa ,52,,,,,,FH17055,,,KiP,
2005,Tsimanampetsotsa ,60,,,,,,FH17066,FH17067,,KiP,
2005,Tsimanampetsotsa ,62,,,,,,FH17077,FH17078,,KiP,
2005,Tsimanampetsotsa ,64,,,,,,FH17085,,,KiP,
2005,Tsimanampetsotsa ,65,,,,,,FH17089,FH17090,,KiP,
2005,Tsimanampetsotsa ,66,,,,,,FH17092,FH17093,,KiP,
2005,Tsimanampetsotsa ,68,,,FH17083,FH17201,,,,,KiP,
2005,Tsimanampetsotsa ,70,,,FH17205,,,,,,KiP,
2005,Tsimanampetsotsa ,72,,,FH17202,,,,,,KiP,
2005,Tsimanampetsotsa ,73,,,FH17203,,,,,,KiP,
2005,Tsimanampetsotsa ,74,,,,,,FH17207,FH17206,,KiP,
2005,Tsimanampetsotsa ,75,,,,,,FH17215,FH17216,,KiP,
2005,Tsimanampetsotsa ,76,,,,,,FH17225,FH17226,,KiP,
2005,Tsimanampetsotsa ,76,,,,,,FH17225,,,KiP,
2005,Tsimanampetsotsa ,77,,,FH17233,FH17234,,,,,KiP,
2005,Tsimanampetsotsa ,80,,,FH17239,,,,,,KiP,
2005,Tsimanampetsotsa ,81,,,FH17242,,,,,,KiP,
2005,Tsimanampetsotsa ,83,,,FH17252,,,,,,KiP,
2005,Tsimanampetsotsa ,84,,,FH17253,,,,,,KiP,
2005,Tsimanampetsotsa ,87,,,FH17259,,,,,,KiP,
2005,Tsimanampetsotsa ,88,,,FH17260,,,,,,KiP,
2005,Tsimanampetsotsa ,89,,,FH17262,,,,,,KiP,
2005,Tsimanampetsotsa ,90,,,,,,FH17283,FH17270,,KiP,
2005,Tsimanampetsotsa ,91,,,FH17279,,,,,,KiP,
2005,Tsimanampetsotsa ,92,,,FH17284,,,,,,KiP,
2005,Tsimanampetsotsa ,93,,,FH17285,,,,,,KiP,
2005,Tsimanampetsotsa ,94,,,,,,FH17287,,,KiP,
2005,Tsimanampetsotsa ,95,,,,,,FH17288,FH17289,,KiP,
2005,Tsimanampetsotsa ,96,,,FH17293,,,,,,KiP,
2005,Tsimanampetsotsa ,97,,,,,,FH17294,,,KiP,
2005,Tsimanampetsotsa ,-97,,,,,,FH17257,FH17258,,MP,
2005,Tsimanampetsotsa ,-93,,,,,,FH17249,,,MP,
2005,Tsimanampetsotsa ,-92,,,,,,FH17247,FH17248,,MP,
2005,Tsimanampetsotsa ,-91,,,,,,FH17243,,,MP,
2005,Tsimanampetsotsa ,-89,,,,,,FH17241,FH17240,,MP,
2005,Tsimanampetsotsa ,-86,,,,,,FH17223,FH17224,,MP,
2005,Tsimanampetsotsa ,-84,,,,,,FH17221,FH17222,,MP,
2005,Tsimanampetsotsa ,-81,,,,,,FH17214,,,MP,
2005,Tsimanampetsotsa ,-80,,,,,,FH17212,FH17213,,MP,
2005,Tsimanampetsotsa ,-79,,,,,,FH17208,FH17209,,MP,
2005,Tsimanampetsotsa ,-76,,,,,,FH17094,,,MP,
2005,Tsimanampetsotsa ,-75,,,,,,FH17091,,,MP,
2005,Tsimanampetsotsa ,-70,,,,,,FH17081,FH17082,,MP,
2005,Tsimanampetsotsa ,-69,,,,,,FH17074,FH17073,,MP,
2005,Tsimanampetsotsa ,-67,,,,,,FH17057,,,MP,
2005,Tsimanampetsotsa ,-66,,,FH17058,,,,,,MP,
2005,Tsimanampetsotsa ,-60,,,,,,FH17018,,,MP,
2005,Tsimanampetsotsa ,-27,,,,,,FH17150,,,MP,
2005,Tsimanampetsotsa,-3,,,,,,FH17318,,,MP,
2005,Anakao-south,-2,,,FH17325,FH17326,,FH17327,FH17328,,MP,
2005,Ankazobe-Maropapango,-2,,,FH17306,,,FH17304,FH17305,,MP,
2005,Tsimanampetsotsa,-2,,,,,,FH17316,,,MP,
2005,Anakao-south,-1,,,FH17319,,,FH17320,FH17321,,MP,
2005,Ankazobe-Sirasira,-1,,,,,,FH17302,,,MP,
2005,Tsimanampetsotsa,-1,,,,,,FH17299,FH17300,,MP,
2005,Ankazobe-Sirasira,1,,,FH17308,,,,,,MP,
2005,Beravina,1,,,FH17338,,,,,,MP,
2005,Ifaty,1,,,FH17117,FH17119,,,,,MP,
2005,Tsimanampetsotsa,1,,,FH17314,FH17315,,,,,MP,
2005,Ankazobe-Sirasira,2,,,FH17309,,,,,,MP,
2005,Boanamary,2,,,FH17295,FH17296,,FH17297,FH17298,,MP,
2005,Tsimanampetsotsa ,3,,,,,,FH17145,FH17146,,MP,
2005,Tsimanampetsotsa ,4,,,,,,FH17147,,,MP,
2005,Tsimanampetsotsa ,7,,,,,,FH17148,,,MP,
2005,Tsimanampetsotsa ,15,,,,,,FH17142,FH17141,,MP,
2005,Tsimanampetsotsa ,19,,,FH17143,,,,,,MP,
2005,Tsimanampetsotsa ,22,,,FH17149,,,,,,MP,
2005,Tsimanampetsotsa ,23,,,FH17144,,,,,,MP,
2005,Tsimanampetsotsa ,25,,,FH17154,,,,,,MP,
2005,Tsimanampetsotsa ,26,,,FH17151,,,,,,MP,
2005,Tsimanampetsotsa ,28,,,FH17155,,,,,,MP,
2005,Tsimanampetsotsa ,30,,,FH17158,FH17159,,FH17064,FH17063,,MP,
2005,Tsimanampetsotsa ,32,,,FH17163,,,,,,MP,
2005,Tsimanampetsotsa ,33,,,FH17168,,,,,,MP,
2005,Tsimanampetsotsa ,36,,,FH17164,FH17039,,FH17076,FH17071,,MP,
2005,Tsimanampetsotsa ,37,,,FH17031,FH17032,,,,,MP,
2005,Tsimanampetsotsa ,38,,,FH17021,FH17022,,,,,MP,
2005,Tsimanampetsotsa ,39,,,FH17034,,,FH17068,,,MP,
2005,Tsimanampetsotsa ,40,,,FH17036,,,FH17069,FH17070,,MP,
2005,Tsimanampetsotsa ,41,,,FH17033,,,FH17080,FH17079,,MP,
2005,Tsimanampetsotsa ,43,,,FH17162,,,,,,MP,
2005,Tsimanampetsotsa ,44,,,FH17029,FH17030,,,,,MP,
2005,Tsimanampetsotsa ,45,,,FH17019,,,,,,MP,
2005,Tsimanampetsotsa ,46,,,FH17013,,,,,,MP,
2005,Tsimanampetsotsa ,47,,,FH17156,,,FH17204,,,MP,
2005,Tsimanampetsotsa ,48,,,FH17012,,,FH17072,,,MP,
2005,Tsimanampetsotsa ,49,,,FH17011,,,,,,MP,
2005,Tsimanampetsotsa ,51,,,FH17007,FH17008,,,,,MP,
2005,Tsimanampetsotsa ,52,,,FH17010,FH17009,,,,,MP,
2005,Tsimanampetsotsa ,53,,,FH17016,FH17017,,,,,MP,
2005,Tsimanampetsotsa ,54,,,FH17020,FH17023,,FH17059,FH17044,,MP,
2005,Tsimanampetsotsa ,55,,,FH17035,,,FH17060,,,MP,
2005,Tsimanampetsotsa ,56,,,FH17027,FH17028,,,,,MP,
2005,Tsimanampetsotsa ,57,,,FH17014,,,,,,MP,
2005,Tsimanampetsotsa ,58,,,FH17006,,,FH17061,FH17062,,MP,
2005,Tsimanampetsotsa ,59,,,FH17015,,,FH17050,FH17075,,MP,
2005,Tsimanampetsotsa ,61,,,FH17024,,,FH17049,FH17041,,MP,
2005,Tsimanampetsotsa ,62,,,FH17025,FH17026,,FH17047,FH17048,,MP,
2005,Tsimanampetsotsa ,63,,,FH17037,FH17038,,FH17065,,,MP,
2005,Tsimanampetsotsa ,66,,,,,,FH17056,,,MP,
2005,Tsimanampetsotsa ,68,,,FH17088,,,FH17087,FH17086,,MP,
2005,Tsimanampetsotsa ,78,,,FH17217,FH17218,,,,,MP,
2005,Tsimanampetsotsa ,82,,,FH17236,,,,,,MP,
2005,Tsimanampetsotsa ,83,,,FH17219,FH17220,,FH17268,FH17267,,MP,
2005,Tsimanampetsotsa ,85,,,FH17230,,,,,,MP,
2005,Tsimanampetsotsa ,87,,,FH17235,,,FH17266,,,MP,
2005,Tsimanampetsotsa ,88,,,FH17229,,,,,,MP,
2005,Tsimanampetsotsa ,90,,,FH17131,,,,,,MP,
2005,Tsimanampetsotsa ,94,,,FH17256,FH17261,,FH17291,FH17290,,MP,
2005,Tsimanampetsotsa ,95,,,FH17251,,,,,,MP,
2005,Tsimanampetsotsa ,96,,,FH17255,FH17264,,FH17265,FH17263,,MP,
2005,Tsimanampetsotsa ,99,,,FH17269,FH17274,,,,,MP,
2005,Tsimanampetsotsa ,100,,,FH17276,,,,,,MP,
2005,Tsimanampetsotsa ,101,,,FH17275,,,,,,MP,
2005,Tsimanampetsotsa ,102,,,FH17292,,,,,,MP,
2005,Tsimanampetsotsa,-4,,,,,,FH17281,FH17282,,WfP,
2005,Tsimanampetsotsa,-3,,,,,,FH17271,,,WfP,
2005,Tsimanampetsotsa,-2,,,,,,FH17231,,,WfP,
2005,Fenoarivo-Besakoa,-1,,,,,,FH17334,,,WfP,
2005,Tsimanampetsotsa,-1,,,,,,FH17317,FH17227,FH17228,WfP,
2005,Ankazobe-Sirasira,1,,,FH17310,,,,,,WfP,
2005,Tsimanampetsotsa,1,,,FH17152,FH17153,,,,,WfP,
2005,Tsimanampetsotsa,5,,,FH17237,,,,,,WfP,
2005,Tsimanampetsotsa,6,,,FH17280,,,,,,WfP,
2005,Tsimanampetsotsa,7,,,FH17232,,,FH17272,FH17273,,WfP,
2005,Tsimanampetsotsa,8,,,,,,FH17238,,,WfP,
2005,Tsimanampetsotsa,9,,,FH17286,,,,,,WfP,
2005,Tsimanampetsotsa,10,,,FH17250,,,,,,WfP,
2005,Tsimanampetsotsa,12,,,FH17254,,,,,,WfP,
2006,Namakia-Paremahitsy,-5,,,,,,FH17535,,,KiP,
2006,Namakia-Paremahitsy,-4,,,FH17532,,,FH17531,,,KiP,
2006,Namakia-Paremahitsy,-3,,,FH17529,,,FH17528,FH17534,,KiP,
2006,Namakia-Paremahitsy,-2,,,FH17183,FH17520,,FH17521,FH17522,,KiP,
2006,Tsimanampetsotsa,-2,,,,,,FH17497,,,KiP,
2006,Namakia-Paremahitsy,-1,,,,,,FH17514,FH17517,,KiP,
2006,Tsimanampetsotsa,-1,,,FH17432,,,FH17430,FH17431,,KiP,
