year,site,species,nest,easting,northing,found_date,found_time,laying_date,end_date,fate,no_chicks,clutch_size,length1,breadth1,weight1,float1,length2,breadth2,weight2,float2,length3,breadth3,weight3,float3,observer,comments,zone,,,,,,,,,,,,,,,,
2002,Toliara airport,KiP,1,368845,7410966,1209,930,,1209,,,2,30,21,,B,28,23,,B,,,,,SZ,,Toliary airport,,,,,,,,,,,,,,,,
2002,Ifaty,KiP,1,358997,7437670,1129,1130,,1129,,,1,31.8,23.2,,,,,,,,,,,SZ,,Ifaty,,,,,,,,,,,,,,,,
2002,Toliara airport,KiP,2,368773,7410919,1209,936,,1209,,,1,33,23,,BC,,,,BC,,,,,SZ,,Toliary airport,,,,,,,,,,,,,,,,
2002,Ifaty,KiP,2,358478,7438198,1215,1820,,1215,,,2,29,22.1,,,,,,,,,,,SZ,,Ifaty,,,,,,,,,,,,,,,,
2002,Ifaty,MP,1,358344,7440592,1215,1534,,1215,,,2,31.4,23.9,,,31.7,23.6,,,,,,,SZ,,NW,,,,,,,,,,,,,,,,
2003,Ambatolafia,KiP,1,489888,8205674,909,1021,,909,,,2,30.2,21.6,9,,31.2,22.2,9,,,,,,SZ,,Ambatolafia,,,,,,,,,,,,,,,,
2003,Besalampy_Andranolava,KiP,1,446169,8152942,927,1003,,927,,,2,31.3,21.9,7.5,,32,22.5,8,,,,,,SZ,,Andranolava,,,,,,,,,,,,,,,,
2003,Mahavavy_Ambiky,KiP,1,585024,8239925,419,1247,,419,,,2,32.6,21.8,8.5,,32.3,21.8,8.5,,,,,,SZ,,Ambiky,,,,,,,,,,,,,,,,
2003,Taolagnaro_Loharano,KiP,1,685778,7225218,331,903,,331,,,1,31.4,22.1,8,,,,,,,,,,SZ,,,,,,,,,,,,,,,,,,
2003,Taolagnaro_Loharano,KiP,2,686314,7225310,327,1225,,327,,,1,31.3,22.2,8,,,,,,,,,,SZ,,,,,,,,,,,,,,,,,,
2003,Mahavavy_Ambiky,KiP,2,584997,8239883,420,941,,420,,,1,30.5,22.2,7.5,,,,,,,,,,SZ,,Ambiky,,,,,,,,,,,,,,,,
2003,Namakia_Matsakabanja,KiP,,585342,8240549,419,926,,419,,,2,31.6,22.4,8.5,,31.9,22.3,8.5,,,,,,SZ,,Matsakabanja,,,,,,,,,,,,,,,,
2003,Namakia_Matsakabanja,KiP,,585327,8239567,419,,,419,,,1,30.9,22.8,8,,,,,,,,,,SZ,,Matsakabanja,,,,,,,,,,,,,,,,
2003,Mahavavy_Andolomikopaka ,MP,1,584019,8248314,819,1108,819 (2nd egg),819,,,2,30.6,23.3,9,,30.5,23.4,9,,,,,,SZ,,Andolomikopaka,,,,,,,,,,,,,,,,
2003,Taolagnaro_Tapera ,MP,1,714165,7244992,309,1135,,315,PRED,,2,31.2,21.2,8.5,B,31.1,20.2,8.5,B,,,,,SZ,,,,,,,,,,,,,,,,,,
2003,Besalampy_Marofototra,MP,1,439451,8155388,926,1020,,926,,,2,31.6,23.7,9,,31.1,23.8,8.5,,,,,,SZ,,Marofototra,,,,,,,,,,,,,,,,
2003,Tsiribihina,MP,1,438410,7824207,1002,1530,,1002,,,2,32.4,23.5,10,,32.5,23.5,10,,,,,,SZ,,,,,,,,,,,,,,,,,,
2003,Mangoky_Andevitry,MP,1,338235,7603649,1023,,,1023,,,2,31.9,23.7,10,,32.5,23.6,10,,,,,,SZ,,,,,,,,,,,,,,,,,,
2003,Taolagnaro_Tapera ,MP,2,714167,7244997,309,1211,,315,PRED,,2,31.2,21.2,8.5,B,31.2,21.2,9,B,,,,,SZ,,,,,,,,,,,,,,,,,,
2003,Mangoky_Andevitry,MP,2,338220,7603585,1023,,,1023,,,2,32,22.5,10,,32.9,23.8,10,,,,,,SZ,,,,,,,,,,,,,,,,,,
2003,Marambitsy_Barakoky_Ampakabe,MP,3,568389,8247009,428,1433,,428,,,2,32.1,23.2,8,,31.8,23.2,8,,,,,,SZ,,Ampakabe,,,,,,,,,,,,,,,,
2003,Marambitsy_Barakoky_Ampakabe,MP,4,568640,8246750,428,1509,,428,,,1,31.6,23.8,9,,,,,,,,,,SZ,,Ampakabe,,,,,,,,,,,,,,,,
2003,Marambitsy_Barakoky_Ampakabe,MP,5,568661,8246665,428,1539,,428,,,2,34,23.1,8,,32.6,23.3,8,,,,,,SZ,,Ampakabe,,,,,,,,,,,,,,,,
2003,Marambitsy_Barakoky_Papany 1,MP,6,570110,8242003,429,1220,,429,,,1,34,23.7,9,,,,,,,,,,SZ,,Papany 1,,,,,,,,,,,,,,,,
2003,Marambitsy_Barakoky_Papany 2,MP,9,570232,8243286,430,1500,,430,,,2,32.9,23.5,9,,32.7,23.5,9,,,,,,SZ,,Papany 2,,,,,,,,,,,,,,,,
2003,Marambitsy_Barakoky,MP,10,569147,8244482,1227,,,1227,,,1,32.7,23.1,10,,,,,,,,,,SZ,,,,,,,,,,,,,,,,,,
2003,Marambitsy_Barakoky,MP,11,570211,8242215,1228,,,1228,,,2,31.2,23.3,10,,31.4,23.1,10,,,,,,SZ,,,,,,,,,,,,,,,,,,
2003,Marambitsy_Barakoky,MP,12,570256,8242349,1228,,,1228,,,2,31.5,23.2,9,,31.2,23.2,9,,,,,,SZ,,,,,,,,,,,,,,,,,,
2003,Marambitsy_Barakoky,MP,13,568441,8247093,1227,,,1227,,,2,32.6,23.9,10,,32.4,23.2,10,,,,,,SZ,,,,,,,,,,,,,,,,,,
2003,Marambitsy_Barakoky,TP,1,570429,8240140,426,,,426,,,2,30.5,22.7,8,,30.4,22.6,8,,,,,,SZ,,Barakoky,,,,,,,,,,,,,,,,
2003,Mahavavy_Andolomikopaka ,TP,1,584995,8239896,420,,,420,,,1,29.2,21.9,8,,,,,,,,,,SZ,,Andolomikopaka,,,,,,,,,,,,,,,,
2003,Marambitsy_Barakoky,TP,2,568928,8244507,428,,,428,,,1,30,22.3,8,,,,,,,,,,SZ,,Barakoky,,,,,,,,,,,,,,,,
