year,site,nest,male,female,chick1,chick2,chick3,field_sex_m,mol_sex_m,captured_focalyear_m,field_sex_f,mol_sex_f,captured_focalyear_f,comments_field,comments_stdfile
2007,S,-1,XX.XX|BX.WX,XX.XX|OX.BX,XX.XX|RX.XX,XX.XX|RX.XX,NA,M,NA,yes,F,NA,yes,NA,NA
2007,S,-10,CA1059,CA1058,CA1060,CA1061,NA,M,M,yes,F,F,yes,NA,NA
2007,S,-11,NA,NA,CA1115,NA,NA,M,NA,no,F,NA,no,NA,NA
2007,S,-12,CA1120,CA1121,CA1122,CA1123,CA1124,M,NA,yes,F,M,no,NA,NA
2007,S,-13,CA1126,CA1125,CA1127,NA,NA,M,NA,yes,F,NA,yes,NA,NA
2007,S,-14,NA,NA,CA1132,CA1133,NA,M,NA,no,F,NA,no,NA,NA
2007,S,-15,NA,NA,CA1134,NA,NA,M,NA,no,F,NA,no,NA,NA
2007,S,-2,CA1017,CA1016,XX.XX|BX.XX,XX.XX|BX.XX,XX.XX|BX.XX,M,M,yes,F,F,yes,NA,NA
2007,S,-3,NA,CA1100,CA1020,CA1021,NA,M,NA,no,F,F,yes,NA,NA
2007,S,-4,CA1023,CA1022,CA1024,CA1025,CA1026,M,M,yes,F,NA,yes,NA,NA
2007,S,-5,NA,CA1027,CA1028,NA,NA,M,NA,no,F,F,yes,NA,NA
2007,S,-6,CA1035,NA,CA1036,NA,NA,M,M,yes,F,NA,no,NA,NA
2007,S,-7,CA1037,NA,CA1038,CA1039,NA,M,M,yes,F,NA,no,NA,NA
2007,S,-8,CA1041,CA1042,CA1043,NA,NA,M,M,yes,F,F,yes,NA,NA
2007,S,-9,NA,NA,CA1056,NA,NA,M,NA,no,F,NA,no,NA,NA
2007,S,1,XX.WX|XX.XX,XX.LX|XX.XX,WX.XX|XX.XX,NA,NA,M,NA,yes,F,NA,yes,NA,NA
2007,S,12,NA,XX.XX|XX.OX,NA,NA,NA,M,NA,no,F,NA,yes,NA,NA
2007,S,13,XX.XX|XX.BX,NA,NA,NA,NA,M,NA,yes,F,NA,no,NA,NA
2007,S,17,NA,CA1030,NA,NA,NA,M,NA,no,F,NA,yes,NA,NA
2007,S,18,NA,XX.XX|RX.OX,NA,NA,NA,M,NA,no,F,NA,yes,NA,NA
2007,S,19,CA1032,XX.XX|GX.RX,CA1033,CA1034,NA,M,M,yes,F,NA,yes,NA,NA
2007,S,2,CA1047,XX.XX|RX.RX,CA1048,CA1049,NA,M,M,yes,F,NA,yes,NA,NA
2007,S,20,XX.XX|YX.OX,XX.XX|OX.WX,NA,NA,NA,M,NA,yes,F,NA,yes,NA,NA
2007,S,21,XX.XX|GX.YX,CA1044,CA1045,CA1046,CA1051,M,NA,yes,F,F,yes,NA,NA
2007,S,22,NA,CA1019,NA,NA,NA,M,NA,no,F,NA,yes,NA,NA
2007,S,23,CA1052,CA1018,CA1053,CA1054,NA,M,M,yes,F,NA,yes,NA,NA
2007,S,25,CA1101,CA1029,CA1102,CA1103,NA,M,NA,yes,F,F,yes,NA,NA
2007,S,26,NA,CA1031,NA,NA,NA,M,NA,no,F,F,yes,NA,NA
2007,S,27,NA,CA1040,NA,NA,NA,M,NA,no,F,NA,yes,NA,NA
2007,S,28,CA1055,NA,NA,NA,NA,M,M,yes,F,NA,no,NA,NA
2007,S,29,CA1109,NA,NA,NA,NA,M,NA,yes,F,NA,no,NA,NA
2007,S,3,XX.XX|XX.YX,XX.RX|XX.XX,NA,NA,NA,M,NA,yes,F,NA,yes,NA,NA
2007,S,30,CA1057,CA1062,NA,NA,NA,M,M,yes,F,F,yes,NA,NA
2007,S,31,CA1108,CA1111,CA1112,CA1113,NA,M,NA,yes,F,NA,yes,NA,NA
2007,S,32,CA1107,CA1104,CA1130,CA1131,NA,M,M,yes,F,F,yes,NA,NA
2007,S,33,CA1105,CA1106,CA1128,CA1129,NA,M,NA,yes,F,NA,yes,NA,NA
2007,S,34,CA1114,CA1110,NA,NA,NA,M,M,yes,F,F,yes,NA,NA
2007,S,35,CA1119,CA1063,CA1116,CA1117,CA1118,M,NA,yes,F,F,yes,NA,NA
2007,S,36,NA,NA,NA,NA,NA,M,NA,no,F,NA,no,NA,NA
2007,S,4,XX.YX|XX.XX,XX.XX|XX.LX,XX.XX|LX.XX,NA,NA,M,NA,yes,F,NA,yes,NA,NA
2007,S,5,NA,XX.OX|XX.XX,OX.XX|XX.XX,OX.XX|XX.XX,NA,M,NA,no,F,NA,yes,NA,NA
2007,S,6,NA,CA1050,NA,NA,NA,M,NA,no,F,NA,yes,NA,NA
2007,S,8,XX.XX|XX.RX,XX.GX|XX.XX,NA,NA,NA,M,NA,yes,F,NA,yes,NA,NA
2007,S,9,NA,XX.BX|XX.XX,BX.XX|XX.XX,BX.XX|XX.XX,NA,M,NA,no,F,NA,yes,NA,NA
2008,PP,1,NA,CA1136,NA,NA,NA,M,NA,no,F,F,yes,NA,NA
2008,PP,2,NA,CA1137,NA,NA,NA,M,NA,no,F,F,yes,NA,NA
2008,PP,3,NA,CA1139,NA,NA,NA,M,NA,no,F,F,yes,NA,NA
2008,R,-1,NA,NA,CA1145,NA,NA,M,NA,no,F,NA,no,NA,NA
2008,R,-2,NA,NA,CA1146,NA,NA,M,NA,no,F,NA,no,NA,NA
2008,S,-1,NA,CA1064,CA1065,CA1066,NA,M,NA,no,F,F,yes,NA,NA
2008,S,-10,NA,CA1089,CA1088,NA,NA,M,NA,no,F,F,yes,NA,NA
2008,S,-100,NA,NA,CA2682,NA,NA,M,NA,no,F,NA,no,NA,NA
2008,S,-11,NA,NA,CA1090,NA,NA,M,NA,no,F,NA,no,NA,NA
2008,S,-12,CA1093,CA1092,CA1091,NA,NA,M,M,yes,F,F,yes,NA,NA
2008,S,-13,NA,NA,CA1094,CA1095,CA1174,M,NA,no,F,NA,no,NA,NA
2008,S,-14,NA,NA,CA1098,NA,NA,M,NA,no,F,NA,no,NA,NA
2008,S,-15,NA,CA1099,CA1140,CA1141,NA,M,NA,no,F,F,yes,NA,NA
2008,S,-16,CA1142,CA1142,CA1143,CA1144,NA,M,M,yes,F,M,no,NA,NA
2008,S,-17,NA,NA,CA1150,NA,NA,M,NA,no,F,NA,no,NA,NA
2008,S,-18,CA1152,CA1152,CA1151,NA,NA,M,M,yes,F,M,no,NA,NA
2008,S,-19,NA,CA1153,CA1154,CA1155,CA1190,M,NA,no,F,F,yes,NA,NA
2008,S,-2,CA1069,NA,CA1070,CA1071,CA1072,M,M,yes,F,NA,no,NA,NA
2008,S,-20,CA1159,CA1157,CA1156,CA1158,NA,M,M,yes,F,NA,yes,NA,NA
2008,S,-21,NA,CA1161,CA1160,NA,NA,M,NA,no,F,NA,yes,NA,NA
2008,S,-22,CA1162,CA1137,CA1163,NA,NA,M,M,yes,F,F,yes,NA,NA
2008,S,-23,MX.RX|LX.LX,MX.RX|LX.GX,NA,NA,NA,M,NA,no,F,NA,no,NA,NA
2008,S,-24,NA,NA,CA1167,CA1168,NA,M,NA,no,F,NA,no,NA,NA
2008,S,-25,CA1121,CA1169,CA1171,CA1172,CA1173,M,M,yes,F,F,yes,NA,NA
2008,S,-26,CA1176,CA1177,CA1175,NA,NA,M,M,yes,F,F,yes,NA,NA
2008,S,-27,CA1180,CA1182,CA1179,NA,NA,M,M,yes,F,F,yes,NA,NA
2008,S,-28,CA1183,CA1181,CA1184,CA1185,NA,M,M,yes,F,F,yes,NA,NA
2008,S,-29,NA,NA,CA1186,CA1187,CA1188,M,NA,no,F,NA,no,NA,NA
2008,S,-3,CA1149,CA1074,CA1075,NA,NA,M,M,yes,F,F,yes,NA,NA
2008,S,-30,NA,CA1195,CA1196,CA1197,NA,M,NA,no,F,F,yes,NA,NA
2008,S,-31,CA1199,CA1100,CA1200,NA,NA,M,M,yes,F,F,yes,NA,NA
2008,S,-32,NA,NA,CA2601,NA,NA,M,NA,no,F,NA,no,NA,NA
2008,S,-33,CA2604,CA2605,CA2606,CA2607,CA2608,M,M,yes,F,F,yes,NA,NA
2008,S,-34,NA,NA,CA2610,NA,NA,M,NA,no,F,NA,no,NA,NA
