year,site,nest,easting,northing,found_date,found_time,laying_date,clutch_size,end_date,fate,no_chicks,length1,width1,float1,length2,width2,float2,length3,width3,float3,observer,floating_date,comments_field,comments_stdfile
2007,S,1,260364,1676891,925,1740,920,3,1016,HATCH,NA,30.3,22.34,C,31.24,23.22,NA,31.38,23.7,NA,TS,NA,NA,NA
2007,S,2,260370,1676869,925,1745,925,2,1021,HATCH,2,31.72,23.96,NA,32.64,23,NA,NA,NA,NA,TS,NA,fresh nest  found on 925,NA
2007,S,3,260421,1676822,925,1805,917,3,NA,NA,NA,31.54,23,D,31.74,23.54,NA,31.18,22.5,NA,TS,NA,NA,NA
2007,S,4,260484,1676629,926,730,918,3,1016,HATCH,NA,33.42,24.22,D,33.22,23.22,NA,33.12,24.06,NA,TS,NA,NA,NA
2007,S,5,260525,1676536,926,810,918,3,1016,HATCH,NA,32.94,21.96,D,32.5,21.64,NA,32.56,21.9,NA,TS,NA,NA,NA
2007,S,6,260970,1676012,926,930,927,3,NA,NA,NA,33.94,23.1,NA,34.28,23.2,NA,34.12,23.14,NA,TS,NA,found with 2 eggs on 24 Sept,NA
2007,S,7,260154,1677510,925,150,925,1,NA,NA,NA,34.82,24.32,NA,NA,NA,NA,NA,NA,NA,TS,NA,NA,NA
2007,S,8,260148,1677571,925,1530,920,3,NA,NA,NA,31.1,23.84,C,31.58,24.02,NA,31.7,23.68,NA,TS,NA,NA,NA
2007,S,9,260804,1676172,926,920,921,3,1016,HATCH,NA,32.54,22.92,C,32.32,22.78,NA,32.52,22.9,NA,TS,NA,NA,NA
2007,S,10,260731,1678043,926,1650,926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TS,NA,one egg,NA
2007,S,11,260570,1678345,926,1710,921,3,NA,NA,NA,32.82,23.54,C,32.24,23.22,NA,31.9,23.5,NA,TS,NA,NA,NA
2007,S,12,260431,1676787,926,1810,921,2,NA,NA,NA,32.96,23.08,C,33.76,22.74,NA,NA,NA,NA,TS,NA,NA,NA
2007,S,13,260459,1676693,926,1820,925,2,NA,NA,NA,34,24.12,AB,33.78,23.5,NA,NA,NA,NA,TS,NA,NA,NA
2007,S,14,260159,1677511,927,1100,927,1,NA,NA,NA,33.92,24.22,NA,NA,NA,NA,NA,NA,NA,TS,NA,NA,NA
2007,S,15,260801,1677483,927,1600,926,2,NA,NA,NA,31.68,23.1,AB,31.74,22.7,NA,NA,NA,NA,PL,NA,Measured by Pedrin Lopez,NA
2007,S,16,260148,1677854,1015,1000,1004,1,NA,NA,NA,33.2,22.3,F,NA,NA,NA,NA,NA,NA,AC,NA,Armindo Costa. 2 eggs on 1014 and no eggs on 1015 afternoon,NA
2007,S,17,260886,1675954,1015,720,1010,3,NA,NA,NA,32.82,23.96,C,31,23.22,NA,31.66,23.16,NA,"PL,AC",NA,NA,NA
2007,S,18,260518,1676575,1014,840,1011,2,1015,PRED,NA,30.62,22.48,C,30,22.86,NA,NA,NA,NA,AC,NA,2 eggs 1014. 1 egg 1015 morning. No eggs 1015 aftrnoon,NA
2007,S,19,260664,1676090,1017,720,1006,3,1021,HATCH,2,32.72,23.26,F,32.98,23.48,NA,32.44,23.2,NA,PL,NA,NA,NA
2007,S,20,260842,1676107,1017,1025,1006,3,NA,NA,NA,32.98,25,F,33.12,24.88,NA,34.1,24.78,NA,PL,NA,NA,NA
2007,S,21,260190,1677373,1018,850,1007,3,1025,HATCH,3,32.02,23.78,F,31.92,22.72,NA,32.74,22.82,NA,AC,NA,NA,NA
2007,S,22,260266,1678162,1019,745,1011,2,NA,NA,NA,31.54,23.98,D,33.02,22.82,NA,NA,NA,NA,AC,NA,NA,NA
2007,S,23,260195,1677532,1019,815,1011,3,NA,HATCH,NA,31.98,23.54,D,32.62,23.3,NA,31.84,23.2,NA,AC,NA,NA,NA
2007,S,24,261073,1675982,1022,855,1026,3,1111,PRED,NA,34.2,23.12,A,34.6,23,AB,NA,NA,NA,PL,NA,a single egg on 1022. Renesting by the same F as in S6. three eggs on 1105. Predated on 1111.,NA
2007,S,25,260585,1676198,1022,1730,1014,3,1111,HATCH,2,32.52,23.1,D,31.64,22.98,NA,32.22,23.14,NA,PL,NA,hatched on 1111. Two chicks captured.,NA
2007,S,26,261168,2375831,1023,715,929,3,NA,NA,NA,31.2,23.18,F,31.1,22.72,pipping,31.72,22.78,pipping,PL,NA,all peeping,NA
2007,S,27,260649,1678206,1024,700,1023,3,NA,PRED,NA,33.32,23.16,AB,33.48,23.3,NA,32.48,23.54,NA,PL,NA,NA,NA
2007,S,28,260920,1676099,1106,715,1030,2,1112,PRED,NA,32.3,23.42,C,31.4,23.78,D,NA,NA,NA,PL,NA,1 egg predated by a dog on 1108. Predated on 1112,NA
2007,S,29,260169,1677423,1106,1755,1104,3,1117,PRED,NA,31.2,22.78,AB,32.3,22.7,C,31.82,22.34,AB,PL,NA,only 1 egg on 1115,NA
2007,S,30,260511,1676327,1107,1630,1027,2,NA,Abandoned,NA,30.32,22.4,F,29.28,21.38,F,NA,NA,NA,PL,NA,NA,NA
2007,S,31,260506,1676429,1107,1730,1027,2,1117,HATCH,2,30.7,22.84,F,31.94,22.94,F,NA,NA,NA,PL,NA,NA,NA
2007,S,32,260274,1676979,1107,1814,1031,2,1127,HATCH,2,32.38,24.12,C,32.76,24.9,D,NA,NA,NA,PL,NA,NA,NA
2007,S,33,260302,1676928,1107,1822,1030,2,1127,HATCH,2,31.34,23.6,D,32.56,23.48,D,NA,NA,NA,PL,NA,NA,NA
