"ch"	"Ring"	"Year"	"Hatch_Date_simp"	"Day_of_Season"	"Sex"	"ID"	"Site"	"fledge_status"
"0000000010000.........0000."	"CA1020"	"2007"	1014	74	"F"	"2007_S_-3"	"S"	0
"000000010000.........0000.0"	"CA1021"	"2007"	1015	75	"F"	"2007_S_-3"	"S"	0
"......0000000010000........"	"CA1025"	"2007"	1008	68	"M"	"2007_S_-4"	"S"	0
"...0000000010000.........00"	"CA1028"	"2007"	1011	71	"F"	"2007_S_-5"	"S"	0
"001000.........0000.0000000"	"CA1033"	"2007"	1021	81	"M"	"2007_S_19"	"S"	0
"001000.........0000.0000000"	"CA1034"	"2007"	1021	81	"F"	"2007_S_19"	"S"	0
"......0000000001000........"	"CA1036"	"2007"	1008	68	"F"	"2007_S_-6"	"S"	0
"....0000000001000.........0"	"CA1038"	"2007"	1010	70	"M"	"2007_S_-7"	"S"	0
"........0000000001000......"	"CA1039"	"2007"	1006	66	"M"	"2007_S_-7"	"S"	0
"..0000000000100.........001"	"CA1043"	"2007"	1012	72	"M"	"2007_S_-8"	"S"	1
"100.........0000.000000000."	"CA1045"	"2007"	1024	84	"M"	"2007_S_21"	"S"	0
"100.........0000.000000000."	"CA1046"	"2007"	1024	84	"M"	"2007_S_21"	"S"	0
"000100.........0000.0000000"	"CA1048"	"2007"	1021	81	"M"	"2007_S_2"	"S"	0
"000100.........0000.0000000"	"CA1049"	"2007"	1021	81	"F"	"2007_S_2"	"S"	0
"10.........0000.000000000.0"	"CA1051"	"2007"	1025	85	"M"	"2007_S_21"	"S"	0
"........1000.000000000.0000"	"CA1053"	"2007"	1028	88	"F"	"2007_S_23"	"S"	0
"......1000.000000000.000000"	"CA1054"	"2007"	1030	90	"F"	"2007_S_23"	"S"	0
"0.........0100.000000000.00"	"CA1056"	"2007"	1026	86	"F"	"2007_S_-9"	"S"	0
"001.000000000.000000000.001"	"CA1060"	"2007"	1106	97	"F"	"2007_S_-10"	"S"	1
"..0001.000000000.000000000."	"CA1061"	"2007"	1103	94	"M"	"2007_S_-10"	"S"	0
"....01000000000000000000000"	"CA1065"	"2008"	920	50	"M"	"2008_S_-1"	"S"	0
"...010000000000000000000000"	"CA1066"	"2008"	921	51	"M"	"2008_S_-1"	"S"	0
".....0100000000000000000000"	"CA1070"	"2008"	919	49	"M"	"2008_S_-2"	"S"	0
"......010000000000000000000"	"CA1071"	"2008"	918	48	"F"	"2008_S_-2"	"S"	0
"....01000000000000000000000"	"CA1072"	"2008"	920	50	"F"	"2008_S_-2"	"S"	0
".......00100000100000000000"	"CA1075"	"2008"	917	47	"M"	"2008_S_-3"	"S"	0
"...001000000000000000000000"	"CA1078"	"2008"	921	51	"M"	"2008_S_-4"	"S"	0
"..0010000000000000000000000"	"CA1079"	"2008"	922	52	"F"	"2008_S_-4"	"S"	0
"...000100000000000000000000"	"CA1082"	"2008"	921	51	"F"	"2008_S_-6"	"S"	0
".....0001000000000000000000"	"CA1084"	"2008"	919	49	"F"	"2008_S_-7"	"S"	0
"......000010000000000000000"	"CA1085"	"2008"	918	48	"M"	"2008_S_-8"	"S"	0
"000001000000000000000000000"	"CA1088"	"2008"	924	54	"M"	"2008_S_-10"	"S"	0
"..0000010000000000000000000"	"CA1090"	"2008"	922	52	"F"	"2008_S_-11"	"S"	0
