"ring"	"ch"	"sex"	"age"
"CA1016"	"100000000"	"F"	"A"
"CA1017"	"111100000"	"M"	"A"
"CA1018"	"100000001"	"F"	"A"
"CA1019"	"110010000"	"F"	"A"
"CA1020"	"100000000"	"F"	"J"
"CA1021"	"100000000"	"F"	"J"
"CA1022"	"110000000"	"F"	"A"
"CA1023"	"100000000"	"M"	"A"
"CA1025"	"100000000"	"M"	"J"
"CA1027"	"100000000"	"F"	"A"
"CA1028"	"100000000"	"F"	"J"
"CA1029"	"110000000"	"F"	"A"
"CA1030"	"100000000"	"F"	"A"
"CA1031"	"110100000"	"F"	"A"
"CA1032"	"100000001"	"M"	"A"
"CA1033"	"100000000"	"M"	"J"
"CA1034"	"100000000"	"F"	"J"
"CA1035"	"110000000"	"M"	"A"
"CA1036"	"100000000"	"F"	"J"
"CA1037"	"111110111"	"M"	"A"
"CA1038"	"100000000"	"M"	"J"
"CA1039"	"100000000"	"M"	"J"
"CA1040"	"100100000"	"F"	"A"
"CA1041"	"100000000"	"M"	"A"
"CA1042"	"100000000"	"F"	"A"
"CA1043"	"100000111"	"M"	"J"
"CA1044"	"111110111"	"F"	"A"
"CA1045"	"100000000"	"M"	"J"
"CA1046"	"100000000"	"M"	"J"
"CA1047"	"111110011"	"M"	"A"
"CA1048"	"100000000"	"M"	"J"
"CA1049"	"100000000"	"F"	"J"
"CA1050"	"110000000"	"F"	"A"
"CA1051"	"100000000"	"M"	"J"
"CA1052"	"110110111"	"M"	"A"
"CA1053"	"100000000"	"F"	"J"
"CA1054"	"100000000"	"F"	"J"
"CA1055"	"100000001"	"M"	"A"
"CA1056"	"100000000"	"F"	"J"
"CA1057"	"110000000"	"M"	"A"
"CA1058"	"111110110"	"F"	"A"
"CA1059"	"111110111"	"M"	"A"
"CA1060"	"100000000"	"F"	"J"
"CA1061"	"100000000"	"M"	"J"
"CA1062"	"110000010"	"F"	"A"
"CA1063"	"111010000"	"F"	"A"
"CA1064"	"011110110"	"F"	"A"
"CA1065"	"010000000"	"M"	"J"
"CA1066"	"010000000"	"M"	"J"
"CA1067"	"011111111"	"F"	"A"
"CA1068"	"010110111"	"F"	"A"
"CA1069"	"011110000"	"M"	"A"
"CA1070"	"010000000"	"M"	"J"
"CA1071"	"010000000"	"F"	"J"
"CA1072"	"010000000"	"F"	"J"
"CA1073"	"011111100"	"F"	"A"
"CA1074"	"010100110"	"F"	"A"
"CA1075"	"010000000"	"M"	"J"
"CA1076"	"010000000"	"F"	"A"
"CA1077"	"010000000"	"M"	"A"
"CA1078"	"010000000"	"M"	"J"
"CA1079"	"010000000"	"F"	"J"
"CA1080"	"011111101"	"F"	"A"
"CA1082"	"010000000"	"F"	"J"
"CA1083"	"010000000"	"M"	"A"
"CA1084"	"010000000"	"F"	"J"
"CA1085"	"010000000"	"M"	"J"
"CA1087"	"011000000"	"M"	"A"
"CA1088"	"010000000"	"M"	"J"
"CA1089"	"011110110"	"F"	"A"
"CA1090"	"010000000"	"F"	"J"
"CA1091"	"010000000"	"M"	"J"
"CA1092"	"011110111"	"F"	"A"
"CA1093"	"010001111"	"M"	"A"
"CA1094"	"010000000"	"M"	"J"
"CA1096"	"011000000"	"M"	"A"
"CA1097"	"011000000"	"F"	"A"
"CA1099"	"010110000"	"F"	"A"
"CA1100"	"110100000"	"F"	"A"
"CA1101"	"101100000"	"M"	"A"
"CA1102"	"100000000"	"M"	"J"
"CA1103"	"100000000"	"M"	"J"
"CA1104"	"110111111"	"F"	"A"
"CA1105"	"100000100"	"M"	"A"
"CA1106"	"110010000"	"F"	"A"
"CA1107"	"110110000"	"M"	"A"
"CA1108"	"100010000"	"M"	"A"
"CA1109"	"100000000"	"M"	"A"
"CA1110"	"111110100"	"F"	"A"
"CA1111"	"110100000"	"F"	"A"
"CA1112"	"100000000"	"F"	"J"
"CA1113"	"100000000"	"F"	"J"
"CA1114"	"111110000"	"M"	"A"
"CA1115"	"100000000"	"F"	"J"
"CA1116"	"100000000"	"F"	"J"
"CA1117"	"100000000"	"M"	"J"
"CA1119"	"111110111"	"M"	"A"
"CA1120"	"100000000"	"M"	"A"
"CA1121"	"111001111"	"M"	"A"
"CA1123"	"100000000"	"F"	"J"
"CA1124"	"100000000"	"M"	"J"
"CA1125"	"100000000"	"F"	"A"
"CA1126"	"110011111"	"M"	"A"
"CA1127"	"100000000"	"M"	"J"
"CA1128"	"100000000"	"F"	"J"
"CA1129"	"100000000"	"F"	"J"
"CA1130"	"100000000"	"F"	"J"
"CA1131"	"100000000"	"F"	"J"
"CA1132"	"100000000"	"M"	"J"
"CA1133"	"100000000"	"M"	"J"
"CA1134"	"100000000"	"F"	"J"
"CA1136"	"001111111"	"M"	"A"
"CA1137"	"011110111"	"F"	"A"
"CA1139"	"110100110"	"F"	"A"
"CA1140"	"010000000"	"F"	"J"
"CA1141"	"010000000"	"F"	"J"
"CA1142"	"011110000"	"M"	"A"
"CA1143"	"011000110"	"M"	"J"
"CA1144"	"010000000"	"F"	"J"
"CA1145"	"010000000"	"F"	"J"
"CA1146"	"010000000"	"M"	"J"
"CA1147"	"011000000"	"M"	"A"
"CA1148"	"011000000"	"F"	"A"
"CA1149"	"011100000"	"M"	"A"
"CA1150"	"010000000"	"F"	"J"
"CA1151"	"010000000"	"M"	"J"
"CA1152"	"011110100"	"M"	"A"
"CA1153"	"011010000"	"F"	"A"
"CA1154"	"010000000"	"M"	"J"
"CA1155"	"010000000"	"M"	"J"
"CA1156"	"010000000"	"F"	"J"
"CA1157"	"010000000"	"F"	"A"
"CA1158"	"010000000"	"M"	"J"
"CA1159"	"011000100"	"M"	"A"
"CA1160"	"010000000"	"F"	"J"
"CA1161"	"010100111"	"F"	"A"
"CA1162"	"010110000"	"M"	"A"
"CA1164"	"010000000"	"F"	"J"
"CA1166"	"010000000"	"M"	"J"
"CA1167"	"010000000"	"M"	"J"
"CA1168"	"010000000"	"F"	"J"
"CA1169"	"010011111"	"F"	"A"
"CA1171"	"010000000"	"F"	"J"
"CA1173"	"010000000"	"F"	"J"
"CA1174"	"010010111"	"F"	"J"
"CA1175"	"010000000"	"F"	"J"
"CA1176"	"011100100"	"M"	"A"
"CA1177"	"010010000"	"F"	"A"
"CA1178"	"011110000"	"M"	"A"
"CA1179"	"010000000"	"M"	"J"
"CA1180"	"010100000"	"M"	"A"
"CA1181"	"011100000"	"F"	"A"
"CA1182"	"010110100"	"F"	"A"
"CA1183"	"010000000"	"M"	"A"
"CA1184"	"010000000"	"F"	"J"
"CA1186"	"010000000"	"M"	"J"
"CA1187"	"010101110"	"M"	"J"
"CA1188"	"010000000"	"F"	"J"
"CA1189"	"010000000"	"F"	"J"
"CA1190"	"010000000"	"F"	"J"
"CA1191"	"010000000"	"F"	"A"
"CA1192"	"010000000"	"M"	"J"
"CA1193"	"010000000"	"M"	"J"
"CA1194"	"010000000"	"M"	"J"
"CA1195"	"010000000"	"F"	"A"
"CA1196"	"010000000"	"F"	"J"
"CA1197"	"010000000"	"F"	"J"
"CA1198"	"010000000"	"M"	"J"
"CA1199"	"010000000"	"M"	"A"
"CA1200"	"010000000"	"M"	"J"
"CA1604"	"001000000"	"F"	"A"
"CA1616"	"001100000"	"F"	"A"
"CA1618"	"001110111"	"F"	"A"
"CA1619"	"001010000"	"M"	"A"
"CA1620"	"001100000"	"F"	"A"
"CA1621"	"001110000"	"M"	"A"
"CA1622"	"001100000"	"M"	"A"
"CA1623"	"001000000"	"F"	"A"
"CA1624"	"001110110"	"M"	"A"
"CA1625"	"001000000"	"M"	"A"
"CA1626"	"001100000"	"M"	"A"
"CA1627"	"001100000"	"F"	"A"
"CA1628"	"001000000"	"M"	"A"
"CA1629"	"001000000"	"F"	"A"
"CA1630"	"001111111"	"M"	"A"
"CA1631"	"001110000"	"M"	"A"
"CA1633"	"001100100"	"M"	"A"
"CA1634"	"001110000"	"F"	"A"
"CA1635"	"001000000"	"M"	"A"
"CA1636"	"001000100"	"F"	"A"
"CA1637"	"001011111"	"F"	"A"
"CA1638"	"001111000"	"M"	"A"
"CA1639"	"001110110"	"M"	"A"
"CA1641"	"001000001"	"M"	"J"
"CA1642"	"001000000"	"F"	"J"
"CA1643"	"001100000"	"M"	"A"
"CA1644"	"001110111"	"F"	"A"
"CA1645"	"001000000"	"M"	"A"
"CA1646"	"001000001"	"F"	"J"
"CA1647"	"001001100"	"M"	"J"
"CA1648"	"001000000"	"M"	"J"
"CA1649"	"001000000"	"F"	"A"
"CA1650"	"001000000"	"M"	"J"
"CA1651"	"001000000"	"F"	"A"
"CA1652"	"001000000"	"F"	"J"
"CA1653"	"001000000"	"M"	"J"
"CA1654"	"001100000"	"M"	"A"
"CA1655"	"001000001"	"F"	"A"
"CA1656"	"001000000"	"M"	"J"
"CA1657"	"001001111"	"F"	"J"
"CA1658"	"001000000"	"M"	"J"
"CA1659"	"001000000"	"M"	"A"
"CA1660"	"001000000"	"M"	"J"
"CA1661"	"001000000"	"M"	"J"
"CA1662"	"001000100"	"F"	"J"
"CA1663"	"001110111"	"M"	"J"
"CA1664"	"001110100"	"M"	"A"
"CA1665"	"001000000"	"M"	"A"
"CA1666"	"001000000"	"F"	"A"
"CA1667"	"001000000"	"M"	"A"
"CA1668"	"001000000"	"M"	"A"
"CA1669"	"001000000"	"F"	"A"
"CA1670"	"001000000"	"F"	"A"
"CA1671"	"001110000"	"F"	"J"
"CA1673"	"001000001"	"F"	"A"
"CA1674"	"001000000"	"F"	"A"
"CA1675"	"001000000"	"M"	"A"
"CA1676"	"001001111"	"M"	"J"
"CA1677"	"001100000"	"M"	"J"
"CA1678"	"001000000"	"M"	"J"
"CA1679"	"001000000"	"M"	"J"
"CA1680"	"001000000"	"M"	"J"
"CA1681"	"001010000"	"F"	"A"
"CA1682"	"001000010"	"M"	"A"
"CA1683"	"001001101"	"F"	"J"
"CA1684"	"001000000"	"F"	"J"
"CA1685"	"001000000"	"M"	"J"
"CA1686"	"001000000"	"M"	"J"
"CA1687"	"001010111"	"M"	"A"
"CA1688"	"001100000"	"M"	"A"
"CA1689"	"001000000"	"M"	"J"
"CA1690"	"001000000"	"F"	"J"
"CA1691"	"001000000"	"M"	"J"
"CA1692"	"001000000"	"F"	"J"
"CA1693"	"001111111"	"F"	"J"
"CA1694"	"001000011"	"M"	"J"
"CA1695"	"001000000"	"F"	"J"
"CA1696"	"001100000"	"M"	"A"
"CA1697"	"001010000"	"F"	"A"
"CA1698"	"001000000"	"F"	"J"
"CA1699"	"001000111"	"M"	"J"
"CA2542"	"010110000"	"M"	"A"
"CA2601"	"010000000"	"M"	"J"
"CA2602"	"010000000"	"M"	"J"
"CA2603"	"010110000"	"M"	"A"
"CA2604"	"010000000"	"M"	"A"
"CA2605"	"010000000"	"F"	"A"
"CA2606"	"010000000"	"F"	"J"
"CA2608"	"010000000"	"F"	"J"
"CA2609"	"010000000"	"F"	"J"
"CA2610"	"010100100"	"F"	"J"
"CA2612"	"010000000"	"F"	"A"
"CA2613"	"010000000"	"F"	"A"
"CA2614"	"011110110"	"F"	"A"
"CA2615"	"010000000"	"F"	"J"
"CA2617"	"010000000"	"M"	"A"
"CA2619"	"010100011"	"M"	"J"
"CA2623"	"010000000"	"M"	"J"
"CA2624"	"010000000"	"F"	"J"
"CA2625"	"010000000"	"F"	"A"
"CA2626"	"010110100"	"M"	"A"
"CA2627"	"010000000"	"F"	"J"
"CA2628"	"010000000"	"F"	"A"
"CA2629"	"011111111"	"F"	"A"
"CA2630"	"010000000"	"M"	"J"
"CA2631"	"010000000"	"F"	"J"
"CA2632"	"010000000"	"M"	"J"
"CA2633"	"010110000"	"M"	"A"
"CA2634"	"010000000"	"F"	"J"
"CA2636"	"010000000"	"F"	"J"
"CA2637"	"010000000"	"M"	"J"
"CA2640"	"010000000"	"F"	"A"
"CA2641"	"010000000"	"F"	"J"
"CA2642"	"001110000"	"M"	"A"
"CA2643"	"010000000"	"M"	"A"
"CA2645"	"011000100"	"F"	"A"
"CA2646"	"010000000"	"M"	"J"
"CA2647"	"010000000"	"M"	"J"
"CA2649"	"010000000"	"M"	"A"
"CA2650"	"011100000"	"F"	"A"
"CA2651"	"010000000"	"M"	"A"
"CA2652"	"011100100"	"F"	"A"
"CA2653"	"010000000"	"M"	"A"
"CA2654"	"010000000"	"M"	"J"
"CA2655"	"010000001"	"F"	"A"
"CA2656"	"010000001"	"M"	"A"
"CA2657"	"010111110"	"F"	"A"
"CA2658"	"010000000"	"M"	"J"
"CA2660"	"010000000"	"F"	"J"
"CA2661"	"010000000"	"F"	"A"
"CA2662"	"010000000"	"M"	"J"
"CA2663"	"010000000"	"F"	"J"
"CA2664"	"010000000"	"F"	"A"
"CA2665"	"010000000"	"M"	"A"
"CA2666"	"011110101"	"M"	"A"
"CA2667"	"011110011"	"F"	"A"
"CA2668"	"010000000"	"F"	"J"
"CA2669"	"010000000"	"M"	"J"
"CA2670"	"010000000"	"M"	"J"
"CA2671"	"010000000"	"F"	"A"
"CA2672"	"010000000"	"M"	"A"
"CA2673"	"010000000"	"M"	"J"
"CA2674"	"010000000"	"M"	"J"
"CA2675"	"010000000"	"M"	"J"
"CA2676"	"010000000"	"F"	"J"
