year,site,nest,exp,type,manip,laying_date,hatching_date,male,female,parent1,parent2,parent3,chick1,chick2,chick3,species,comments
1996,A,-7,U,,U,,,,,,,,85554,,,,
1996,A,-6,U,,U,,,,83580,,,,83952,83953,83954,,
1996,A,-5,ParCare,602,MC,,602,83873,83874,,,,83875,83876,83877,,
1996,A,-4,U,,U,,,,,,,,83687,,,,
1996,A,-3,U,,U,,,,,,,,83673,83674,,,
1996,A,-2,U,,U,,,,,,,,83670,83671,83672,,
1996,A,-1,U,,U,,,,83342,,,,83343,83344,83345,,
1996,A,1,ParCare,504,BC,,504,83614,83616,,,,83611,83612,83615,,
1996,A,6,ParCare,510,FC,,510,83665,83666,,,,83667,83668,83669,,
1996,A,12,ParCare,519,BC,,519,83765,83761,,,,83762,83763,83764,,
1996,A,14,ParCare,516,MC,,516,83751,83752,,,,83753,83754,83755,,
1996,A,19,U,,U,,,83617,83613,,,,83618,83619,83620,,
1996,A,27,ParCare,523,FC,,523,83778,83779,,,,83777,83780,83781,,
1996,A,41,ParCare,525,MC,,525,83796,83795,,,,83793,83797,83798,,
1996,A,48,,,,,,83665,83342,,,,,,,,
1996,A,50,ParCare,623,MC,,623,85511,85515,,,,85512,85513,85514,,
1996,A,54,ParCare,604,BC,,604,83884,83881,,,,83883,83885,83886,,
1996,A,55,ParCare,613,MC,,613,83920,83921,,,,83922,83923,83924,,
1996,A,57,ParCare,611,BC,,611,83901,83900,,,,83902,83903,83904,,
1996,A,59,ParCare,608,FC,,608,83896,83894,,,,83892,83893,83895,,
1996,A,62,U,,U,,,,,,,,83937,,,,
1996,A,63,U,,U,,,,,,,,85517,,,,
1996,A,66,U,,U,,,83765,83761,,,,85537,,,,
1996,A,580,U,,U,,,,,,,,83938,83939,,,
1996,B,-20,U,,U,,,83979,,,,,83968,83969,83970,,
1996,B,-19,U,,U,,,,85538,,,,,,,,
1996,B,-18,U,,U,,,,,,,,85570,,,,
1996,B,-17,U,,U,,,,,,,,85569,,,,
1996,B,-16,U,,U,,,,,,,,85568,,,,
1996,B,-15,U,,U,,,,,,,,85567,,,,
1996,B,-14,U,,U,,,,,,,,85566,,,,
1996,B,-13,U,,U,,,,,,,,85564,85565,,,
1996,B,-12,U,,U,,,,,,,,85557,,,,
1996,B,-11,U,,U,,,,,,,,85556,,,,
1996,B,-10,U,,U,,,,,,,,85555,,,,
1996,B,-9,U,,U,,,83696,,,,,85543,85544,,,
1996,B,-8,U,,U,,,,,,,,85535,,,,
1996,B,-7,U,,U,,,,,,,,83572,,,,
1996,B,-6,ParCare,606,FC,,531,83887,83888,,,,83889,83890,83891,,
1996,B,-5,U,,U,,,,,,,,83878,83879,83880,,
