year,site,nest,easting,northing,found_date,found_time,laying_date,clutch_size,end_date,fate,no_chicks,length1,breadth1,weight1,float1,length2,breadth2,weight2,float2,length3,breadth3,weight3,float3,observer,comments,species
1996,A,1,,,420,,,3,,HATCHED,3,31.7,22.7,,E,31.9,22.3,,D,32,22.1,,D,TS,,
1996,A,2,,,420,,,2,425,PRED,,,,,AB,,,,AB,,,,,TS,,
1996,A,3,,,420,,,2,425,PRED,,,,,,,,,,,,,,TS,,
1996,A,4,,,429,,427,3,,,,,,,AB,,,,AB,,,,AB,TS,,
1996,A,5,,,420,,,3,515,PRED,,,,,D,,,,D,,,,E,TS,,
1996,A,6,,,420,,,3,510,HATCHED,3,33.05,22.45,,C,33.2,23.2,,AB,32.5,22.9,,AB,TS,,
1996,A,7,,,420,,,3,515,PRED,,,,,,,,,,,,,,TS,,
1996,A,8,,,421,,423,3,515,PRED,,,,,,,,,,,,,,TS,,
1996,A,9,,,421,,421,2,513,PRED,,,,,,,,,,,,,,TS,,
1996,A,10,,,425,,426,3,,PRED,,,,,,,,,,,,,,TS,,
1996,A,11,,,429,,,3,,PRED,,,,,AB,,,,B,,,,B,TS,,
1996,A,12,,,429,,,3,519,HATCHED,3,32.8,22.8,,C,34.4,22.6,,B,32.6,22.9,,B,TS,,
1996,A,13,,,429,,,3,502,PRED,,,,,C,,,,C,,,,E,TS,,
1996,A,14,,,429,,,3,516,HATCHED,3,30.9,22.3,,C,31.7,22.25,,D,31.6,21.9,,B,TS,,
1996,A,15,,,429,,,3,513,PRED,,,,,B,,,,B,,,,B,TS,,
1996,A,16,,,429,,,3,519,PRED,,,,,B,,,,C,,,,AB,TS,,
1996,A,17,,,429,,,2,502,PRED,,,,,,,,,,,,,,TS,,
1996,A,18,,,430,,,3,502,PRED,,,,,AB,,,,B,,,,AB,TS,,
1996,A,19,,,430,,,3,,HATCHED,3,31.3,22.3,,E,30.7,22.5,,E,31.2,22.1,,E,TS,,
1996,A,20,,,502,,,3,518,PRED,,,,,C,,,,C,,,,D,TS,,
1996,A,21,,,502,,,2,,,,,,,D,,,,D,,,,,TS,,
1996,A,22,,,505,,,3,,HATCHED,,,,,F,,,,F,,,,D,TS,,
1996,A,23,,,506,,,3,515,PRED,,,,,D,,,,D,,,,D,TS,,
1996,A,24,,,509,,,3,523,PRED,,,,,C,,,,,,,,,TS,,
1996,A,25,,,509,,,3,,,,,,,AB,,,,,,,,,TS,,
1996,A,26,,,509,,,3,521,FLOODED,,,,,C,,,,D,,,,D,TS,,
