"ch"	"Ring"	"Year"	"Hatch_Date_simp"	"Day_of_Season"	"Sex"	"ID"	"Hatch_brood_size"
".............1...0..0.00.00"	"DH83333"	"1996"	409	-6	"M"	"1996_D_-1"	NA
"1.100000001.00100.0.000.000"	"DH83348"	"1996"	502	17	"M"	"1996_D_12"	"3"
".0100.000.0.000.000.0.00000"	"DH83619"	"1996"	503	18	"M"	"1996_A_19"	"3"
"1000010.00000.0.000.0010.01"	"DH83635"	"1996"	506	21	"F"	"1996_D_8"	"3"
"0.00.000000001.00000.0.000."	"DH83677"	"1996"	429	14	"F"	"1996_D_-3"	NA
"0000001000000000000.000.000"	"DH83686"	"1996"	507	22	"F"	"1996_C_-2"	NA
"10.000.0.00010..00000..0.00"	"DH83753"	"1996"	516	31	"F"	"1996_A_14"	"3"
".1000.000000.0000000..00.0."	"DH83855"	"1996"	525	40	"M"	"1996_D_33"	"3"
"100.000000.0000000..00.1.00"	"DH83860"	"1996"	527	42	"M"	"1996_D_44"	"3"
"1000.........0............."	"DH83992"	"1996"	627	73	"M"	"1996_C_167"	"3"
"000000000000000.0.0.0.1...."	"DH85555"	"1996"	618	64	"M"	"1996_B_-10"	NA
"0000.........1............."	"DH85560"	"1996"	627	73	"M"	"1996_C_-6"	NA
"10.00000000000000000000.000"	"DJ24773"	"1997"	520	35	"F"	"1997_D_5"	"2"
"100000000010000000000000000"	"DJ24787"	"1997"	524	39	"F"	"1997_C_46"	"3"
"100000000010000000000000000"	"DJ24788"	"1997"	524	39	"M"	"1997_C_46"	"3"
"100000000010000000000000000"	"DJ24789"	"1997"	524	39	"M"	"1997_C_46"	"3"
"000.00100000100000000000000"	"DJ24795"	"1997"	519	34	"M"	"1997_C_-1"	NA
"00001000000000000000.000000"	"DJ24840"	"1997"	523	38	"M"	"1997_D_41"	"3"
"00010000000100.000000..0.0."	"DJ24854"	"1997"	522	37	"F"	"1997_A_65"	""
"000000100.000000..0.0.000.0"	"DJ24903"	"1997"	527	42	"F"	"1997_A_-9"	NA
"010001000000000000000000000"	"DJ24957"	"1997"	527	42	"M"	"1997_C_61"	"3"
"1000000000000000000000000.."	"DJ24966"	"1997"	531	46	"F"	"1997_C_85"	"2"
"0010000000000000000000000.."	"DJ24974"	"1997"	531	46	"F"	"1997_C_-1"	NA
"000010000001000000000000000"	"DJ24976"	"1997"	529	44	"F"	"1997_C_-1"	NA
"00001000000000000000000000."	"DJ24979"	"1997"	530	45	"M"	"1997_C_-1"	NA
"10000000000000000.........."	"DJ24984"	"1997"	608	54	"M"	"1997_C_113"	"2"
"10000000000000000.........."	"DJ24985"	"1997"	608	54	"F"	"1997_C_113"	"2"
"0000000011000000000000000.."	"DJ24986"	"1997"	531	46	"M"	"1997_C_-1"	NA
"10000000000000000.........."	"DJ24987"	"1997"	608	54	"M"	"1997_C_76"	"3"
"10000000000000000.........."	"DJ24988"	"1997"	608	54	"F"	"1997_C_76"	"3"
"000000000000000100000000000"	"DJ24995"	"1997"	525	40	"M"	"1997_C_-1"	NA
"100000000000000............"	"DJ24996"	"1997"	610	56	"F"	"1997_C_63"	"3"
"100000000000000............"	"DJ24997"	"1997"	610	56	"F"	"1997_C_131"	"3"
"100001000000000............"	"DJ24998"	"1997"	610	56	"M"	"1997_C_131"	"3"
"100001000000000............"	"DJ24999"	"1997"	610	56	"M"	"1997_C_131"	"3"
"100000000000000............"	"DJ25000"	"1997"	610	56	"F"	"1997_C_63"	"3"
"0000000100000000000.000000."	"DJ25001"	"1997"	524	39	"M"	"1997_D_-1"	NA
"0000100000000000.000000.000"	"DJ25002"	"1997"	527	42	"F"	"1997_D_-1"	NA
"11000000000.000000.0000000."	"DJ25003"	"1997"	601	47	"F"	"1997_D_40"	"3"
"1000000000.000000.0000000.0"	"DJ25004"	"1997"	602	48	"F"	"1997_D_40"	"3"
"1000000000.000000.0000000.0"	"DJ25005"	"1997"	602	48	"M"	"1997_D_40"	"3"
"100000.000000.0000000.0...."	"DJ25024"	"1997"	606	52	"F"	"1997_D_59"	"3"
"100000.000000.0000000.0...."	"DJ25027"	"1997"	606	52	"M"	"1997_D_59"	"3"
"01.000000.0000000.0........"	"DJ25040"	"1997"	610	56	"M"	"1997_D_67"	"2"
"00.000100000000000100000.01"	"DJ25057"	"1997"	603	49	"M"	"1997_B_-11"	NA
"0000.000010000000000000000."	"DJ25065"	"1997"	601	47	"M"	"1997_B_-13"	NA
".000000010000000000000.000."	"DJ25080"	"1997"	605	51	"F"	"1997_B_-17"	NA
"1000000.0.................."	"DJ25112"	"1997"	620	66	"M"	"1997_D_76"	"3"
"100000000000000............"	"DJ25152"	"1997"	610	56	"F"	"1997_C_-1"	NA
"100000000000000............"	"DJ25153"	"1997"	610	56	"F"	"1997_C_127"	"3"
"100000000000000............"	"DJ25154"	"1997"	610	56	"M"	"1997_C_127"	"3"
"100000000000000............"	"DJ25155"	"1997"	610	56	"M"	"1997_C_127"	"3"
