"ring"	"ch"	"sex"	"age"
"DH83328"	"111000"	"F"	"A"
"DH83329"	"111100"	"F"	"A"
"DH83330"	"100000"	"M"	"A"
"DH83331"	"111000"	"M"	"A"
"DH83333"	"110000"	"M"	"J"
"DH83334"	"101000"	"F"	"A"
"DH83335"	"111110"	"M"	"A"
"DH83336"	"110000"	"F"	"A"
"DH83337"	"101000"	"M"	"A"
"DH83338"	"100000"	"F"	"A"
"DH83339"	"101100"	"M"	"A"
"DH83342"	"110100"	"F"	"A"
"DH83346"	"111110"	"M"	"A"
"DH83347"	"111000"	"F"	"A"
"DH83348"	"100100"	"M"	"J"
"DH83551"	"111110"	"M"	"A"
"DH83552"	"111100"	"F"	"A"
"DH83553"	"111000"	"F"	"A"
"DH83554"	"110000"	"M"	"A"
"DH83555"	"100000"	"M"	"A"
"DH83557"	"111000"	"F"	"A"
"DH83558"	"111110"	"F"	"A"
"DH83559"	"111000"	"M"	"A"
"DH83560"	"100100"	"F"	"A"
"DH83561"	"100000"	"M"	"A"
"DH83562"	"111100"	"M"	"A"
"DH83562"	"111100"	"M"	"A"
"DH83562"	"111100"	"M"	"A"
"DH83563"	"101000"	"M"	"A"
"DH83564"	"111000"	"F"	"A"
"DH83565"	"110000"	"F"	"A"
"DH83566"	"100000"	"M"	"A"
"DH83567"	"100000"	"F"	"A"
"DH83568"	"111100"	"M"	"A"
"DH83568"	"111100"	"M"	"A"
"DH83568"	"111100"	"M"	"A"
"DH83569"	"111000"	"M"	"A"
"DH83570"	"110000"	"F"	"A"
"DH83574"	"111000"	"M"	"A"
"DH83575"	"100100"	"F"	"A"
"DH83576"	"111100"	"F"	"A"
"DH83577"	"111100"	"M"	"A"
"DH83578"	"111100"	"M"	"A"
"DH83579"	"111110"	"M"	"A"
"DH83579"	"111110"	"M"	"A"
"DH83579"	"111110"	"M"	"A"
"DH83580"	"110110"	"F"	"A"
"DH83581"	"110000"	"M"	"A"
"DH83582"	"100000"	"F"	"A"
"DH83583"	"111110"	"F"	"A"
"DH83583"	"111110"	"F"	"A"
"DH83583"	"111110"	"F"	"A"
"DH83584"	"100000"	"M"	"A"
"DH83586"	"110000"	"M"	"A"
"DH83587"	"101000"	"F"	"A"
"DH83588"	"101000"	"F"	"A"
"DH83589"	"100000"	"M"	"A"
"DH83590"	"110000"	"F"	"A"
"DH83591"	"110000"	"M"	"A"
"DH83592"	"110000"	"F"	"A"
"DH83592"	"110000"	"F"	"A"
"DH83593"	"110000"	"M"	"A"
"DH83593"	"110000"	"M"	"A"
"DH83594"	"110000"	"F"	"A"
"DH83595"	"100000"	"M"	"A"
"DH83596"	"100010"	"F"	"A"
"DH83597"	"101000"	"F"	"A"
"DH83598"	"110000"	"M"	"A"
"DH83599"	"100000"	"F"	"A"
"DH83600"	"111110"	"F"	"A"
"DH83600"	"111110"	"F"	"A"
"DH83600"	"111110"	"F"	"A"
"DH83601"	"111000"	"M"	"A"
"DH83601"	"111000"	"M"	"A"
"DH83601"	"111000"	"M"	"A"
"DH83602"	"110010"	"F"	"A"
"DH83606"	"110000"	"M"	"A"
"DH83607"	"110000"	"F"	"A"
"DH83613"	"100000"	"F"	"A"
"DH83614"	"111000"	"M"	"A"
"DH83616"	"111100"	"F"	"A"
"DH83617"	"110100"	"M"	"A"
"DH83619"	"110000"	"M"	"J"
"DH83621"	"111000"	"M"	"A"
"DH83623"	"111000"	"F"	"A"
"DH83627"	"110000"	"M"	"A"
"DH83628"	"110000"	"F"	"A"
"DH83635"	"111000"	"F"	"J"
"DH83642"	"111000"	"F"	"A"
"DH83643"	"111110"	"M"	"A"
"DH83644"	"111100"	"F"	"A"
"DH83645"	"111110"	"F"	"A"
"DH83645"	"111110"	"F"	"A"
"DH83645"	"111110"	"F"	"A"
"DH83646"	"101110"	"M"	"A"
"DH83652"	"100000"	"M"	"A"
"DH83653"	"100000"	"F"	"A"
"DH83660"	"100000"	"M"	"A"
"DH83661"	"111000"	"F"	"A"
"DH83665"	"111000"	"M"	"A"
"DH83666"	"110000"	"F"	"A"
"DH83677"	"101000"	"F"	"J"
"DH83679"	"110000"	"M"	"A"
"DH83681"	"100000"	"F"	"A"
"DH83684"	"111110"	"M"	"A"
"DH83684"	"111110"	"M"	"A"
"DH83684"	"111110"	"M"	"A"
"DH83686"	"110000"	"F"	"J"
"DH83689"	"100000"	"F"	"A"
"DH83691"	"100000"	"F"	"A"
"DH83692"	"100000"	"M"	"A"
"DH83696"	"111100"	"M"	"A"
"DH83697"	"100000"	"F"	"A"
"DH83751"	"110000"	"M"	"A"
"DH83752"	"100000"	"F"	"A"
"DH83753"	"100100"	"F"	"J"
"DH83756"	"100000"	"M"	"A"
"DH83757"	"111000"	"F"	"A"
"DH83761"	"110000"	"F"	"A"
"DH83765"	"110000"	"M"	"A"
