"population" "no_chicks" "clutch_size" "ID" "year" "male" "female"
"KIP" 0 "2" "KIP_2015_504" "2015" "FH72945" "FH72940"
"MP" 0 "2" "MP_2015_214" "2015" "FH17834" "FH72484"
"WFP" 0 "3" "WFP_2015_218" "2015" "FH72348" "FH72331"
"KIP" 0 "2" "KIP_2015_256" "2015" "FH73138" "FH73137"
"KIP" 0 "2" "KIP_2015_255" "2015" "FH73144" "FH73142"
"MP" 0 "2" "MP_2015_207" "2015" "FH17834" "FH72484"
"MP" 0 "2" "MP_2015_205" "2015" "FH47506" "FH72147"
"MP" 0 "2" "MP_2015_201" "2015" "FH17834" "FH72484"
"WFP" 0 "2" "WFP_2015_215" "2015" "FH72249" "FH69110"
"WFP" 0 "3" "WFP_2015_212" "2015" "FH72466" "FH73130"
"WFP" 0 "3" "WFP_2015_209" "2015" "FH69177" "FH69206"
"WFP" 0 "2" "WFP_2015_207" "2015" "FH72429" "FH72703"
"WFP" 0 "3" "WFP_2015_206" "2015" "FH47981" "FH47266"
"WFP" 0 "2" "WFP_2015_205" "2015" "FH72348" "FH72331"
"WFP" 0 "3" "WFP_2015_204" "2015" "FH72170" "FH73075"
"KIP" 0 "2" "KIP_2015_254" "2015" "FH73127" "FH73126"
"KIP" 1 "2" "KIP_2015_253" "2015" "FH73140" "FH73118"
"KIP" 0 "2" "KIP_2015_251" "2015" "FH73117" "FH73124"
"KIP" 0 "2" "KIP_2015_250" "2015" "FH73134" "FH73129"
"KIP" 0 "2" "KIP_2015_248" "2015" "FH73115" "FH73114"
"KIP" 0 "2" "KIP_2015_246" "2015" "FH73120" "FH73111"
"KIP" 0 "2" "KIP_2015_240" "2015" "FH72702" "FH73133"
"KIP" 0 "2" "KIP_2015_237" "2015" "FH73119" "FH73113"
"KIP" 0 "2" "KIP_2015_236" "2015" "FH73128" "FH73123"
"KIP" 0 "2" "KIP_2015_233" "2015" "FH68850" "FH47071"
"KIP" 1 "2" "KIP_2015_232" "2015" "FH73092" "FH73096"
"KIP" 0 "2" "KIP_2015_230" "2015" "FH73105" "FH73095"
"KIP" 0 "2" "KIP_2015_229" "2015" "FH73099" "FH73091"
"KIP" 0 "2" "KIP_2015_226" "2015" "FH73106" "FH73094"
"KIP" 2 "2" "KIP_2015_224" "2015" "FH73090" "FH73083"
"KIP" 0 "2" "KIP_2015_223" "2015" "FH73102" "FH72104"
"KIP" 0 "2" "KIP_2015_222" "2015" "FH73086" "FH73089"
"KIP" 0 "2" "KIP_2015_213" "2015" "FH73077" "FH73081"
"KIP" 0 "2" "KIP_2015_212" "2015" "FH73100" "FH73088"
"KIP" 2 "2" "KIP_2015_209" "2015" "FH73078" "FH47391"
"KIP" 0 "2" "KIP_2015_205" "2015" "FH68789" "FH68765"
"KIP" 0 "2" "KIP_2015_204" "2015" "FH69131" "FH68783"
"KIP" 2 "2" "KIP_2015_206" "2015" "FH72320" "FH47041"
"KIP" 2 "2" "KIP_2015_201" "2015" "FH73108" "FH69236"
"WFP" 0 "5" "WFP_2015_312" "2015" "FH73212" "FH47251"
"WFP" 0 "2" "WFP_2015_311" "2015" "FH73234" "FH73210"
"WFP" 1 "2" "WFP_2015_307" "2015" "FH69212" "FH72712"
"WFP" 0 "3" "WFP_2015_306" "2015" "FH68916" "FH47617"
"MP" 0 "2" "MP_2015_307" "2015" "FH73216" "FH73211"
"MP" 0 "2" "MP_2015_306" "2015" "FH73486" "FH73495"
"MP" 1 "2" "MP_2015_302" "2015" "FH73487" "FH17770"
"MP" 2 "2" "MP_2015_301" "2015" "FH47441" "FH47521"
"MP" 2 "2" "MP_2015_301" "2015" "FH47441" "FH47521"
"KIP" 1 "2" "KIP_2015_353" "2015" "FH73240" "FH73214"
"KIP" 0 "2" "KIP_2015_348" "2015" "FH73493" "FH68905"
"KIP" 2 "2" "KIP_2015_346" "2015" "FH73208" "FH73223"
"KIP" 2 "2" "KIP_2015_343" "2015" "FH73237" "FH73489"
"KIP" 0 "2" "KIP_2015_342" "2015" "FH73213" "FH47395"
"KIP" 0 "2" "KIP_2015_341" "2015" "FH69199" "FH73499"
"KIP" 0 "2" "KIP_2015_339" "2015" "FH17877" "FH73492"
"KIP" 1 "2" "KIP_2015_338" "2015" "FH73217" "FH73482"
"KIP" 2 "2" "KIP_2015_334" "2015" "FH73226" "FH72374"
"KIP" 0 "2" "KIP_2015_331" "2015" "FH73233" "FH73483"
"KIP" 0 "2" "KIP_2015_329" "2015" "FH73484" "FH73476"
"KIP" 0 "2" "KIP_2015_323" "2015" "FH69240" "FH73480"
"KIP" 2 "2" "KIP_2015_322" "2015" "FH73475" "FH73478"
"KIP" 2 "2" "KIP_2015_321" "2015" "FH72759" "FH73481"
"KIP" 1 "2" "KIP_2015_316" "2015" "FH73490" "FH73206"
"KIP" 0 "2" "KIP_2015_312" "2015" "FH73468" "FH73471"
"KIP" 2 "2" "KIP_2015_307" "2015" "FH73473" "FH68953"
"KIP" 2 "2" "KIP_2015_304" "2015" "FH68982" "FH73465"
"KIP" 2 "1" "KIP_2015_302" "2015" "FH73087" "FH73076"
"KIP" 0 "2" "KIP_2015_301" "2015" "FH73074" "FH73073"
"WFP" 0 "3" "WFP_2015_414" "2015" "FH72488" "FH73355"
"WFP" 0 "3" "WFP_2015_414" "2015" "FH72488" "FH73355"
"WFP" 0 "2" "WFP_2015_411" "2015" "FH73316" "FH68760"
"WFP" 0 "1" "WFP_2015_409" "2015" "FH47579" "FH47578"
"WFP" 0 "2" "WFP_2015_408" "2015" "FH73312" "FH47637"
"WFP" 0 "3" "WFP_2015_406" "2015" "FH47579" "FH47578"
"WFP" 0 "2" "WFP_2015_404" "2015" "FH68748" "FH68955"
"MP" 0 "2" "MP_2015_429" "2015" "FH68734" "FH17846"
"MP" 0 "2" "MP_2015_409" "2015" "FH68757" "FH68893"
"MP" 0 "2" "MP_2015_406" "2015" "FH72522" "FH72521"
"MP" 0 "2" "MP_2015_403" "2015" "FH17826" "FH68762"
"MP" 0 "2" "MP_2015_400" "2015" "FH47052" "FH47060"
"KIP" 0 "2" "KIP_2015_452" "2015" "FH73333" "FH73301"
"KIP" 0 "2" "KIP_2015_450" "2015" "FH73302" "FH73303"
"KIP" 0 "2" "KIP_2015_441" "2015" "FH73307" "FH73308"
"KIP" 0 "2" "KIP_2015_439" "2015" "FH73334" "FH73322"
"KIP" 0 "2" "KIP_2015_437" "2015" "FH68759" "FH68732"
"KIP" 0 "2" "KIP_2015_436" "2015" "FH68743" "FH68750"
"KIP" 0 "2" "KIP_2015_435" "2015" "FH73362" "FH73311"
"KIP" 0 "1" "KIP_2015_432" "2015" "FH68745" "FH68761"
"KIP" 0 "2" "KIP_2015_430" "2015" "FH68737" "FH68755"
"KIP" 0 "2" "KIP_2015_429" "2015" "FH73323" "FH73306"
"KIP" 0 "2" "KIP_2015_428" "2015" "FH68754" "FH68736"
"KIP" 0 "2" "KIP_2015_419" "2015" "FH68744" "FH68751"
"KIP" 0 "2" "KIP_2015_417" "2015" "FH68752" "FH68740"
"KIP" 0 "2" "KIP_2015_414" "2015" "FH68753" "FH68735"
"KIP" 0 "2" "KIP_2015_413" "2015" "FH72709" "FH68723"
"KIP" 0 "2" "KIP_2015_411" "2015" "FH72125" "FH68738"
"KIP" 0 "2" "KIP_2015_407" "2015" "FH17847" "FH68739"
"KIP" 0 "2" "KIP_2015_405" "2015" "FH68899" "FH69123"
"KIP" 0 "1" "KIP_2015_403" "2015" "FH72248" "FH68815"
"KIP" 0 "2" "KIP_2015_402" "2015" "FH68974" "FH68894"
"WFP" NA NA "WFP_2015_631" "2015" "FH73295" "YY.X|BY.X"
"WFP" NA NA "WFP_2015_630" "2015" "FH73294" "YY.X|YL.X"
"WFP" NA NA "WFP_2015_626" "2015" "FH47119" "FH72489"
"WFP" NA NA "WFP_2015_626" "2015" "FH47119" "FH72489"
"WFP" 0 NA "WFP_2015_604" "2015" "FH72949" "FH72335"
"MP" 0 NA "MP_2015_614" "2015" "FH73567" "FH73568"
"MP" 0 NA "MP_2015_606" "2015" "FH73414" "FH72989"
"KIP" NA NA "KIP_2015_717" "2015" "GG.X|X.BO" "LL.X|X.OL"
"KIP" NA NA "KIP_2015_703" "2015" "LL.X|X.OO" "FH73566"
"KIP" NA NA "KIP_2015_702" "2015" "FH73592" "FH73565"
"KIP" NA NA "KIP_2015_697" "2015" "FH73181" "FH73167"
"KIP" NA NA "KIP_2015_683" "2015" "FH72976" "FH72983"
"KIP" NA NA "KIP_2015_680" "2015" "FH72975" "FH47695"
"KIP" NA NA "KIP_2015_666" "2015" "FH73199" "FH73175"
"KIP" NA NA "KIP_2015_665" "2015" "FH73176" "FH73575"
"KIP" NA NA "KIP_2015_629" "2015" "FH72995" "FH73187"
"KIP" 0 NA "KIP_2015_606" "2015" "FH72946" "FH72947"
"KIP" 0 NA "KIP_2015_604" "2015" "FH72944" "FH72948"
"MP" 0 "2" "MP_2015_114" "2015" "FH17826" "FH68762"
"WFP" NA "2" "WFP_2015_115" "2015" "FH68858" "FH47988"
"MP" NA "2" "MP_2015_111" "2015" "FH17819" "FH47804"
"KIP" NA "2" "KIP_2015_144" "2015" "FH72696" "FH73513"
"MP" 0 "2" "MP_2015_109" "2015" "FH72697" "FH72201"
"KIP" 0 "2" "KIP_2015_142" "2015" "FH72692" "FH72577"
"KIP" NA "2" "KIP_2015_141" "2015" "FH72693" "FH73505"
"KIP" 0 "2" "KIP_2015_137" "2015" "FH72194" "FH72699"
"KIP" 0 "2" "KIP_2015_136" "2015" "FH73506" "FH72698"
"KIP" 0 "2" "KIP_2015_135" "2015" "FH72700" "FH72661"
"MP" NA "2" "MP_2015_105" "2015" "FH47944" "FH72694"
"KIP" NA "2" "KIP_2015_125" "2015" "FH69234" "FH72666"
"MP" NA "2" "MP_2015_103" "2015" "FH72672" "FH72680"
"KIP" 0 "2" "KIP_2015_123" "2015" "FH72674" "FH72667"
"WFP" NA "3" "WFP_2015_108" "2015" "FH47227" "FH69253"
"KIP" NA "2" "KIP_2015_120" "2015" "FH72717" "FH72166"
"MP" NA "2" "MP_2015_101" "2015" "FH47160" "FH47040"
"KIP" NA "2" "KIP_2015_117" "2015" "FH73521" "FH47432"
"KIP" 0 "2" "KIP_2015_115" "2015" "FH72277" "FH72662"
"KIP" 2 "2" "KIP_2015_110" "2015" "FH68981" "FH72660"
"KIP" 0 "2" "KIP_2015_109" "2015" "FH68770" "FH68767"
"KIP" NA "2" "KIP_2015_108" "2015" "FH72534" "FH47194"
"WFP" 0 "2" "WFP_2015_104" "2015" "FH68858" "FH47988"
"WFP" 0 "1" "WFP_2015_103" "2015" "FH47579" "FH47578"
"KIP" 0 "2" "KIP_2015_107" "2015" "FH73466" "FH73464"
"WFP" 0 "2" "WFP_2015_102" "2015" "FH47981" "FH47266"
"KIP" 0 "2" "KIP_2015_102" "2015" "FH68850" "FH47071"
"KIP" NA "2" "KIP_2015_101" "2015" "FH68796" "FH73072"
"KIP" NA "2" "KIP_2015_101" "2015" "FH68796" "FH73072"
"KIP" 1 "2" "KIP_2014_32" "2014" "FH72860" "FH72856"
"KIP" 0 "2" "KIP_2014_31" "2014" "FH72848" "FH72850"
"KIP" 0 "1" "KIP_2014_21" "2014" "FH72807" "FH72806"
"KIP" 0 "2" "KIP_2014_4" "2014" "FH72473" "FH72472"
"KIP" 0 "2" "KIP_2014_4" "2014" "FH72469" "FH72335"
"KIP" 0 "2" "KIP_2014_3" "2014" "FH72466" "FH72470"
"KIP" 1 "2" "KIP_2014_2" "2014" "FH72465" "FH72139"
"KIP" 0 "2" "KIP_2014_2" "2014" "FH72465" "FH72139"
"KIP" 2 "2" "KIP_2014_1" "2014" "FH72349" "FH72331"
"KIP" 0 "2" "KIP_2014_1" "2014" "FH72349" "FH72331"
"WFP" 0 "2" "WFP_2014_22" "2014" "FH72931" "FH72930"
"WFP" 0 "2" "WFP_2014_17" "2014" "FH69212" "FH72858"
"WFP" 0 "3" "WFP_2014_13" "2014" "FH47110" "FH72824"
"WFP" 0 "3" "WFP_2014_11" "2014" "FH47144" "FH69169"
"WFP" 0 "1" "WFP_2014_10" "2014" "FH72822" "FH72823"
"WFP" 1 "3" "WFP_2014_9" "2014" "FH72498" "FH47907"
"WFP" 0 "2" "WFP_2014_8" "2014" "FH72496" "FH72801"
"WFP" 0 "2" "WFP_2014_7" "2014" "FH47981" "FH69206"
"WFP" 0 "2" "WFP_2014_6" "2014" "FH69237" "FH72475"
"WFP" 0 "2" "WFP_2014_5" "2014" "FH69177" "FH47357"
"MP" 2 "2" "MP_2014_4" "2014" "FH47543" "FH72834"
"MP" 0 "1" "MP_2014_4" "2014" "FH47543" "FH72834"
"MP" 2 "2" "MP_2014_2" "2014" "FH72474" "FH47025"
"MP" NA "2" "MP_2014_2" "2014" "FH72474" "FH47025"
"MP" 0 "2" "MP_2014_1" "2014" "FH72464" "FH68800"
"KIP" 0 NA "KIP_2014_201" "2014" "FH72601" "FH72602"
"MP" 0 NA "MP_2014_201" "2014" "FH72632" "FH72624"
"WFP" 1 NA "WFP_2014_203" "2014" "FH72619" "FH72622"
"MP" 1 "2" "MP_2014_105" "2014" "FH72522" "FH72521"
"MP" 1 "2" "MP_2014_107" "2014" "FH73017" "FH72599"
"KIP" NA "2" "KIP_2014_120" "2014" "FH73001" "FH72591"
"KIP" 2 "2" "KIP_2014_113" "2014" "FH72582" "FH72549"
"KIP" 0 "2" "KIP_2014_112" "2014" "FH72526" "FH72525"
"WFP" 0 "2" "WFP_2014_112" "2014" "FH73018" "FH47274"
"WFP" NA "2" "WFP_2014_110" "2014" "FH72568" "FH72567"
"WFP" 0 "3" "WFP_2014_102" "2014" "FH72504" "FH72503"
"WFP" 0 "2" "WFP_2014_101" "2014" "FH72508" "FH68773"
