"chick_ID" "nest_ID" "population" "year" "male" "female"
"chick-30" "nest-3" "KIP" 2012 0 1
"chick-31" "nest-3" "KIP" 2012 1 0
"chick-6" "nest-4" "KIP" 2012 1 0
"chick-8" "nest-4" "KIP" 2012 1 0
"chick-9" "nest-2" "KIP" 2012 1 0
"chick-10" "nest-2" "KIP" 2012 1 0
"chick-15" "nest-5" "KIP" 2013 1 0
"chick-17" "nest-5" "KIP" 2013 0 1
"chick-22" "nest-12" "KIP" 2013 1 0
"chick-23" "nest-12" "KIP" 2013 1 0
"chick-3" "nest-16" "KIP" 2013 1 0
"chick-7" "nest-16" "KIP" 2013 0 1
"chick-12" "nest-25" "KIP" 2013 0 1
"chick-27" "nest-25" "KIP" 2013 0 1
"chick-34" "nest-26" "KIP" 2013 0 1
"chick-35" "nest-26" "KIP" 2013 1 0
"chick-11" "nest-6" "KIP" 2013 1 0
"chick-16" "nest-6" "KIP" 2013 1 0
"chick-28" "nest-11" "KIP" 2013 0 1
"chick-29" "nest-11" "KIP" 2013 1 0
"chick-32" "nest-17" "KIP" 2013 1 0
"chick-33" "nest-17" "KIP" 2013 1 0
"chick-41" "nest-18" "KIP" 2013 0 1
"chick-60" "nest-18" "KIP" 2013 1 0
"chick-20" "nest-24" "KIP" 2013 0 1
"chick-21" "nest-24" "KIP" 2013 0 1
"chick-44" "nest-27" "KIP" 2013 0 1
"chick-45" "nest-27" "KIP" 2013 1 0
"chick-65" "nest-28" "KIP" 2013 1 0
"chick-66" "nest-28" "KIP" 2013 1 0
"chick-75" "nest-7" "KIP" 2013 1 0
"chick-76" "nest-7" "KIP" 2013 0 1
"chick-55" "nest-8" "KIP" 2013 1 0
"chick-56" "nest-8" "KIP" 2013 1 0
"chick-52" "nest-9" "KIP" 2013 1 0
"chick-53" "nest-9" "KIP" 2013 1 0
"chick-50" "nest-10" "KIP" 2013 0 1
"chick-51" "nest-10" "KIP" 2013 0 1
"chick-4" "nest-13" "KIP" 2013 0 1
"chick-14" "nest-13" "KIP" 2013 1 0
"chick-38" "nest-14" "KIP" 2013 0 1
"chick-39" "nest-14" "KIP" 2013 0 1
"chick-36" "nest-15" "KIP" 2013 1 0
"chick-40" "nest-15" "KIP" 2013 0 1
"chick-67" "nest-19" "KIP" 2013 0 1
"chick-68" "nest-19" "KIP" 2013 0 1
"chick-63" "nest-20" "KIP" 2013 1 0
"chick-64" "nest-20" "KIP" 2013 0 1
"chick-77" "nest-21" "KIP" 2013 0 1
"chick-78" "nest-21" "KIP" 2013 0 1
"chick-79" "nest-22" "KIP" 2013 1 0
"chick-80" "nest-22" "KIP" 2013 1 0
"chick-85" "nest-23" "KIP" 2013 0 1
"chick-86" "nest-23" "KIP" 2013 1 0
"chick-115" "nest-45" "KIP" 2014 1 0
"chick-116" "nest-45" "KIP" 2014 1 0
"chick-87" "nest-41" "KIP" 2014 1 0
"chick-88" "nest-41" "KIP" 2014 0 1
"chick-92" "nest-42" "KIP" 2014 0 1
"chick-93" "nest-42" "KIP" 2014 0 1
"chick-125" "nest-43" "KIP" 2014 1 0
"chick-126" "nest-43" "KIP" 2014 0 1
"chick-95" "nest-44" "KIP" 2014 1 0
"chick-96" "nest-44" "KIP" 2014 0 1
"chick-103" "nest-46" "KIP" 2014 0 1
"chick-104" "nest-46" "KIP" 2014 1 0
"chick-111" "nest-47" "KIP" 2014 1 0
"chick-112" "nest-47" "KIP" 2014 1 0
"chick-105" "nest-48" "KIP" 2014 1 0
"chick-106" "nest-48" "KIP" 2014 1 0
"chick-107" "nest-49" "KIP" 2014 0 1
"chick-108" "nest-49" "KIP" 2014 1 0
"chick-130" "nest-56" "KIP" 2015 0 1
"chick-131" "nest-56" "KIP" 2015 1 0
"chick-100" "nest-57" "KIP" 2015 0 1
"chick-101" "nest-57" "KIP" 2015 0 1
"chick-171" "nest-58" "KIP" 2015 1 0
"chick-172" "nest-58" "KIP" 2015 0 1
"chick-179" "nest-59" "KIP" 2015 0 1
"chick-181" "nest-59" "KIP" 2015 0 1
"chick-175" "nest-60" "KIP" 2015 1 0
"chick-176" "nest-60" "KIP" 2015 1 0
"chick-186" "nest-61" "KIP" 2015 1 0
"chick-187" "nest-61" "KIP" 2015 0 1
"chick-183" "nest-62" "KIP" 2015 1 0
"chick-184" "nest-62" "KIP" 2015 0 1
"chick-188" "nest-63" "KIP" 2015 0 1
"chick-191" "nest-63" "KIP" 2015 1 0
"chick-26" "nest-64" "KIP" 2015 0 1
"chick-129" "nest-64" "KIP" 2015 1 0
"chick-127" "nest-65" "KIP" 2015 1 0
"chick-128" "nest-65" "KIP" 2015 1 0
"chick-134" "nest-66" "KIP" 2015 0 1
"chick-135" "nest-66" "KIP" 2015 1 0
"chick-132" "nest-67" "KIP" 2015 0 1
"chick-133" "nest-67" "KIP" 2015 1 0
"chick-146" "nest-68" "KIP" 2015 0 1
"chick-169" "nest-68" "KIP" 2015 0 1
"chick-145" "nest-69" "KIP" 2015 1 0
"chick-170" "nest-69" "KIP" 2015 1 0
"chick-147" "nest-70" "KIP" 2015 0 1
"chick-148" "nest-70" "KIP" 2015 0 1
"chick-152" "nest-71" "KIP" 2015 1 0
"chick-153" "nest-71" "KIP" 2015 0 1
"chick-149" "nest-72" "KIP" 2015 0 1
"chick-150" "nest-72" "KIP" 2015 0 1
"chick-151" "nest-73" "KIP" 2015 0 1
"chick-154" "nest-73" "KIP" 2015 0 1
"chick-157" "nest-74" "KIP" 2015 0 1
"chick-158" "nest-74" "KIP" 2015 0 1
"chick-159" "nest-75" "KIP" 2015 1 0
"chick-160" "nest-75" "KIP" 2015 1 0
"chick-155" "nest-76" "KIP" 2015 0 1
"chick-156" "nest-76" "KIP" 2015 1 0
"chick-161" "nest-77" "KIP" 2015 1 0
"chick-162" "nest-77" "KIP" 2015 0 1
"chick-163" "nest-78" "KIP" 2015 0 1
"chick-164" "nest-78" "KIP" 2015 0 1
"chick-24" "nest-79" "KIP" 2015 1 0
"chick-25" "nest-79" "KIP" 2015 1 0
"chick-165" "nest-80" "KIP" 2015 1 0
"chick-166" "nest-80" "KIP" 2015 1 0
"chick-119" "nest-81" "KIP" 2015 0 1
"chick-120" "nest-81" "KIP" 2015 1 0
"chick-123" "nest-82" "KIP" 2015 0 1
"chick-124" "nest-82" "KIP" 2015 0 1
"chick-140" "nest-83" "KIP" 2015 1 0
"chick-141" "nest-83" "KIP" 2015 0 1
"chick-121" "nest-84" "KIP" 2015 0 1
"chick-122" "nest-84" "KIP" 2015 1 0
"chick-138" "nest-85" "KIP" 2015 1 0
"chick-139" "nest-85" "KIP" 2015 0 1
"chick-142" "nest-86" "KIP" 2015 1 0
"chick-194" "nest-86" "KIP" 2015 0 1
"chick-144" "nest-87" "KIP" 2015 0 1
"chick-192" "nest-87" "KIP" 2015 1 0
"chick-167" "nest-88" "KIP" 2015 1 0
"chick-168" "nest-88" "KIP" 2015 1 0
"chick-195" "nest-89" "KIP" 2015 0 1
"chick-196" "nest-89" "KIP" 2015 1 0
"chick-143" "nest-90" "KIP" 2015 1 0
"chick-193" "nest-90" "KIP" 2015 0 1
"chick-136" "nest-91" "KIP" 2015 1 0
"chick-137" "nest-91" "KIP" 2015 1 0
"chick-37" "nest-39" "WFP" 2013 0 1
"chick-42" "nest-39" "WFP" 2013 0 1
"chick-43" "nest-39" "WFP" 2013 0 1
"chick-83" "nest-40" "WFP" 2013 1 0
"chick-84" "nest-40" "WFP" 2013 1 0
"chick-5" "nest-35" "WFP" 2013 1 0
"chick-13" "nest-35" "WFP" 2013 1 0
"chick-46" "nest-36" "WFP" 2013 0 1
"chick-47" "nest-36" "WFP" 2013 1 0
"chick-1" "nest-37" "WFP" 2013 1 0
"chick-2" "nest-37" "WFP" 2013 1 0
"chick-54" "nest-37" "WFP" 2013 1 0
"chick-57" "nest-38" "WFP" 2013 1 0
"chick-58" "nest-38" "WFP" 2013 1 0
"chick-59" "nest-38" "WFP" 2013 1 0
"chick-97" "nest-54" "WFP" 2014 1 0
"chick-98" "nest-54" "WFP" 2014 1 0
"chick-113" "nest-53" "WFP" 2014 0 1
"chick-114" "nest-53" "WFP" 2014 1 0
"chick-89" "nest-51" "WFP" 2014 1 0
"chick-91" "nest-51" "WFP" 2014 0 1
"chick-90" "nest-52" "WFP" 2014 1 0
"chick-94" "nest-52" "WFP" 2014 0 1
"chick-109" "nest-55" "WFP" 2014 1 0
"chick-110" "nest-55" "WFP" 2014 0 1
"chick-177" "nest-95" "WFP" 2015 0 1
"chick-178" "nest-95" "WFP" 2015 0 1
"chick-180" "nest-95" "WFP" 2015 0 1
"chick-189" "nest-96" "WFP" 2015 0 1
"chick-190" "nest-96" "WFP" 2015 1 0
"chick-18" "nest-1" "MP" 2010 1 0
"chick-19" "nest-1" "MP" 2010 0 1
"chick-61" "nest-34" "MP" 2013 0 1
