"bird_ID" "ch" "sex" "age" "population"
"bird_42" "1000000" "F" "J" "SP"
"bird_65" "1000000" "F" "J" "SP"
"bird_66" "1000000" "M" "J" "SP"
"bird_70" "1000000" "F" "J" "SP"
"bird_71" "1000000" "F" "J" "SP"
"bird_78" "1110000" "F" "J" "SP"
"bird_79" "1000000" "F" "J" "SP"
"bird_86" "1000000" "M" "J" "SP"
"bird_88" "1000000" "M" "J" "SP"
"bird_89" "1000000" "M" "J" "SP"
"bird_102" "1000000" "F" "J" "SP"
"bird_103" "1111000" "F" "J" "SP"
"bird_104" "1000000" "M" "J" "SP"
"bird_105" "1000000" "F" "J" "SP"
"bird_113" "1000000" "F" "J" "SP"
"bird_114" "1011000" "M" "J" "SP"
"bird_115" "1000000" "F" "J" "SP"
"bird_119" "1000000" "M" "J" "SP"
"bird_120" "1000000" "F" "J" "SP"
"bird_125" "1000000" "F" "J" "SP"
"bird_126" "1000000" "F" "J" "SP"
"bird_135" "1000000" "F" "J" "SP"
"bird_146" "1000000" "F" "J" "SP"
"bird_147" "1000000" "M" "J" "SP"
"bird_157" "1000000" "F" "J" "SP"
"bird_188" "1000000" "F" "J" "SP"
"bird_220" "1100000" "M" "J" "SP"
"bird_241" "1100000" "M" "J" "SP"
"bird_431" "1000000" "M" "J" "SP"
"bird_441" "1000000" "M" "J" "SP"
"bird_451" "1000000" "M" "J" "SP"
"bird_575" "1000000" "F" "J" "SP"
"bird_576" "1000000" "F" "J" "SP"
"bird_579" "1000000" "M" "J" "SP"
"bird_585" "1000000" "M" "J" "SP"
"bird_586" "1000000" "M" "J" "SP"
"bird_592" "1000000" "M" "J" "SP"
"bird_593" "1101000" "M" "J" "SP"
"bird_598" "1000000" "M" "J" "SP"
"bird_602" "1000000" "M" "J" "SP"
"bird_605" "1000000" "F" "J" "SP"
"bird_609" "1000000" "M" "J" "SP"
"bird_610" "1000000" "M" "J" "SP"
"bird_670" "1000000" "F" "J" "SP"
"bird_680" "1000000" "M" "J" "SP"
"bird_700" "1000000" "F" "J" "SP"
"bird_720" "1000000" "M" "J" "SP"
"bird_775" "1000000" "M" "J" "SP"
"bird_847" "1000000" "M" "J" "SP"
"bird_897" "1000000" "F" "J" "SP"
"bird_908" "1000000" "M" "J" "SP"
"bird_919" "1000000" "M" "J" "SP"
"bird_986" "1000000" "M" "J" "SP"
"bird_1026" "1000000" "M" "J" "SP"
"bird_1066" "1000000" "F" "J" "SP"
"bird_1076" "1000000" "F" "J" "SP"
"bird_1097" "1000000" "M" "J" "SP"
"bird_1126" "1000000" "F" "J" "SP"
"bird_1127" "1000000" "M" "J" "SP"
"bird_1133" "1000000" "M" "J" "SP"
"bird_1134" "1000000" "F" "J" "SP"
"bird_1135" "1000000" "M" "J" "SP"
"bird_1136" "1000000" "F" "J" "SP"
"bird_1137" "1000000" "F" "J" "SP"
"bird_1138" "1000000" "M" "J" "SP"
"bird_1140" "1000000" "M" "J" "SP"
"bird_1141" "1000000" "F" "J" "SP"
"bird_1142" "1000000" "F" "J" "SP"
"bird_1147" "1000000" "F" "J" "SP"
"bird_1149" "1000000" "M" "J" "SP"
"bird_1150" "1000000" "M" "J" "SP"
"bird_1151" "1000000" "M" "J" "SP"
"bird_1154" "1000000" "M" "J" "SP"
"bird_1156" "1000000" "M" "J" "SP"
"bird_1157" "1000000" "F" "J" "SP"
"bird_1158" "1000000" "F" "J" "SP"
"bird_1160" "1000000" "F" "J" "SP"
"bird_1161" "1000000" "F" "J" "SP"
"bird_1162" "1000000" "M" "J" "SP"
"bird_1163" "1000000" "M" "J" "SP"
"bird_1164" "1000000" "M" "J" "SP"
"bird_1165" "1000000" "F" "J" "SP"
"bird_1175" "1000000" "M" "J" "SP"
"bird_1186" "1000000" "F" "J" "SP"
"bird_1197" "1000000" "M" "J" "SP"
"bird_1207" "1111100" "M" "J" "SP"
"bird_1218" "1000000" "F" "J" "SP"
"bird_1229" "1000000" "F" "J" "SP"
"bird_1238" "1000000" "M" "J" "SP"
"bird_149" "0100000" "M" "J" "SP"
"bird_150" "0111111" "M" "J" "SP"
"bird_151" "0111100" "M" "J" "SP"
"bird_152" "0100000" "F" "J" "SP"
"bird_153" "0100000" "M" "J" "SP"
"bird_159" "0100000" "M" "J" "SP"
"bird_160" "0111000" "F" "J" "SP"
"bird_161" "0111110" "M" "J" "SP"
"bird_162" "0100000" "F" "J" "SP"
"bird_163" "0111000" "M" "J" "SP"
"bird_165" "0100000" "F" "J" "SP"
"bird_166" "0100000" "F" "J" "SP"
"bird_168" "0100000" "F" "J" "SP"
"bird_169" "0111000" "M" "J" "SP"
"bird_175" "0100000" "F" "J" "SP"
"bird_179" "0100000" "F" "J" "SP"
"bird_180" "0100000" "F" "J" "SP"
"bird_184" "0100000" "M" "J" "SP"
"bird_187" "0100000" "F" "J" "SP"
"bird_189" "0100000" "M" "J" "SP"
"bird_190" "0100000" "F" "J" "SP"
"bird_191" "0100000" "M" "J" "SP"
"bird_192" "0100000" "M" "J" "SP"
"bird_194" "0100000" "M" "J" "SP"
"bird_195" "0100100" "M" "J" "SP"
"bird_197" "0101111" "M" "J" "SP"
"bird_198" "0100000" "F" "J" "SP"
"bird_200" "0100000" "M" "J" "SP"
"bird_219" "0100000" "M" "J" "SP"
"bird_227" "0101110" "F" "J" "SP"
"bird_228" "0111111" "F" "J" "SP"
"bird_233" "0100000" "M" "J" "SP"
"bird_235" "0100000" "M" "J" "SP"
"bird_237" "0100000" "F" "J" "SP"
"bird_239" "0100000" "M" "J" "SP"
"bird_240" "0100000" "M" "J" "SP"
"bird_256" "0100000" "F" "J" "SP"
"bird_269" "0100000" "M" "J" "SP"
"bird_279" "0100000" "M" "J" "SP"
"bird_292" "0100000" "M" "J" "SP"
"bird_299" "0100000" "F" "J" "SP"
"bird_300" "0100000" "F" "J" "SP"
"bird_301" "0100000" "F" "J" "SP"
"bird_303" "0100000" "F" "J" "SP"
"bird_310" "0100000" "M" "J" "SP"
"bird_325" "0100000" "F" "J" "SP"
"bird_332" "0100000" "F" "J" "SP"
"bird_334" "0100000" "F" "J" "SP"
"bird_351" "0100000" "M" "J" "SP"
"bird_361" "0100000" "F" "J" "SP"
"bird_362" "0100000" "M" "J" "SP"
"bird_364" "0100000" "F" "J" "SP"
"bird_367" "0111110" "M" "J" "SP"
"bird_369" "0100000" "M" "J" "SP"
"bird_370" "0100000" "F" "J" "SP"
"bird_371" "0100000" "F" "J" "SP"
"bird_372" "0100000" "F" "J" "SP"
"bird_373" "0100000" "M" "J" "SP"
"bird_375" "0111111" "M" "J" "SP"
"bird_377" "0111111" "M" "J" "SP"
"bird_387" "0111110" "F" "J" "SP"
"bird_390" "0100000" "F" "J" "SP"
"bird_393" "0111000" "F" "J" "SP"
"bird_394" "0100000" "M" "J" "SP"
"bird_397" "0100000" "F" "J" "SP"
"bird_406" "0100000" "M" "J" "SP"
"bird_409" "0100000" "M" "J" "SP"
"bird_412" "0100000" "M" "J" "SP"
"bird_413" "0111000" "M" "J" "SP"
"bird_414" "0100000" "F" "J" "SP"
"bird_417" "0100000" "F" "J" "SP"
"bird_419" "0100000" "F" "J" "SP"
"bird_429" "0100000" "M" "J" "SP"
"bird_434" "0100000" "F" "J" "SP"
"bird_435" "0100000" "M" "J" "SP"
"bird_436" "0100000" "M" "J" "SP"
"bird_437" "0100000" "M" "J" "SP"
"bird_440" "0100000" "F" "J" "SP"
"bird_442" "0101010" "F" "J" "SP"
"bird_444" "0100000" "M" "J" "SP"
"bird_445" "0111100" "M" "J" "SP"
"bird_446" "0100000" "F" "J" "SP"
"bird_448" "0100000" "F" "J" "SP"
"bird_450" "0100000" "M" "J" "SP"
"bird_457" "0100000" "F" "J" "SP"
"bird_459" "0100000" "F" "J" "SP"
"bird_461" "0111100" "M" "J" "SP"
"bird_463" "0100000" "M" "J" "SP"
"bird_469" "0100000" "F" "J" "SP"
"bird_470" "0100000" "M" "J" "SP"
"bird_471" "0100000" "F" "J" "SP"
"bird_485" "0011000" "M" "J" "SP"
"bird_490" "0010000" "M" "J" "SP"
"bird_492" "0010111" "M" "J" "SP"
"bird_493" "0010000" "F" "J" "SP"
"bird_495" "0010000" "F" "J" "SP"
"bird_496" "0011100" "F" "J" "SP"
"bird_498" "0010000" "M" "J" "SP"
"bird_499" "0010100" "M" "J" "SP"
"bird_503" "0010110" "F" "J" "SP"
"bird_506" "0010000" "F" "J" "SP"
"bird_508" "0010000" "M" "J" "SP"
"bird_509" "0010000" "M" "J" "SP"
"bird_510" "0010000" "F" "J" "SP"
"bird_512" "0010000" "M" "J" "SP"
"bird_513" "0010000" "F" "J" "SP"
"bird_515" "0010000" "F" "J" "SP"
"bird_520" "0011100" "M" "J" "SP"
"bird_521" "0010000" "F" "J" "SP"
"bird_523" "0010000" "M" "J" "SP"
"bird_524" "0010000" "M" "J" "SP"
"bird_525" "0010000" "M" "J" "SP"
"bird_530" "0010110" "F" "J" "SP"
"bird_533" "0010000" "M" "J" "SP"
"bird_534" "0011100" "F" "J" "SP"
"bird_537" "0010000" "M" "J" "SP"
"bird_539" "0011100" "F" "J" "SP"
"bird_540" "0010000" "F" "J" "SP"
"bird_541" "0010000" "F" "J" "SP"
"bird_542" "0010000" "M" "J" "SP"
"bird_544" "0010000" "M" "J" "SP"
"bird_545" "0010000" "F" "J" "SP"
"bird_546" "0010000" "M" "J" "SP"
"bird_547" "0010000" "F" "J" "SP"
"bird_550" "0010000" "M" "J" "SP"
"bird_551" "0010000" "F" "J" "SP"
"bird_553" "0010000" "F" "J" "SP"
"bird_554" "0010000" "F" "J" "SP"
"bird_555" "0010000" "F" "J" "SP"
"bird_557" "0010000" "M" "J" "SP"
"bird_558" "0010000" "M" "J" "SP"
"bird_559" "0010000" "M" "J" "SP"
"bird_562" "0010000" "M" "J" "SP"
"bird_563" "0010000" "F" "J" "SP"
"bird_564" "0010000" "M" "J" "SP"
"bird_565" "0010000" "F" "J" "SP"
"bird_566" "0010000" "F" "J" "SP"
"bird_567" "0010000" "M" "J" "SP"
"bird_569" "0010000" "M" "J" "SP"
"bird_570" "0010000" "M" "J" "SP"
"bird_572" "0010000" "M" "J" "SP"
"bird_612" "0010110" "M" "J" "SP"
"bird_613" "0010000" "F" "J" "SP"
"bird_614" "0010000" "F" "J" "SP"
"bird_615" "0010000" "M" "J" "SP"
"bird_619" "0010000" "F" "J" "SP"
"bird_620" "0010000" "F" "J" "SP"
"bird_621" "0010000" "M" "J" "SP"
"bird_622" "0010000" "F" "J" "SP"
"bird_623" "0010000" "F" "J" "SP"
"bird_625" "0010000" "F" "J" "SP"
"bird_630" "0010000" "M" "J" "SP"
"bird_631" "0010000" "F" "J" "SP"
"bird_632" "0010000" "F" "J" "SP"
"bird_634" "0010000" "M" "J" "SP"
"bird_635" "0010000" "M" "J" "SP"
"bird_636" "0010000" "M" "J" "SP"
"bird_638" "0010000" "M" "J" "SP"
"bird_640" "0010000" "M" "J" "SP"
"bird_665" "0010000" "F" "J" "SP"
"bird_666" "0010000" "F" "J" "SP"
"bird_667" "0010000" "M" "J" "SP"
"bird_668" "0010000" "M" "J" "SP"
"bird_671" "0010000" "M" "J" "SP"
"bird_672" "0010000" "F" "J" "SP"
"bird_641" "0001100" "M" "J" "SP"
"bird_642" "0001000" "M" "J" "SP"
"bird_643" "0001100" "F" "J" "SP"
"bird_646" "0001100" "F" "J" "SP"
"bird_647" "0001111" "F" "J" "SP"
"bird_651" "0001000" "F" "J" "SP"
"bird_652" "0001011" "M" "J" "SP"
"bird_653" "0001000" "F" "J" "SP"
"bird_654" "0001000" "M" "J" "SP"
"bird_655" "0001000" "F" "J" "SP"
"bird_657" "0001000" "M" "J" "SP"
"bird_689" "0001000" "F" "J" "SP"
"bird_704" "0001110" "F" "J" "SP"
"bird_710" "0001000" "F" "J" "SP"
"bird_712" "0001001" "M" "J" "SP"
"bird_723" "0001000" "F" "J" "SP"
"bird_726" "0001100" "F" "J" "SP"
"bird_727" "0001000" "M" "J" "SP"
"bird_728" "0001000" "M" "J" "SP"
