"population" "brood_ID" "date" "hatch_date" "care_system"
"KIP" "KIP_2013_-136" 2013-05-10 2013-05-04 "male_care"
"KIP" "KIP_2013_-135" 2013-05-09 2013-04-24 "male_care"
"KIP" "KIP_2013_-135" 2013-05-10 2013-04-24 "male_care"
"KIP" "KIP_2013_-135" 2013-05-10 2013-04-24 "male_care"
"KIP" "KIP_2013_-135" 2013-06-01 2013-04-24 "male_care"
"KIP" "KIP_2013_-134" 2013-05-09 2013-04-28 "male_care"
"KIP" "KIP_2013_-133" 2013-05-08 2013-04-09 "male_care"
"KIP" "KIP_2013_-132" 2013-05-08 2013-04-06 "male_care"
"KIP" "KIP_2013_-132" 2013-05-15 2013-04-06 "male_care"
"KIP" "KIP_2013_-130" 2013-05-07 2013-04-13 "male_care"
"KIP" "KIP_2013_-129" 2013-05-07 2013-04-05 "male_care"
"KIP" "KIP_2013_-128" 2013-05-06 2013-05-01 "male_care"
"KIP" "KIP_2013_-126" 2013-05-06 2013-05-01 "male_care"
"KIP" "KIP_2013_-124" 2013-05-03 2013-05-01 "female_care"
"KIP" "KIP_2013_-124" 2013-06-04 2013-05-01 "female_care"
"KIP" "KIP_2013_-124" 2013-06-08 2013-05-01 "female_care"
"KIP" "KIP_2013_-123" 2013-05-02 2013-04-23 "male_care"
"KIP" "KIP_2013_-122" 2013-06-02 2013-04-30 "male_care"
"KIP" "KIP_2013_-121" 2013-05-01 2013-05-01 "male_care"
"KIP" "KIP_2013_-120" 2013-04-30 2013-04-21 "male_care"
"KIP" "KIP_2013_-119" 2013-04-29 2013-04-27 "male_care"
"KIP" "KIP_2013_-117" 2013-04-29 2013-04-19 "male_care"
"KIP" "KIP_2013_-117" 2013-05-01 2013-04-19 "male_care"
"KIP" "KIP_2013_-117" 2013-05-01 2013-04-19 "male_care"
"KIP" "KIP_2013_-117" 2013-05-10 2013-04-19 "male_care"
"KIP" "KIP_2013_-115" 2013-04-29 2013-04-19 "male_care"
"KIP" "KIP_2013_-114" 2013-04-28 2013-04-19 "male_care"
"KIP" "KIP_2013_-113" 2013-04-27 2013-04-20 "male_care"
"KIP" "KIP_2013_-113" 2013-04-28 2013-04-20 "male_care"
"KIP" "KIP_2013_-113" 2013-05-05 2013-04-20 "male_care"
"KIP" "KIP_2013_-113" 2013-05-08 2013-04-20 "male_care"
"KIP" "KIP_2013_-113" 2013-05-16 2013-04-20 "male_care"
"KIP" "KIP_2013_-112" 2013-04-26 2013-04-18 "male_care"
"KIP" "KIP_2013_-110" 2013-04-26 2013-04-25 "male_care"
"KIP" "KIP_2013_-108" 2013-04-24 2013-04-20 "male_care"
"KIP" "KIP_2013_-105" 2013-04-24 2013-04-22 "female_care"
"KIP" "KIP_2013_-104" 2013-04-23 2013-04-16 "male_care"
"KIP" "KIP_2013_-103" 2013-05-10 2013-04-18 "male_care"
"KIP" "KIP_2013_-101" 2013-03-31 2013-03-22 "male_care"
"KIP" "KIP_2013_-101" 2013-04-01 2013-03-22 "male_care"
"KIP" "KIP_2013_-101" 2013-04-06 2013-03-22 "male_care"
"KIP" "KIP_2013_-101" 2013-04-09 2013-03-22 "male_care"
"KIP" "KIP_2013_-62" 2013-06-20 2013-06-18 "male_care"
"KIP" "KIP_2013_-59" 2013-06-13 2013-06-09 "male_care"
"KIP" "KIP_2013_-56" 2013-06-11 2013-05-26 "male_care"
"KIP" "KIP_2013_-56" 2013-06-17 2013-05-26 "male_care"
"KIP" "KIP_2013_-56" 2013-06-17 2013-05-26 "male_care"
"KIP" "KIP_2013_-55" 2013-06-11 2013-06-02 "male_care"
"KIP" "KIP_2013_-55" 2013-06-17 2013-06-02 "male_care"
"KIP" "KIP_2013_-53" 2013-06-10 2013-05-23 "male_care"
"KIP" "KIP_2013_-53" 2013-06-16 2013-05-23 "male_care"
"KIP" "KIP_2013_-51" 2013-06-08 2013-05-27 "female_care"
"KIP" "KIP_2013_-51" 2013-06-17 2013-05-27 "female_care"
"KIP" "KIP_2013_-50" 2013-06-08 2013-06-06 "male_care"
"KIP" "KIP_2013_-49" 2013-06-07 2013-06-07 "male_care"
"KIP" "KIP_2013_-48" 2013-06-04 2013-05-27 "male_care"
"KIP" "KIP_2013_-44" 2013-06-03 2013-05-29 "male_care"
"KIP" "KIP_2013_-43" 2013-06-03 2013-05-16 "male_care"
"KIP" "KIP_2013_-39" 2013-06-01 2013-05-05 "female_care"
"KIP" "KIP_2013_-38" 2013-06-01 2013-05-28 "male_care"
"KIP" "KIP_2013_-38" 2013-06-07 2013-05-28 "male_care"
"KIP" "KIP_2013_-36" 2013-06-01 2013-05-21 "male_care"
