"Phi"	"p"	"model"	"npar"	"AICc"	"DeltaAICc"	"weight"	"Deviance"	"species"	"iter"
"~Sex * Quadratic"	"~Year * Quadratic"	"Phi(~Sex * Quadratic)p(~Year * Quadratic)"	18	9901.29707286271	0	0.844491234186933	7256.3794	"Snowy"	1
"~Sex * Quadratic"	"~Year + Quadratic + Sex"	"Phi(~Sex * Quadratic)p(~Year + Quadratic + Sex)"	13	9906.15993333333	4.8628604706264	0.0742400766541476	7271.3156	"Snowy"	1
"~Sex * Quadratic"	"~Year + Time + Sex"	"Phi(~Sex * Quadratic)p(~Year + Time + Sex)"	13	9907.74153333333	6.44446047062593	0.0336665283919799	7272.8972	"Snowy"	1
"~Sex * Quadratic"	"~Year + Quadratic * Sex"	"Phi(~Sex * Quadratic)p(~Year + Quadratic * Sex)"	14	9907.81357586444	6.51650300172878	0.0324753992139822	7270.9564	"Snowy"	1
"~Sex * Quadratic"	"~Year + Time * Sex"	"Phi(~Sex * Quadratic)p(~Year + Time * Sex)"	14	9909.46257586444	8.16550300173003	0.0142389740372703	7272.6054	"Snowy"	1
"~Sex * Quadratic"	"~Year"	"Phi(~Sex * Quadratic)p(~Year)"	11	9916.62111189931	15.3240390366063	0.00039721198959015	7285.7997	"Snowy"	1
"~Sex * Quadratic"	"~Year + Quadratic"	"Phi(~Sex * Quadratic)p(~Year + Quadratic)"	12	9916.97691222248	15.6798393597692	0.000332476757503099	7284.1445	"Snowy"	1
"~Sex * Quadratic"	"~Year + Time"	"Phi(~Sex * Quadratic)p(~Year + Time)"	12	9918.46361222248	17.1665393597686	0.000158098768594117	7285.6312	"Snowy"	1
"~Sex * Quadratic"	"~Sex"	"Phi(~Sex * Quadratic)p(~Sex)"	6	10345.5192	444.222127137293	0	7724.7392	"Snowy"	1
"~Sex * Quadratic"	"~Sex + Time"	"Phi(~Sex * Quadratic)p(~Sex + Time)"	7	10346.7636058528	445.466532990058	0	7723.977	"Snowy"	1
"~Sex * Quadratic"	"~Sex + Quadratic"	"Phi(~Sex * Quadratic)p(~Sex + Quadratic)"	7	10347.3976058528	446.100532990058	0	7724.6109	"Snowy"	1
"~Sex * Quadratic"	"~Sex * Time"	"Phi(~Sex * Quadratic)p(~Sex * Time)"	8	10348.7599293391	447.462856476419	0	7723.966	"Snowy"	1
"~Sex * Quadratic"	"~Sex * Quadratic"	"Phi(~Sex * Quadratic)p(~Sex * Quadratic)"	8	10349.4019293391	448.104856476419	0	7724.6076	"Snowy"	1
"~Sex * Quadratic"	"~1"	"Phi(~Sex * Quadratic)p(~1)"	5	10354.3077111517	453.010638289028	0	7735.5327	"Snowy"	1
"~Sex * Quadratic"	"~Time"	"Phi(~Sex * Quadratic)p(~Time)"	6	10355.4792	454.182127137292	0	7734.6986	"Snowy"	1
"~Sex * Quadratic"	"~Cubic"	"Phi(~Sex * Quadratic)p(~Cubic)"	6	10355.5282	454.231127137293	0	7734.7478	"Snowy"	1
"~Sex * Quadratic"	"~Quadratic"	"Phi(~Sex * Quadratic)p(~Quadratic)"	6	10356.2182	454.921127137293	0	7735.438	"Snowy"	1
"~Sex * Quadratic"	"~Year * Quadratic"	"Phi(~Sex * Quadratic)p(~Year * Quadratic)"	18	9543.34607552046	0	0.999999999789619	7124.2117	"Snowy"	2
"~Sex * Quadratic"	"~Year + Time"	"Phi(~Sex * Quadratic)p(~Year + Time)"	12	9588.73905197133	45.3929764508666	1.39008195286011e-10	7181.6938	"Snowy"	2
"~Sex * Quadratic"	"~Year + Time + Sex"	"Phi(~Sex * Quadratic)p(~Year + Time + Sex)"	13	9590.73809808795	47.3920225674938	5.11626529839194e-11	7181.6804	"Snowy"	2
"~Sex * Quadratic"	"~Year + Time * Sex"	"Phi(~Sex * Quadratic)p(~Year + Time * Sex)"	14	9592.70840640689	49.3623308864262	1.91031964127747e-11	7181.6374	"Snowy"	2
"~Sex * Quadratic"	"~Year + Quadratic"	"Phi(~Sex * Quadratic)p(~Year + Quadratic)"	12	9599.31555197133	55.9694764508658	7.02073549052209e-13	7192.2703	"Snowy"	2
