"Phi"	"p"	"model"	"npar"	"AICc"	"DeltaAICc"	"weight"	"Deviance"	"species"	"iter"
"~age * sex"	"~time * age * sex"	"Phi(~age * sex)p(~time * age * sex)"	28	2274.76855459534	0	0.584571094252298	436.72714	"Snowy"	1
"~age * sex"	"~Quadratic * age * sex"	"Phi(~age * sex)p(~Quadratic * age * sex)"	12	2276.59736892809	1.82881433275088	0.234269283929828	471.45817	"Snowy"	1
"~age * sex"	"~sex + time"	"Phi(~age * sex)p(~sex + time)"	11	2277.99878305085	3.23022845551168	0.116252456840449	474.89225	"Snowy"	1
"~age * sex"	"~time + age + sex"	"Phi(~age * sex)p(~time + age + sex)"	12	2279.32256892809	4.55401433275119	0.0599716073707853	474.18335	"Snowy"	1
"~age * sex"	"~sex * time"	"Phi(~age * sex)p(~sex * time)"	16	2286.36436802721	11.5958134318748	0.00177352960872753	473.06679	"Snowy"	1
"~age * sex"	"~Quadratic + sex"	"Phi(~age * sex)p(~Quadratic + sex)"	7	2286.82062684246	12.0520722471256	0.00141176724177665	491.81738	"Snowy"	1
"~age * sex"	"~Quadratic + age + sex"	"Phi(~age * sex)p(~Quadratic + age + sex)"	8	2288.27252895805	13.5039743627153	0.000683103580818246	491.24758	"Snowy"	1
"~age * sex"	"~Quadratic * sex"	"Phi(~age * sex)p(~Quadratic * sex)"	8	2288.82152895805	14.0529743627153	0.000519125935352448	491.79653	"Snowy"	1
"~age * sex"	"~age * time"	"Phi(~age * sex)p(~age * time)"	16	2288.88246802721	14.1139134318751	0.000503546957087674	475.58486	"Snowy"	1
"~age * sex"	"~Time * age * sex"	"Phi(~age * sex)p(~Time * age * sex)"	12	2295.61526892809	20.8467143327512	1.73792422290662e-05	490.47605	"Snowy"	1
"~age * sex"	"~time"	"Phi(~age * sex)p(~time)"	10	2295.66465149052	20.8960968951792	1.69553808462378e-05	494.58807	"Snowy"	1
"~age * sex"	"~age + time"	"Phi(~age * sex)p(~age + time)"	11	2297.58488305085	22.8163284555117	6.49134309273069e-06	494.47831	"Snowy"	1
"~age * sex"	"~Quadratic * age"	"Phi(~age * sex)p(~Quadratic * age)"	8	2299.24512895805	24.4765743627154	2.83019751848082e-06	502.22018	"Snowy"	1
"~age * sex"	"~Quadratic"	"Phi(~age * sex)p(~Quadratic)"	6	2303.52515675676	28.7566021614211	3.32981816493556e-07	510.5408	"Snowy"	1
"~age * sex"	"~sex + Time"	"Phi(~age * sex)p(~sex + Time)"	7	2304.55702684246	29.7884722471254	1.98770887134445e-07	509.55378	"Snowy"	1
"~age * sex"	"~Quadratic + age"	"Phi(~age * sex)p(~Quadratic + age)"	7	2305.41122684246	30.6426722471256	1.29677790671739e-07	510.40791	"Snowy"	1
"~age * sex"	"~Time + age + sex"	"Phi(~age * sex)p(~Time + age + sex)"	8	2306.05272895805	31.2841743627155	9.40947057184502e-08	509.0278	"Snowy"	1
"~age * sex"	"~sex * Time"	"Phi(~age * sex)p(~sex * Time)"	8	2306.57692895805	31.8083743627153	7.23996729935638e-08	509.55197	"Snowy"	1
"~age * sex"	"~age * Time"	"Phi(~age * sex)p(~age * Time)"	8	2319.04892895805	44.2803743627155	1.41734708706148e-10	522.02399	"Snowy"	1
"~age * sex"	"~Time"	"Phi(~age * sex)p(~Time)"	6	2321.68915675676	46.9206021614209	3.78580319583477e-11	528.70488	"Snowy"	1
"~age * sex"	"~age + Time"	"Phi(~age * sex)p(~age + Time)"	7	2323.58252684246	48.8139722471255	1.46898696901304e-11	528.57921	"Snowy"	1
"~age * sex"	"~age * sex"	"Phi(~age * sex)p(~age * sex)"	8	2335.90322895805	61.1346743627155	3.10178343502064e-14	538.8783	"Snowy"	1
"~age * sex"	"~age + sex"	"Phi(~age * sex)p(~age + sex)"	7	2340.49422684246	65.7256722471257	3.12384120018111e-15	545.49093	"Snowy"	1
"~age * sex"	"~sex"	"Phi(~age * sex)p(~sex)"	6	2341.54885675676	66.7803021614209	1.84365209988631e-15	548.56454	"Snowy"	1
"~age * sex"	"~1"	"Phi(~age * sex)p(~1)"	5	2357.63691316678	82.8683585714434	0	566.66888	"Snowy"	1
"~age * sex"	"~age"	"Phi(~age * sex)p(~age)"	6	2357.83095675676	83.0624021614208	0	564.84664	"Snowy"	1
"~age * sex"	"~time"	"Phi(~age * sex)p(~time)"	10	2221.06165	0	0.187633072304007	443.89622	"Snowy"	2
"~age * sex"	"~sex + time"	"Phi(~age * sex)p(~sex + time)"	11	2221.28913326226	0.227483262260193	0.167460362505641	442.09231	"Snowy"	2
"~age * sex"	"~age * time"	"Phi(~age * sex)p(~age * time)"	16	2221.9383171184	0.876667118402111	0.121044077174292	432.54119	"Snowy"	2
"~age * sex"	"~Quadratic * age"	"Phi(~age * sex)p(~Quadratic * age)"	8	2222.33042765957	1.26877765957443	0.0994942131171479	449.21918	"Snowy"	2
"~age * sex"	"~Quadratic + sex"	"Phi(~age * sex)p(~Quadratic + sex)"	7	2222.72757632884	1.66592632884476	0.081575188090305	451.63901	"Snowy"	2
"~age * sex"	"~Quadratic"	"Phi(~age * sex)p(~Quadratic)"	6	2222.85769008499	1.79604008498609	0.0764371068595077	453.78901	"Snowy"	2
"~age * sex"	"~age + time"	"Phi(~age * sex)p(~age + time)"	11	2223.06893326226	2.00728326225999	0.0687754384209178	443.87209	"Snowy"	2
"~age * sex"	"~time + age + sex"	"Phi(~age * sex)p(~time + age + sex)"	12	2223.21750611664	2.15585611664301	0.0638515114644723	441.98646	"Snowy"	2
"~age * sex"	"~Quadratic * sex"	"Phi(~age * sex)p(~Quadratic * sex)"	8	2224.14012765957	3.07847765957422	0.0402556144205667	451.0288	"Snowy"	2
