"Phi"	"p"	"model"	"npar"	"AICc"	"DeltaAICc"	"weight"	"Deviance"	"species"	"iter"
"~age * sex"	"~sex + time"	"Phi(~age * sex)p(~sex + time)"	11	2251.33964329897	0	0.442817099719231	440.8533	"Snowy"	1
"~age * sex"	"~time + age * sex"	"Phi(~age * sex)p(~time + age * sex)"	13	2252.08761617343	0.747972874465631	0.304652072667015	437.53219	"Snowy"	1
"~age * sex"	"~time + age + sex"	"Phi(~age * sex)p(~time + age + sex)"	12	2253.36958046768	2.02993716870651	0.160483034508753	440.85007	"Snowy"	1
"~age * sex"	"~time"	"Phi(~age * sex)p(~time)"	10	2255.4014989011	4.06185560212998	0.0581036808920872	446.94545	"Snowy"	1
"~age * sex"	"~age + time"	"Phi(~age * sex)p(~age + time)"	11	2257.42554329897	6.08590000000004	0.0211197118935459	446.9392	"Snowy"	1
"~age * sex"	"~sex * time"	"Phi(~age * sex)p(~sex * time)"	16	2259.57207241379	8.2324291148243	0.00722063038423189	438.89196	"Snowy"	1
"~age * sex"	"~age * time"	"Phi(~age * sex)p(~age * time)"	16	2260.67207241379	9.33242911482421	0.00416594133101036	439.99198	"Snowy"	1
"~age * sex"	"~Quadratic + sex"	"Phi(~age * sex)p(~Quadratic + sex)"	7	2265.01576490747	13.6761216085019	0.000474779882835214	462.63403	"Snowy"	1
"~age * sex"	"~Quadratic + age * sex"	"Phi(~age * sex)p(~Quadratic + age * sex)"	9	2265.94754152368	14.60789822471	0.000297961112781382	459.51903	"Snowy"	1
"~age * sex"	"~Quadratic * sex"	"Phi(~age * sex)p(~Quadratic * sex)"	8	2266.0727654321	14.7331221331301	0.000279877226369454	461.66903	"Snowy"	1
"~age * sex"	"~Quadratic + age + sex"	"Phi(~age * sex)p(~Quadratic + age + sex)"	8	2266.9799654321	15.6403221331298	0.000177816306195104	462.57631	"Snowy"	1
"~age * sex"	"~Quadratic"	"Phi(~age * sex)p(~Quadratic)"	6	2268.00603424658	16.6663909476065	0.000106454389149634	467.64361	"Snowy"	1
"~age * sex"	"~Quadratic * age"	"Phi(~age * sex)p(~Quadratic * age)"	8	2269.2160654321	17.8764221331298	5.81311130865077e-05	464.81235	"Snowy"	1
"~age * sex"	"~Quadratic + age"	"Phi(~age * sex)p(~Quadratic + age)"	7	2269.96166490747	18.6220216085021	4.00408944084952e-05	467.57997	"Snowy"	1
"~age * sex"	"~sex + Time"	"Phi(~age * sex)p(~sex + Time)"	7	2277.72156490747	26.3819216085021	8.26918855458382e-07	475.33987	"Snowy"	1
"~age * sex"	"~sex * Time"	"Phi(~age * sex)p(~sex * Time)"	8	2277.9967654321	26.6571221331301	7.20615932949257e-07	473.5931	"Snowy"	1
"~age * sex"	"~Time + age * sex"	"Phi(~age * sex)p(~Time + age * sex)"	9	2278.50204152368	27.1623982247097	5.59737689817547e-07	472.07353	"Snowy"	1
"~age * sex"	"~Time + age + sex"	"Phi(~age * sex)p(~Time + age + sex)"	8	2279.5918654321	28.2522221331301	3.24587877604302e-07	475.18818	"Snowy"	1
"~age * sex"	"~Time"	"Phi(~age * sex)p(~Time)"	6	2280.76913424658	29.4294909476066	1.8017379295612e-07	480.40669	"Snowy"	1
"~age * sex"	"~age * Time"	"Phi(~age * sex)p(~age * Time)"	8	2282.2899654321	30.9503221331302	8.42262229093467e-08	477.88628	"Snowy"	1
"~age * sex"	"~age + Time"	"Phi(~age * sex)p(~age + Time)"	7	2282.61986490747	31.280221608502	7.14184736914868e-08	480.23821	"Snowy"	1
"~age * sex"	"~sex"	"Phi(~age * sex)p(~sex)"	6	2308.24933424658	56.9096909476066	1.94286225217293e-13	507.88684	"Snowy"	1
"~age * sex"	"~age * sex"	"Phi(~age * sex)p(~age * sex)"	8	2308.9646654321	57.6250221331297	1.35865695770221e-13	504.56093	"Snowy"	1
"~age * sex"	"~age + sex"	"Phi(~age * sex)p(~age + sex)"	7	2310.13636490747	58.7967216085021	7.56272848674902e-14	507.75469	"Snowy"	1
"~age * sex"	"~1"	"Phi(~age * sex)p(~1)"	5	2311.68286776181	60.343224462838	3.49027527637684e-14	513.33683	"Snowy"	1
"~age * sex"	"~age"	"Phi(~age * sex)p(~age)"	6	2313.60173424658	62.2620909476063	1.33715920386515e-14	513.23926	"Snowy"	1
"~age * sex"	"~sex + time"	"Phi(~age * sex)p(~sex + time)"	11	2224.46957905687	0	0.479805472973381	481.81636	"Snowy"	2
"~age * sex"	"~time + age * sex"	"Phi(~age * sex)p(~time + age * sex)"	13	2225.89737777778	1.42779872091205	0.234975533666156	479.17439	"Snowy"	2
"~age * sex"	"~time + age + sex"	"Phi(~age * sex)p(~time + age + sex)"	12	2226.38211630812	1.91253725125353	0.184400888878736	481.6954	"Snowy"	2
"~age * sex"	"~time"	"Phi(~age * sex)p(~time)"	10	2229.27246015246	4.80288109559433	0.04346431294518	488.64986	"Snowy"	2
"~age * sex"	"~age * time"	"Phi(~age * sex)p(~age * time)"	16	2230.3286664579	5.85908740103287	0.0256318842902069	477.47994	"Snowy"	2
"~age * sex"	"~age + time"	"Phi(~age * sex)p(~age + time)"	11	2231.20017905687	6.73059999999987	0.0165780703232289	488.54691	"Snowy"	2
"~age * sex"	"~sex * time"	"Phi(~age * sex)p(~sex * time)"	16	2231.9220664579	7.45248740103307	0.0115552173848543	479.0733	"Snowy"	2
"~age * sex"	"~Quadratic + sex"	"Phi(~age * sex)p(~Quadratic + sex)"	7	2236.49355504841	12.0239759915435	0.00117514643028365	501.94595	"Snowy"	2
"~age * sex"	"~Quadratic * sex"	"Phi(~age * sex)p(~Quadratic * sex)"	8	2236.82085397924	12.3512749223728	0.000997745840377083	500.25098	"Snowy"	2
"~age * sex"	"~Quadratic + age + sex"	"Phi(~age * sex)p(~Quadratic + age + sex)"	8	2238.30445397924	13.8348749223728	0.000475182326152601	501.73463	"Snowy"	2
"~age * sex"	"~Quadratic + age * sex"	"Phi(~age * sex)p(~Quadratic + age * sex)"	9	2238.41545373961	13.9458746827468	0.000449528247835384	499.82061	"Snowy"	2
"~age * sex"	"~Quadratic * age"	"Phi(~age * sex)p(~Quadratic * age)"	8	2239.90755397924	15.4379749223726	0.000213182493294541	503.33769	"Snowy"	2
"~age * sex"	"~Quadratic"	"Phi(~age * sex)p(~Quadratic)"	6	2240.08295114029	15.6133720834246	0.000195283040202537	507.55477	"Snowy"	2
"~age * sex"	"~Quadratic + age"	"Phi(~age * sex)p(~Quadratic + age)"	7	2241.90735504841	17.4377759915437	7.84332575092237e-05	507.35976	"Snowy"	2
"~age * sex"	"~sex + Time"	"Phi(~age * sex)p(~sex + Time)"	7	2249.82285504841	25.3532759915433	1.49855009952432e-06	515.27526	"Snowy"	2
"~age * sex"	"~sex * Time"	"Phi(~age * sex)p(~sex * Time)"	8	2250.56505397924	26.0954749223729	1.03396256866847e-06	513.9952	"Snowy"	2
"~age * sex"	"~Time + age * sex"	"Phi(~age * sex)p(~Time + age * sex)"	9	2251.57755373961	27.1079746827468	6.23222734224423e-07	512.9827	"Snowy"	2
"~age * sex"	"~Time + age + sex"	"Phi(~age * sex)p(~Time + age + sex)"	8	2251.75585397924	27.2862749223727	5.70066974984683e-07	515.18606	"Snowy"	2
"~age * sex"	"~Time"	"Phi(~age * sex)p(~Time)"	6	2253.74955114029	29.2799720834246	2.10377865508412e-07	521.22134	"Snowy"	2
"~age * sex"	"~age * Time"	"Phi(~age * sex)p(~age * Time)"	8	2255.19715397924	30.7275749223727	1.02013367018511e-07	518.62728	"Snowy"	2
"~age * sex"	"~age + Time"	"Phi(~age * sex)p(~age + Time)"	7	2255.69315504841	31.2235759915434	7.96071027433649e-08	521.14555	"Snowy"	2
"~age * sex"	"~sex"	"Phi(~age * sex)p(~sex)"	6	2270.85585114029	46.3862720834245	4.05895462674075e-11	538.32759	"Snowy"	2
"~age * sex"	"~age * sex"	"Phi(~age * sex)p(~age * sex)"	8	2271.21515397924	46.7455749223727	3.39150589607105e-11	534.64531	"Snowy"	2
"~age * sex"	"~age + sex"	"Phi(~age * sex)p(~age + sex)"	7	2271.87235504841	47.4027759915434	2.44164869378776e-11	537.32468	"Snowy"	2
"~age * sex"	"~1"	"Phi(~age * sex)p(~1)"	5	2277.01123646409	52.5416574072224	1.86977460301824e-12	546.49967	"Snowy"	2
"~age * sex"	"~age"	"Phi(~age * sex)p(~age)"	6	2278.07575114029	53.6061720834246	1.09807709248257e-12	545.54755	"Snowy"	2
"~age * sex"	"~sex + time"	"Phi(~age * sex)p(~sex + time)"	11	2236.35886073662	0	0.496530643703195	471.87389	"Snowy"	3
"~age * sex"	"~age * time"	"Phi(~age * sex)p(~age * time)"	16	2237.86395843794	1.50509770131293	0.233947410902417	463.18309	"Snowy"	3
"~age * sex"	"~time + age + sex"	"Phi(~age * sex)p(~time + age + sex)"	12	2238.38796801113	2.02910727450353	0.180024249951965	471.86942	"Snowy"	3
"~age * sex"	"~time + age * sex"	"Phi(~age * sex)p(~time + age * sex)"	13	2240.21450549756	3.85564476094169	0.0722276416199027	471.65965	"Snowy"	3
"~age * sex"	"~sex * time"	"Phi(~age * sex)p(~sex * time)"	16	2243.75085843794	7.39199770131336	0.0123252049718492	469.07	"Snowy"	3
