"Sex_Age"	"estimate"	"species"	"iter"
"Female_Adult"	0.61453665	"Snowy"	1
"Male_Adult"	0.7133869	"Snowy"	1
"Female_Juvenile"	NA	"Snowy"	1
"Male_Juvenile"	NA	"Snowy"	1
"Female_Chick"	0.458999338461538	"Snowy"	1
"Male_Chick"	NA	"Snowy"	1
"Female_Adult"	0.613855666666667	"Snowy"	2
"Male_Adult"	0.723195	"Snowy"	2
"Female_Juvenile"	NA	"Snowy"	2
"Male_Juvenile"	NA	"Snowy"	2
"Female_Chick"	0.413453523076923	"Snowy"	2
"Male_Chick"	NA	"Snowy"	2
"Female_Adult"	0.551767366666667	"Snowy"	3
"Male_Adult"	0.700957516666667	"Snowy"	3
"Female_Juvenile"	NA	"Snowy"	3
"Male_Juvenile"	NA	"Snowy"	3
"Female_Chick"	0.42732865	"Snowy"	3
"Male_Chick"	NA	"Snowy"	3
"Female_Adult"	0.5620149	"Snowy"	4
"Male_Adult"	0.704568633333333	"Snowy"	4
"Female_Juvenile"	NA	"Snowy"	4
"Male_Juvenile"	NA	"Snowy"	4
"Female_Chick"	0.435295534615385	"Snowy"	4
"Male_Chick"	NA	"Snowy"	4
"Female_Adult"	0.554064066666667	"Snowy"	5
"Male_Adult"	0.71034605	"Snowy"	5
"Female_Juvenile"	0.772489466666667	"Snowy"	5
"Male_Juvenile"	0.523843	"Snowy"	5
"Female_Chick"	0.456687107692308	"Snowy"	5
"Male_Chick"	0.736725296153846	"Snowy"	5
"Female_Adult"	0.554156433333333	"Snowy"	6
"Male_Adult"	0.674958333333333	"Snowy"	6
"Female_Juvenile"	NA	"Snowy"	6
"Male_Juvenile"	NA	"Snowy"	6
"Female_Chick"	0.402636634615385	"Snowy"	6
"Male_Chick"	0.713371965384615	"Snowy"	6
"Female_Adult"	0.682200533333333	"Snowy"	7
"Male_Adult"	NA	"Snowy"	7
"Female_Juvenile"	0.592466466666667	"Snowy"	7
"Male_Juvenile"	NA	"Snowy"	7
"Female_Chick"	0.484213742307692	"Snowy"	7
"Male_Chick"	NA	"Snowy"	7
"Female_Adult"	0.6691519	"Snowy"	8
"Male_Adult"	NA	"Snowy"	8
"Female_Juvenile"	0.531252366666667	"Snowy"	8
"Male_Juvenile"	NA	"Snowy"	8
"Female_Chick"	0.443641534615385	"Snowy"	8
"Male_Chick"	0.757738357692308	"Snowy"	8
"Female_Adult"	0.606048966666667	"Snowy"	9
"Male_Adult"	0.810875783333333	"Snowy"	9
