"Sex_Age"	"estimate"	"species"	"iter"
"Female_Adult"	0.7126737	"Snowy"	1
"Male_Adult"	0.701962	"Snowy"	1
"Female_Juvenile"	0.1144212	"Snowy"	1
"Male_Juvenile"	0.2034334	"Snowy"	1
"Female_Chick"	0.472380724010314	"Snowy"	1
"Male_Chick"	0.472483807239915	"Snowy"	1
"Female_Adult"	0.6865111	"Snowy"	2
"Male_Adult"	0.6715672	"Snowy"	2
"Female_Juvenile"	0.1323685	"Snowy"	2
"Male_Juvenile"	0.2492704	"Snowy"	2
"Female_Chick"	0.548516245007005	"Snowy"	2
"Male_Chick"	0.519660596992304	"Snowy"	2
"Female_Adult"	0.713624	"Snowy"	3
"Male_Adult"	0.6899889	"Snowy"	3
"Female_Juvenile"	0.1604093	"Snowy"	3
"Male_Juvenile"	0.2550958	"Snowy"	3
"Female_Chick"	0.454565053872261	"Snowy"	3
"Male_Chick"	0.591428984610694	"Snowy"	3
"Female_Adult"	0.6795083	"Snowy"	4
"Male_Adult"	0.6788927	"Snowy"	4
"Female_Juvenile"	0.1647912	"Snowy"	4
"Male_Juvenile"	0.182625	"Snowy"	4
"Female_Chick"	0.493528065573083	"Snowy"	4
"Male_Chick"	0.49870808943618	"Snowy"	4
"Female_Adult"	0.7463889	"Snowy"	5
"Male_Adult"	0.6897047	"Snowy"	5
"Female_Juvenile"	0.1206171	"Snowy"	5
"Male_Juvenile"	0.2091741	"Snowy"	5
"Female_Chick"	0.511772738067134	"Snowy"	5
"Male_Chick"	0.563782257134135	"Snowy"	5
"Female_Adult"	0.6375891	"Snowy"	6
"Male_Adult"	0.7290182	"Snowy"	6
"Female_Juvenile"	0.1508983	"Snowy"	6
"Male_Juvenile"	0.2246136	"Snowy"	6
"Female_Chick"	0.485233837296997	"Snowy"	6
"Male_Chick"	0.598601198735757	"Snowy"	6
"Female_Adult"	0.6777255	"Snowy"	7
"Male_Adult"	0.7481152	"Snowy"	7
"Female_Juvenile"	0.1314531	"Snowy"	7
"Male_Juvenile"	0.2324399	"Snowy"	7
"Female_Chick"	0.50338939656098	"Snowy"	7
"Male_Chick"	0.552143078906956	"Snowy"	7
"Female_Adult"	0.6111419	"Snowy"	8
"Male_Adult"	0.6726195	"Snowy"	8
"Female_Juvenile"	0.1400229	"Snowy"	8
"Male_Juvenile"	0.21885	"Snowy"	8
"Female_Chick"	0.458173602966525	"Snowy"	8
"Male_Chick"	0.551023296742265	"Snowy"	8
"Female_Adult"	0.6142478	"Snowy"	9
"Male_Adult"	0.7202767	"Snowy"	9
"Female_Juvenile"	0.1655129	"Snowy"	9
"Male_Juvenile"	0.2113909	"Snowy"	9
"Female_Chick"	0.505234048019757	"Snowy"	9
"Male_Chick"	0.526195117476667	"Snowy"	9
"Female_Adult"	0.6441302	"Snowy"	10
"Male_Adult"	0.6600831	"Snowy"	10
"Female_Juvenile"	0.126131	"Snowy"	10
"Male_Juvenile"	0.2099358	"Snowy"	10
"Female_Chick"	0.493779989064356	"Snowy"	10
"Male_Chick"	0.539600594997542	"Snowy"	10
"Female_Adult"	0.7309917	"Snowy"	11
"Male_Adult"	0.714084	"Snowy"	11
"Female_Juvenile"	0.1395099	"Snowy"	11
"Male_Juvenile"	0.2072273	"Snowy"	11
"Female_Chick"	0.536851156430688	"Snowy"	11
"Male_Chick"	0.542422502705374	"Snowy"	11
"Female_Adult"	0.6596014	"Snowy"	12
"Male_Adult"	0.7009373	"Snowy"	12
"Female_Juvenile"	0.1241552	"Snowy"	12
"Male_Juvenile"	0.2184006	"Snowy"	12
"Female_Chick"	0.489281105133723	"Snowy"	12
"Male_Chick"	0.534116351611768	"Snowy"	12
"Female_Adult"	0.6975479	"Snowy"	13
"Male_Adult"	0.6813663	"Snowy"	13
"Female_Juvenile"	0.1319714	"Snowy"	13
"Male_Juvenile"	0.2794901	"Snowy"	13
"Female_Chick"	0.472661998218053	"Snowy"	13
"Male_Chick"	0.478194074308127	"Snowy"	13
"Female_Adult"	0.6743067	"Snowy"	14
"Male_Adult"	0.716585	"Snowy"	14
"Female_Juvenile"	0.1578193	"Snowy"	14
"Male_Juvenile"	0.1974038	"Snowy"	14
"Female_Chick"	0.478426343757661	"Snowy"	14
"Male_Chick"	0.489983060357794	"Snowy"	14
"Female_Adult"	0.6409463	"Snowy"	15
"Male_Adult"	0.6873337	"Snowy"	15
"Female_Juvenile"	0.1818537	"Snowy"	15
"Male_Juvenile"	0.255907	"Snowy"	15
"Female_Chick"	0.489064573727653	"Snowy"	15
"Male_Chick"	0.53550892009934	"Snowy"	15
"Female_Adult"	0.6459468	"Snowy"	16
"Male_Adult"	0.6984201	"Snowy"	16
"Female_Juvenile"	0.1684296	"Snowy"	16
"Male_Juvenile"	0.2414497	"Snowy"	16
"Female_Chick"	0.50273097660416	"Snowy"	16
"Male_Chick"	0.540472264614193	"Snowy"	16
"Female_Adult"	0.7352504	"Snowy"	17
"Male_Adult"	0.6627446	"Snowy"	17
"Female_Juvenile"	0.1302398	"Snowy"	17
"Male_Juvenile"	0.1904831	"Snowy"	17
"Female_Chick"	0.519041843505797	"Snowy"	17
"Male_Chick"	0.546802023438557	"Snowy"	17
"Female_Adult"	0.631289	"Snowy"	18
"Male_Adult"	0.7141864	"Snowy"	18
"Female_Juvenile"	0.1796162	"Snowy"	18
"Male_Juvenile"	0.2599553	"Snowy"	18
"Female_Chick"	0.473791573943678	"Snowy"	18
"Male_Chick"	0.560664290688408	"Snowy"	18
"Female_Adult"	0.6861144	"Snowy"	19
"Male_Adult"	0.6761945	"Snowy"	19
"Female_Juvenile"	0.1447481	"Snowy"	19
"Male_Juvenile"	0.2697002	"Snowy"	19
"Female_Chick"	0.462990142002778	"Snowy"	19
"Male_Chick"	0.527386512577587	"Snowy"	19
"Female_Adult"	0.7043874	"Snowy"	20
"Male_Adult"	0.7159065	"Snowy"	20
"Female_Juvenile"	0.1636586	"Snowy"	20
"Male_Juvenile"	0.2190699	"Snowy"	20
"Female_Chick"	0.505913560818101	"Snowy"	20
"Male_Chick"	0.487087229540686	"Snowy"	20
"Female_Adult"	0.6816598	"Snowy"	21
"Male_Adult"	0.7240985	"Snowy"	21
"Female_Juvenile"	0.1555981	"Snowy"	21
"Male_Juvenile"	0.2269344	"Snowy"	21
"Female_Chick"	0.462565551892476	"Snowy"	21
"Male_Chick"	0.492570594937228	"Snowy"	21
"Female_Adult"	0.7012845	"Snowy"	22
"Male_Adult"	0.6836051	"Snowy"	22
"Female_Juvenile"	0.1525339	"Snowy"	22
"Male_Juvenile"	0.2429208	"Snowy"	22
"Female_Chick"	0.514557516810076	"Snowy"	22
"Male_Chick"	0.561524899573802	"Snowy"	22
"Female_Adult"	0.6750729	"Snowy"	23
"Male_Adult"	0.7110947	"Snowy"	23
"Female_Juvenile"	0.1583031	"Snowy"	23
"Male_Juvenile"	0.2360573	"Snowy"	23
"Female_Chick"	0.434314055795011	"Snowy"	23
"Male_Chick"	0.622661225727914	"Snowy"	23
"Female_Adult"	0.7053633	"Snowy"	24
"Male_Adult"	0.7559636	"Snowy"	24
"Female_Juvenile"	0.1522582	"Snowy"	24
"Male_Juvenile"	0.1973178	"Snowy"	24
"Female_Chick"	0.48302251487974	"Snowy"	24
"Male_Chick"	0.544790095295022	"Snowy"	24
"Female_Adult"	0.651607	"Snowy"	25
"Male_Adult"	0.7172101	"Snowy"	25
"Female_Juvenile"	0.1353925	"Snowy"	25
"Male_Juvenile"	0.1988579	"Snowy"	25
"Female_Chick"	0.488781714011376	"Snowy"	25
"Male_Chick"	0.495095177374296	"Snowy"	25
"Female_Adult"	0.6870008	"Snowy"	26
"Male_Adult"	0.6608684	"Snowy"	26
"Female_Juvenile"	0.1097097	"Snowy"	26
"Male_Juvenile"	0.2653348	"Snowy"	26
"Female_Chick"	0.459126255469763	"Snowy"	26
"Male_Chick"	0.575172014097196	"Snowy"	26
"Female_Adult"	0.6638098	"Snowy"	27
"Male_Adult"	0.6998483	"Snowy"	27
"Female_Juvenile"	0.1842733	"Snowy"	27
"Male_Juvenile"	0.2173538	"Snowy"	27
"Female_Chick"	0.45466524171417	"Snowy"	27
"Male_Chick"	0.538571109159977	"Snowy"	27
"Female_Adult"	0.6305475	"Snowy"	28
"Male_Adult"	0.7332872	"Snowy"	28
"Female_Juvenile"	0.1601989	"Snowy"	28
"Male_Juvenile"	0.2151623	"Snowy"	28
"Female_Chick"	0.464262168954481	"Snowy"	28
"Male_Chick"	0.571366544368383	"Snowy"	28
"Female_Adult"	0.6659293	"Snowy"	29
"Male_Adult"	0.6860256	"Snowy"	29
"Female_Juvenile"	0.186738	"Snowy"	29
"Male_Juvenile"	0.2177096	"Snowy"	29
"Female_Chick"	0.462863553802884	"Snowy"	29
"Male_Chick"	0.513155401899453	"Snowy"	29
"Female_Adult"	0.7049591	"Snowy"	30
"Male_Adult"	0.6988799	"Snowy"	30
"Female_Juvenile"	0.1500097	"Snowy"	30
"Male_Juvenile"	0.2230663	"Snowy"	30
"Female_Chick"	0.487079724892249	"Snowy"	30
"Male_Chick"	0.524377123077119	"Snowy"	30
"Female_Adult"	0.7205903	"Snowy"	31
"Male_Adult"	0.6778964	"Snowy"	31
"Female_Juvenile"	0.1575507	"Snowy"	31
"Male_Juvenile"	0.2357401	"Snowy"	31
"Female_Chick"	0.46158742767563	"Snowy"	31
"Male_Chick"	0.522220888605134	"Snowy"	31
"Female_Adult"	0.572487	"Snowy"	32
"Male_Adult"	0.670286	"Snowy"	32
"Female_Juvenile"	0.1605738	"Snowy"	32
"Male_Juvenile"	0.2402351	"Snowy"	32
"Female_Chick"	0.48134347063848	"Snowy"	32
"Male_Chick"	0.504957975657569	"Snowy"	32
"Female_Adult"	0.6325131	"Snowy"	33
"Male_Adult"	0.7215935	"Snowy"	33
"Female_Juvenile"	0.16685	"Snowy"	33
"Male_Juvenile"	0.2379879	"Snowy"	33
"Female_Chick"	0.506169540843826	"Snowy"	33
"Male_Chick"	0.463572046483631	"Snowy"	33
"Female_Adult"	0.7009605	"Snowy"	34
"Male_Adult"	0.6602488	"Snowy"	34
"Female_Juvenile"	0.1527907	"Snowy"	34
"Male_Juvenile"	0.1613769	"Snowy"	34
"Female_Chick"	0.447999907451244	"Snowy"	34
"Male_Chick"	0.52912615398823	"Snowy"	34
"Female_Adult"	0.6808263	"Snowy"	35
"Male_Adult"	0.6846346	"Snowy"	35
"Female_Juvenile"	0.1951462	"Snowy"	35
"Male_Juvenile"	0.2284357	"Snowy"	35
"Female_Chick"	0.466763495599634	"Snowy"	35
"Male_Chick"	0.50322916250543	"Snowy"	35
"Female_Adult"	0.6624738	"Snowy"	36
"Male_Adult"	0.6698724	"Snowy"	36
"Female_Juvenile"	0.1895851	"Snowy"	36
"Male_Juvenile"	0.2367863	"Snowy"	36
"Female_Chick"	0.448803133339745	"Snowy"	36
"Male_Chick"	0.513733203953752	"Snowy"	36
"Female_Adult"	0.6604496	"Snowy"	37
