"Sex_Age"	"estimate"	"species"	"iter"
"Female_Adult"	0.7125908	"Snowy"	1
"Male_Adult"	0.6937274	"Snowy"	1
"Female_Juvenile"	0.1816011	"Snowy"	1
"Male_Juvenile"	0.1775143	"Snowy"	1
"Female_Chick"	0.48116527937746	"Snowy"	1
"Male_Chick"	0.485579614783193	"Snowy"	1
"Female_Adult"	0.6597855	"Snowy"	2
"Male_Adult"	0.6851153	"Snowy"	2
"Female_Juvenile"	0.180462	"Snowy"	2
"Male_Juvenile"	0.2040139	"Snowy"	2
"Female_Chick"	0.529666909652562	"Snowy"	2
"Male_Chick"	0.501013309666807	"Snowy"	2
"Female_Adult"	0.6883541	"Snowy"	3
"Male_Adult"	0.7092658	"Snowy"	3
"Female_Juvenile"	0.1568514	"Snowy"	3
"Male_Juvenile"	0.1966273	"Snowy"	3
"Female_Chick"	0.521455869972577	"Snowy"	3
"Male_Chick"	0.490091396283687	"Snowy"	3
"Female_Adult"	0.6498318	"Snowy"	4
"Male_Adult"	0.6864091	"Snowy"	4
"Female_Juvenile"	0.1758329	"Snowy"	4
"Male_Juvenile"	0.2371751	"Snowy"	4
"Female_Chick"	0.425933741788482	"Snowy"	4
"Male_Chick"	0.530635526481738	"Snowy"	4
"Female_Adult"	0.6839162	"Snowy"	5
"Male_Adult"	0.6666799	"Snowy"	5
"Female_Juvenile"	0.1003482	"Snowy"	5
"Male_Juvenile"	0.2207378	"Snowy"	5
"Female_Chick"	0.492148791776684	"Snowy"	5
"Male_Chick"	0.521983602536182	"Snowy"	5
"Female_Adult"	0.7263593	"Snowy"	6
"Male_Adult"	0.6904705	"Snowy"	6
"Female_Juvenile"	0.1378376	"Snowy"	6
"Male_Juvenile"	0.1921487	"Snowy"	6
"Female_Chick"	0.529974586661894	"Snowy"	6
"Male_Chick"	0.515520657410244	"Snowy"	6
"Female_Adult"	0.6665913	"Snowy"	7
"Male_Adult"	0.7010178	"Snowy"	7
"Female_Juvenile"	0.1369115	"Snowy"	7
"Male_Juvenile"	0.2034086	"Snowy"	7
"Female_Chick"	0.502335429690764	"Snowy"	7
"Male_Chick"	0.537787388241832	"Snowy"	7
"Female_Adult"	0.6302351	"Snowy"	8
"Male_Adult"	0.7107008	"Snowy"	8
"Female_Juvenile"	0.1955429	"Snowy"	8
"Male_Juvenile"	0.1867659	"Snowy"	8
"Female_Chick"	0.432565591165671	"Snowy"	8
"Male_Chick"	0.613781818863616	"Snowy"	8
"Female_Adult"	0.6469085	"Snowy"	9
"Male_Adult"	0.6554768	"Snowy"	9
"Female_Juvenile"	0.1612063	"Snowy"	9
"Male_Juvenile"	0.2254363	"Snowy"	9
"Female_Chick"	0.494995357500661	"Snowy"	9
"Male_Chick"	0.542353471193345	"Snowy"	9
"Female_Adult"	0.6769577	"Snowy"	10
