"Phi"	"p"	"model"	"npar"	"AICc"	"DeltaAICc"	"weight"	"Deviance"	"species"	"iter"
"~age * sex"	"~age * time"	"Phi(~age * sex)p(~age * time)"	16	2128.21088895949	0	0.715559115841891	348.14426	"Kittlitz's"	1
"~age * sex"	"~age + time"	"Phi(~age * sex)p(~age + time)"	11	2130.99326075949	2.78237180000224	0.178016869327457	361.14985	"Kittlitz's"	1
"~age * sex"	"~time + age + sex"	"Phi(~age * sex)p(~time + age + sex)"	12	2132.99893087886	4.78804191936842	0.0653033448390761	361.11737	"Kittlitz's"	1
"~age * sex"	"~time * age * sex"	"Phi(~age * sex)p(~time * age * sex)"	28	2134.0365255814	5.82563662190387	0.0388709002975102	329.09963	"Kittlitz's"	1
"~age * sex"	"~Time * age * sex"	"Phi(~age * sex)p(~Time * age * sex)"	12	2140.16803087886	11.957141919368	0.00181211243808914	368.28646	"Kittlitz's"	1
"~age * sex"	"~age + Time"	"Phi(~age * sex)p(~age + Time)"	7	2144.37182807571	16.1609391162183	0.000221483908320057	382.64894	"Kittlitz's"	1
"~age * sex"	"~age * Time"	"Phi(~age * sex)p(~age * Time)"	8	2145.4380543015	17.227165342008	0.000129961314484791	381.68984	"Kittlitz's"	1
"~age * sex"	"~Time + age + sex"	"Phi(~age * sex)p(~Time + age + sex)"	8	2146.3946543015	18.183765342008	8.05547296852977e-05	382.6465	"Kittlitz's"	1
"~age * sex"	"~Quadratic * age * sex"	"Phi(~age * sex)p(~Quadratic * age * sex)"	12	2152.05003087886	23.8391419193681	4.76476651832437e-06	380.16841	"Kittlitz's"	1
"~age * sex"	"~Quadratic + age"	"Phi(~age * sex)p(~Quadratic + age)"	7	2156.69222807571	28.4813391162184	4.67736553319155e-07	394.9694	"Kittlitz's"	1
"~age * sex"	"~Quadratic * age"	"Phi(~age * sex)p(~Quadratic * age)"	8	2157.9067543015	29.6958653420079	2.54841581801193e-07	394.15852	"Kittlitz's"	1
"~age * sex"	"~Quadratic + age + sex"	"Phi(~age * sex)p(~Quadratic + age + sex)"	8	2158.7175543015	30.5066653420081	1.69905449729731e-07	394.9694	"Kittlitz's"	1
"~age * sex"	"~time"	"Phi(~age * sex)p(~time)"	10	2176.04121304348	47.8303240839869	2.94050965763617e-11	408.23278	"Kittlitz's"	1
"~age * sex"	"~sex + time"	"Phi(~age * sex)p(~sex + time)"	11	2178.01366075949	49.8027718000021	1.09675855489433e-11	408.17031	"Kittlitz's"	1
"~age * sex"	"~sex * time"	"Phi(~age * sex)p(~sex * time)"	16	2178.13708895949	49.9261999999999	1.03111935157346e-11	398.07042	"Kittlitz's"	1
"~age * sex"	"~Time"	"Phi(~age * sex)p(~Time)"	6	2182.16679385343	53.9559048939368	1.37489533371033e-12	422.46605	"Kittlitz's"	1
"~age * sex"	"~sex * Time"	"Phi(~age * sex)p(~sex * Time)"	8	2183.2505543015	55.039665342008	7.99712799214515e-13	419.50231	"Kittlitz's"	1
"~age * sex"	"~sex + Time"	"Phi(~age * sex)p(~sex + Time)"	7	2184.18272807571	55.9718391162182	5.01782006372937e-13	422.45986	"Kittlitz's"	1
"~age * sex"	"~Quadratic"	"Phi(~age * sex)p(~Quadratic)"	6	2191.76609385343	63.5552048939367	1.13190017727273e-14	432.06533	"Kittlitz's"	1
"~age * sex"	"~Quadratic * sex"	"Phi(~age * sex)p(~Quadratic * sex)"	8	2192.6775543015	64.4666653420081	7.1760756173063e-15	428.92933	"Kittlitz's"	1
"~age * sex"	"~Quadratic + sex"	"Phi(~age * sex)p(~Quadratic + sex)"	7	2193.78322807571	65.5723391162182	4.1285067304898e-15	432.06036	"Kittlitz's"	1
"~age * sex"	"~age * sex"	"Phi(~age * sex)p(~age * sex)"	8	2205.3252543015	77.1143653420081	0	441.57705	"Kittlitz's"	1
"~age * sex"	"~age"	"Phi(~age * sex)p(~age)"	6	2206.19359385343	77.9827048939364	0	446.4929	"Kittlitz's"	1
"~age * sex"	"~age + sex"	"Phi(~age * sex)p(~age + sex)"	7	2207.73042807571	79.5195391162183	0	446.00759	"Kittlitz's"	1
"~age * sex"	"~1"	"Phi(~age * sex)p(~1)"	5	2249.50544409449	121.294555134997	0	491.82368	"Kittlitz's"	1
"~age * sex"	"~sex"	"Phi(~age * sex)p(~sex)"	6	2251.03339385343	122.822504893937	0	491.33267	"Kittlitz's"	1
"~age * sex"	"~time * age * sex"	"Phi(~age * sex)p(~time * age * sex)"	28	1996.69503333333	0	0.976526580281654	246.60869	"Kittlitz's"	2
"~age * sex"	"~age + time"	"Phi(~age * sex)p(~age + time)"	11	2005.47082686935	8.77579353601755	0.0121351378872623	290.52093	"Kittlitz's"	2
"~age * sex"	"~time + age + sex"	"Phi(~age * sex)p(~time + age + sex)"	12	2005.83087894737	9.13584561403513	0.0101358552575381	288.8413	"Kittlitz's"	2
"~age * sex"	"~age * time"	"Phi(~age * sex)p(~age * time)"	16	2010.13834488449	13.4433115511551	0.00117626738792857	284.95652	"Kittlitz's"	2
"~age * sex"	"~Time * age * sex"	"Phi(~age * sex)p(~Time * age * sex)"	12	2017.75297894737	21.0579456140351	2.61221716405463e-05	300.76346	"Kittlitz's"	2
"~age * sex"	"~Quadratic * age * sex"	"Phi(~age * sex)p(~Quadratic * age * sex)"	12	2031.72767894737	35.0326456140351	2.41235784429287e-08	314.73806	"Kittlitz's"	2
"~age * sex"	"~sex * time"	"Phi(~age * sex)p(~sex * time)"	16	2033.07384488449	36.3788115511552	1.23062437100083e-08	307.89203	"Kittlitz's"	2
"~age * sex"	"~age * Time"	"Phi(~age * sex)p(~age * Time)"	8	2040.17433278689	43.4792994535521	3.53406191686388e-10	331.32336	"Kittlitz's"	2
"~age * sex"	"~time"	"Phi(~age * sex)p(~time)"	10	2043.31492397373	46.6198906403943	7.35027254619338e-11	330.40126	"Kittlitz's"	2
"~age * sex"	"~Time + age + sex"	"Phi(~age * sex)p(~Time + age + sex)"	8	2043.49143278689	46.7963994535521	6.72937981477016e-11	334.64044	"Kittlitz's"	2
"~age * sex"	"~age + Time"	"Phi(~age * sex)p(~age + Time)"	7	2044.13122809173	47.436194758395	4.88703282297921e-11	337.30647	"Kittlitz's"	2
"~age * sex"	"~sex + time"	"Phi(~age * sex)p(~sex + time)"	11	2044.49942686935	47.8043935360176	4.06529351514298e-11	329.54948	"Kittlitz's"	2
"~age * sex"	"~Quadratic * age"	"Phi(~age * sex)p(~Quadratic * age)"	8	2053.94713278689	57.2520994535519	3.61034441301494e-13	345.09614	"Kittlitz's"	2
"~age * sex"	"~Quadratic + age + sex"	"Phi(~age * sex)p(~Quadratic + age + sex)"	8	2058.71013278688	62.0150994535518	3.33638626964144e-14	349.85912	"Kittlitz's"	2
"~age * sex"	"~Quadratic + age"	"Phi(~age * sex)p(~Quadratic + age)"	7	2058.88962809173	62.1945947583947	3.04999702019596e-14	352.06491	"Kittlitz's"	2
"~age * sex"	"~sex * Time"	"Phi(~age * sex)p(~sex * Time)"	8	2063.20633278689	66.5112994535518	3.523213005928e-15	354.35533	"Kittlitz's"	2
"~age * sex"	"~Time"	"Phi(~age * sex)p(~Time)"	6	2074.94213977087	78.2471064375343	0	370.14041	"Kittlitz's"	2
"~age * sex"	"~Quadratic * sex"	"Phi(~age * sex)p(~Quadratic * sex)"	8	2075.16273278689	78.4676994535519	0	366.31171	"Kittlitz's"	2
"~age * sex"	"~sex + Time"	"Phi(~age * sex)p(~sex + Time)"	7	2075.52512809173	78.8300947583946	0	368.70038	"Kittlitz's"	2
"~age * sex"	"~Quadratic"	"Phi(~age * sex)p(~Quadratic)"	6	2087.21253977087	90.5175064375342	0	382.41082	"Kittlitz's"	2
"~age * sex"	"~Quadratic + sex"	"Phi(~age * sex)p(~Quadratic + sex)"	7	2087.89732809173	91.2022947583948	0	381.07256	"Kittlitz's"	2
"~age * sex"	"~age * sex"	"Phi(~age * sex)p(~age * sex)"	8	2101.98403278689	105.288999453552	0	393.13302	"Kittlitz's"	2
"~age * sex"	"~age"	"Phi(~age * sex)p(~age)"	6	2106.76233977087	110.067306437534	0	401.9606	"Kittlitz's"	2
"~age * sex"	"~age + sex"	"Phi(~age * sex)p(~age + sex)"	7	2108.61592809173	111.920894758395	0	401.79124	"Kittlitz's"	2
"~age * sex"	"~1"	"Phi(~age * sex)p(~1)"	5	2144.32315968929	147.628126355956	0	441.54113	"Kittlitz's"	2
"~age * sex"	"~sex"	"Phi(~age * sex)p(~sex)"	6	2146.31313977087	149.618106437534	0	441.51137	"Kittlitz's"	2
"~age * sex"	"~time * age * sex"	"Phi(~age * sex)p(~time * age * sex)"	28	2194.35412727273	0	0.667745260120145	395.30816	"Kittlitz's"	3
"~age * sex"	"~age + time"	"Phi(~age * sex)p(~age + time)"	11	2196.50827633411	2.15414906137903	0.227427662999088	432.53091	"Kittlitz's"	3
"~age * sex"	"~time + age + sex"	"Phi(~age * sex)p(~time + age + sex)"	12	2198.23328606811	3.87915879538377	0.0959979998147656	432.2186	"Kittlitz's"	3
