"Sex_Age"	"estimate"	"species"	"iter"
"Female_Adult"	0.8844549	"Kittlitz's"	1
"Male_Adult"	0.8243778	"Kittlitz's"	1
"Female_Juvenile"	0.459823	"Kittlitz's"	1
"Male_Juvenile"	0.3698557	"Kittlitz's"	1
"Female_Chick"	0.0742959632646824	"Kittlitz's"	1
"Male_Chick"	0.115538554572122	"Kittlitz's"	1
"Female_Adult"	0.8794609	"Kittlitz's"	2
"Male_Adult"	0.8507927	"Kittlitz's"	2
"Female_Juvenile"	0.4253253	"Kittlitz's"	2
"Male_Juvenile"	0.3788589	"Kittlitz's"	2
"Female_Chick"	0.114917673160062	"Kittlitz's"	2
"Male_Chick"	0.179064267846029	"Kittlitz's"	2
"Female_Adult"	0.9068165	"Kittlitz's"	3
"Male_Adult"	0.8626053	"Kittlitz's"	3
"Female_Juvenile"	0.4387641	"Kittlitz's"	3
"Male_Juvenile"	0.300643	"Kittlitz's"	3
"Female_Chick"	0.125246442658195	"Kittlitz's"	3
"Male_Chick"	0.185785858521523	"Kittlitz's"	3
"Female_Adult"	0.8612484	"Kittlitz's"	4
"Male_Adult"	0.7722817	"Kittlitz's"	4
"Female_Juvenile"	0.3834718	"Kittlitz's"	4
"Male_Juvenile"	0.2945117	"Kittlitz's"	4
"Female_Chick"	0.156111961595226	"Kittlitz's"	4
"Male_Chick"	0.24803510821479	"Kittlitz's"	4
"Female_Adult"	0.8779016	"Kittlitz's"	5
"Male_Adult"	0.7872499	"Kittlitz's"	5
"Female_Juvenile"	0.4046203	"Kittlitz's"	5
"Male_Juvenile"	0.2939582	"Kittlitz's"	5
"Female_Chick"	0.180375357370679	"Kittlitz's"	5
"Male_Chick"	0.170654292666361	"Kittlitz's"	5
"Female_Adult"	0.8713468	"Kittlitz's"	6
"Male_Adult"	0.849872	"Kittlitz's"	6
"Female_Juvenile"	0.5645946	"Kittlitz's"	6
"Male_Juvenile"	0.3402653	"Kittlitz's"	6
"Female_Chick"	0.152881851115181	"Kittlitz's"	6
"Male_Chick"	0.221250509375024	"Kittlitz's"	6
"Female_Adult"	0.7860651	"Kittlitz's"	7
"Male_Adult"	0.8384028	"Kittlitz's"	7
"Female_Juvenile"	0.3761467	"Kittlitz's"	7
"Male_Juvenile"	0.364648	"Kittlitz's"	7
"Female_Chick"	0.152131988631348	"Kittlitz's"	7
"Male_Chick"	0.178848687531809	"Kittlitz's"	7
"Female_Adult"	0.8429221	"Kittlitz's"	8
"Male_Adult"	0.778164	"Kittlitz's"	8
"Female_Juvenile"	0.4511954	"Kittlitz's"	8
"Male_Juvenile"	0.3736073	"Kittlitz's"	8
"Female_Chick"	0.0831604469337172	"Kittlitz's"	8
"Male_Chick"	0.251017959852115	"Kittlitz's"	8
"Female_Adult"	0.79417	"Kittlitz's"	9
"Male_Adult"	0.7854519	"Kittlitz's"	9
"Female_Juvenile"	0.5429035	"Kittlitz's"	9
"Male_Juvenile"	0.3330431	"Kittlitz's"	9
"Female_Chick"	0.0866015745015913	"Kittlitz's"	9
"Male_Chick"	0.218067210748241	"Kittlitz's"	9
"Female_Adult"	0.888774	"Kittlitz's"	10
"Male_Adult"	0.8703466	"Kittlitz's"	10
"Female_Juvenile"	0.4887923	"Kittlitz's"	10
"Male_Juvenile"	0.3204723	"Kittlitz's"	10
"Female_Chick"	0.189000753191566	"Kittlitz's"	10
"Male_Chick"	0.104505546639207	"Kittlitz's"	10
"Female_Adult"	0.8271819	"Kittlitz's"	11
"Male_Adult"	0.8303265	"Kittlitz's"	11
"Female_Juvenile"	0.4632738	"Kittlitz's"	11
"Male_Juvenile"	0.2894171	"Kittlitz's"	11
"Female_Chick"	0.163440254070116	"Kittlitz's"	11
"Male_Chick"	0.119049826290728	"Kittlitz's"	11
"Female_Adult"	0.8541296	"Kittlitz's"	12
"Male_Adult"	0.8216711	"Kittlitz's"	12
"Female_Juvenile"	0.4321567	"Kittlitz's"	12
"Male_Juvenile"	0.3441083	"Kittlitz's"	12
"Female_Chick"	0.128346504233205	"Kittlitz's"	12
"Male_Chick"	0.204298178351312	"Kittlitz's"	12
"Female_Adult"	0.8782288	"Kittlitz's"	13
"Male_Adult"	0.8280026	"Kittlitz's"	13
"Female_Juvenile"	0.4683203	"Kittlitz's"	13
"Male_Juvenile"	0.2984439	"Kittlitz's"	13
"Female_Chick"	0.137268807444076	"Kittlitz's"	13
"Male_Chick"	0.166801535317548	"Kittlitz's"	13
"Female_Adult"	0.8283562	"Kittlitz's"	14
