"Phi"	"p"	"model"	"npar"	"AICc"	"DeltaAICc"	"weight"	"Deviance"	"species"	"iter"
"~age * sex"	"~sex * time"	"Phi(~age * sex)p(~sex * time)"	16	600.183801111111	0	0.9983426794148	213.5404	"Madagascar"	1
"~age * sex"	"~sex + time"	"Phi(~age * sex)p(~sex + time)"	11	613.963677671233	13.7798765601219	0.00101628955482651	238.1081	"Madagascar"	1
"~age * sex"	"~time + age + sex"	"Phi(~age * sex)p(~time + age + sex)"	12	615.118942857143	14.9351417460318	0.000570367556792019	237.12951	"Madagascar"	1
"~age * sex"	"~Quadratic * sex"	"Phi(~age * sex)p(~Quadratic * sex)"	8	619.911424347826	19.7276232367151	5.19374569713997e-05	250.38783	"Madagascar"	1
"~age * sex"	"~time * age * sex"	"Phi(~age * sex)p(~time * age * sex)"	28	622.786806666667	22.6030055555556	1.23338693608996e-05	208.98785	"Madagascar"	1
"~age * sex"	"~Quadratic * age * sex"	"Phi(~age * sex)p(~Quadratic * age * sex)"	12	625.344802857143	25.1610017460318	3.43271327069279e-06	247.35537	"Madagascar"	1
"~age * sex"	"~Quadratic + sex"	"Phi(~age * sex)p(~Quadratic + sex)"	7	626.34092303523	26.1571219241193	2.08608874839186e-06	258.90511	"Madagascar"	1
"~age * sex"	"~Quadratic + age + sex"	"Phi(~age * sex)p(~Quadratic + age + sex)"	8	628.188354347826	28.0045532367151	8.28262823023208e-07	258.66476	"Madagascar"	1
"~age * sex"	"~time"	"Phi(~age * sex)p(~time)"	10	635.156572896175	34.9727717850639	2.54119935339162e-08	261.42319	"Madagascar"	1
"~age * sex"	"~age + time"	"Phi(~age * sex)p(~age + time)"	11	637.204147671233	37.0203465601219	9.1287964423877e-09	261.34857	"Madagascar"	1
"~age * sex"	"~sex * Time"	"Phi(~age * sex)p(~sex * Time)"	8	638.858294347826	38.6744932367151	3.99227212267468e-09	269.3347	"Madagascar"	1
