"Sex_Age"	"estimate"	"species"	"iter"
"Female_Adult"	0.8774468	"Madagascar"	1
"Male_Adult"	0.8429182	"Madagascar"	1
"Female_Juvenile"	0.0913187	"Madagascar"	1
"Male_Juvenile"	0.1214848	"Madagascar"	1
"Female_Chick"	0.280912401251191	"Madagascar"	1
"Male_Chick"	0.141353402249411	"Madagascar"	1
"Female_Adult"	0.8836979	"Madagascar"	2
"Male_Adult"	0.8747874	"Madagascar"	2
"Female_Juvenile"	0.1706443	"Madagascar"	2
"Male_Juvenile"	0.1624708	"Madagascar"	2
"Female_Chick"	0.243478602894206	"Madagascar"	2
"Male_Chick"	0.241454729152171	"Madagascar"	2
"Female_Adult"	0.8375118	"Madagascar"	3
"Male_Adult"	0.8191322	"Madagascar"	3
"Female_Juvenile"	0.150802	"Madagascar"	3
"Male_Juvenile"	0.0865556	"Madagascar"	3
"Female_Chick"	0.182415830256831	"Madagascar"	3
"Male_Chick"	0.0960165532053954	"Madagascar"	3
"Female_Adult"	0.8892232	"Madagascar"	4
"Male_Adult"	0.8717265	"Madagascar"	4
"Female_Juvenile"	0.2192326	"Madagascar"	4
"Male_Juvenile"	0.1629658	"Madagascar"	4
"Female_Chick"	0.461500563927293	"Madagascar"	4
"Male_Chick"	0.0185052645578764	"Madagascar"	4
"Female_Adult"	0.8931615	"Madagascar"	5
"Male_Adult"	0.8935834	"Madagascar"	5
"Female_Juvenile"	0.1238525	"Madagascar"	5
"Male_Juvenile"	0.090885	"Madagascar"	5
"Female_Chick"	0.262956026885803	"Madagascar"	5
"Male_Chick"	0.265401724787508	"Madagascar"	5
"Female_Adult"	0.8901352	"Madagascar"	6
"Male_Adult"	0.8324509	"Madagascar"	6
"Female_Juvenile"	0.2451444	"Madagascar"	6
"Male_Juvenile"	0.1479125	"Madagascar"	6
"Female_Chick"	0.331965748547592	"Madagascar"	6
"Male_Chick"	0.0543366254341671	"Madagascar"	6
"Female_Adult"	0.9488096	"Madagascar"	7
"Male_Adult"	0.9392721	"Madagascar"	7
"Female_Juvenile"	0.2231939	"Madagascar"	7
"Male_Juvenile"	0.2288543	"Madagascar"	7
"Female_Chick"	0.280715109933446	"Madagascar"	7
"Male_Chick"	0.0807016788601736	"Madagascar"	7
"Female_Adult"	0.9633251	"Madagascar"	8
"Male_Adult"	0.819105	"Madagascar"	8
"Female_Juvenile"	0.2317724	"Madagascar"	8
"Male_Juvenile"	0.1733857	"Madagascar"	8
"Female_Chick"	0.297145713691058	"Madagascar"	8
"Male_Chick"	0.0158403667249395	"Madagascar"	8
"Female_Adult"	0.9558168	"Madagascar"	9
"Male_Adult"	0.8998663	"Madagascar"	9
"Female_Juvenile"	0.1598415	"Madagascar"	9
"Male_Juvenile"	0.1541063	"Madagascar"	9
"Female_Chick"	0.287508699483182	"Madagascar"	9
"Male_Chick"	0.0718195406476086	"Madagascar"	9
"Female_Adult"	0.874839	"Madagascar"	10
"Male_Adult"	0.8988955	"Madagascar"	10
"Female_Juvenile"	0.1689759	"Madagascar"	10
"Male_Juvenile"	0.129447	"Madagascar"	10
"Female_Chick"	0.234915227627579	"Madagascar"	10
"Male_Chick"	0.0448222476383116	"Madagascar"	10
"Female_Adult"	0.8182993	"Madagascar"	11
"Male_Adult"	0.83931	"Madagascar"	11
"Female_Juvenile"	0.2370506	"Madagascar"	11
"Male_Juvenile"	0.1039434	"Madagascar"	11
"Female_Chick"	0.366502408184054	"Madagascar"	11
"Male_Chick"	0.236459237407281	"Madagascar"	11
"Female_Adult"	0.8611319	"Madagascar"	12
"Male_Adult"	0.8549443	"Madagascar"	12
"Female_Juvenile"	0.1645137	"Madagascar"	12
"Male_Juvenile"	0.1992052	"Madagascar"	12
"Female_Chick"	0.259725703751349	"Madagascar"	12
"Male_Chick"	0.121253678457984	"Madagascar"	12
"Female_Adult"	0.9519153	"Madagascar"	13
"Male_Adult"	0.852054	"Madagascar"	13
