"Phi"	"p"	"model"	"npar"	"AICc"	"DeltaAICc"	"weight"	"Deviance"	"species"	"iter"
"~age * sex"	"~age * time"	"Phi(~age * sex)p(~age * time)"	20	3148.20122264251	0	0.906631991009446	971.11129	"Kentish (Maio)"	1
"~age * sex"	"~time * age * sex"	"Phi(~age * sex)p(~time * age * sex)"	36	3152.74778844707	4.54656580455639	0.0933591349698227	942.67388	"Kentish (Maio)"	1
"~age * sex"	"~age + time"	"Phi(~age * sex)p(~age + time)"	13	3172.0978059448	23.896583302283	5.8661600381942e-06	1009.2622	"Kentish (Maio)"	1
"~age * sex"	"~time + age + sex"	"Phi(~age * sex)p(~time + age + sex)"	14	3173.43374832714	25.2325256846225	3.00786059826349e-06	1008.5682	"Kentish (Maio)"	1
"~age * sex"	"~sex * time"	"Phi(~age * sex)p(~sex * time)"	20	3208.13182264251	59.9305999999997	8.78347967626719e-14	1031.0418	"Kentish (Maio)"	1
"~age * sex"	"~time"	"Phi(~age * sex)p(~time)"	12	3213.87791724138	65.6766945988643	4.96498581838979e-15	1053.07	"Kentish (Maio)"	1
"~age * sex"	"~sex + time"	"Phi(~age * sex)p(~sex + time)"	13	3215.3423059448	67.1410833022833	2.38742669555113e-15	1052.5066	"Kentish (Maio)"	1
"~age * sex"	"~Quadratic * age * sex"	"Phi(~age * sex)p(~Quadratic * age * sex)"	12	3364.16351724138	215.962294598864	0	1203.3556	"Kentish (Maio)"	1
"~age * sex"	"~Quadratic * age"	"Phi(~age * sex)p(~Quadratic * age)"	8	3364.71983080995	216.518608167437	0	1212.0012	"Kentish (Maio)"	1
"~age * sex"	"~age * Time"	"Phi(~age * sex)p(~age * Time)"	8	3382.43243080995	234.231208167438	0	1229.7138	"Kentish (Maio)"	1
"~age * sex"	"~Time * age * sex"	"Phi(~age * sex)p(~Time * age * sex)"	12	3385.10371724138	236.902494598864	0	1224.2958	"Kentish (Maio)"	1
"~age * sex"	"~Quadratic + age"	"Phi(~age * sex)p(~Quadratic + age)"	7	3394.11555925926	245.914336616745	0	1243.4139	"Kentish (Maio)"	1
"~age * sex"	"~Quadratic + age + sex"	"Phi(~age * sex)p(~Quadratic + age + sex)"	8	3395.84063080995	247.639408167438	0	1243.122	"Kentish (Maio)"	1
"~age * sex"	"~age + Time"	"Phi(~age * sex)p(~age + Time)"	7	3405.80675925926	257.605536616744	0	1255.1051	"Kentish (Maio)"	1
"~age * sex"	"~Time + age + sex"	"Phi(~age * sex)p(~Time + age + sex)"	8	3407.59903080995	259.397808167438	0	1254.8804	"Kentish (Maio)"	1
"~age * sex"	"~Quadratic * sex"	"Phi(~age * sex)p(~Quadratic * sex)"	8	3410.00033080995	261.799108167438	0	1257.2817	"Kentish (Maio)"	1
