"Sex_Age"	"estimate"	"species"	"iter"
"Female_Adult"	0.8696664	"Kentish (Maio)"	1
"Male_Adult"	0.8492905	"Kentish (Maio)"	1
"Female_Juvenile"	0.177863	"Kentish (Maio)"	1
"Male_Juvenile"	0.1462171	"Kentish (Maio)"	1
"Female_Chick"	1	"Kentish (Maio)"	1
"Male_Chick"	0.733425361547855	"Kentish (Maio)"	1
"Female_Adult"	0.8555037	"Kentish (Maio)"	2
"Male_Adult"	0.8487003	"Kentish (Maio)"	2
"Female_Juvenile"	0.1951066	"Kentish (Maio)"	2
"Male_Juvenile"	0.1967689	"Kentish (Maio)"	2
"Female_Chick"	1	"Kentish (Maio)"	2
"Male_Chick"	1	"Kentish (Maio)"	2
"Female_Adult"	0.8567913	"Kentish (Maio)"	3
"Male_Adult"	0.8651464	"Kentish (Maio)"	3
"Female_Juvenile"	0.1961636	"Kentish (Maio)"	3
"Male_Juvenile"	0.1736611	"Kentish (Maio)"	3
"Female_Chick"	1	"Kentish (Maio)"	3
"Male_Chick"	0.387129283939755	"Kentish (Maio)"	3
"Female_Adult"	0.8454044	"Kentish (Maio)"	4
"Male_Adult"	0.8415221	"Kentish (Maio)"	4
"Female_Juvenile"	0.1856026	"Kentish (Maio)"	4
"Male_Juvenile"	0.1627128	"Kentish (Maio)"	4
"Female_Chick"	0.756937019662358	"Kentish (Maio)"	4
"Male_Chick"	0.894335717918378	"Kentish (Maio)"	4
"Female_Adult"	0.8414012	"Kentish (Maio)"	5
"Male_Adult"	0.841281	"Kentish (Maio)"	5
"Female_Juvenile"	0.1836224	"Kentish (Maio)"	5
"Male_Juvenile"	0.1645913	"Kentish (Maio)"	5
"Female_Chick"	0.857005338936232	"Kentish (Maio)"	5
"Male_Chick"	0.623863745270463	"Kentish (Maio)"	5
"Female_Adult"	0.8536815	"Kentish (Maio)"	6
"Male_Adult"	0.8598031	"Kentish (Maio)"	6
"Female_Juvenile"	0.2060356	"Kentish (Maio)"	6
"Male_Juvenile"	0.2009433	"Kentish (Maio)"	6
"Female_Chick"	0.7200549742432	"Kentish (Maio)"	6
"Male_Chick"	0.530632894026559	"Kentish (Maio)"	6
"Female_Adult"	0.8568921	"Kentish (Maio)"	7
"Male_Adult"	0.8667836	"Kentish (Maio)"	7
"Female_Juvenile"	0.1757687	"Kentish (Maio)"	7
"Male_Juvenile"	0.1695859	"Kentish (Maio)"	7
