"Phi"	"p"	"model"	"npar"	"AICc"	"DeltaAICc"	"weight"	"Deviance"	"species"	"iter"
"~age * sex"	"~time * age * sex"	"Phi(~age * sex)p(~time * age * sex)"	24	4899.99908296782	0	0.971842209192679	318.62042	"Kentish (Tuzla)"	1
"~age * sex"	"~age * time"	"Phi(~age * sex)p(~age * time)"	14	4907.08198429423	7.08290132641923	0.0281555020966679	345.92588	"Kentish (Tuzla)"	1
"~age * sex"	"~time + age + sex"	"Phi(~age * sex)p(~time + age + sex)"	11	4926.35051486947	26.3514319016513	1.84270165079973e-06	371.23871	"Kentish (Tuzla)"	1
"~age * sex"	"~age + time"	"Phi(~age * sex)p(~age + time)"	10	4929.42271134752	29.4236283797027	3.96584773663476e-07	376.32346	"Kentish (Tuzla)"	1
"~age * sex"	"~Quadratic * age * sex"	"Phi(~age * sex)p(~Quadratic * age * sex)"	12	4933.66766088561	33.6685779177933	4.74850561478962e-08	376.54224	"Kentish (Tuzla)"	1
"~age * sex"	"~sex * time"	"Phi(~age * sex)p(~sex * time)"	14	4941.41668429423	41.4176013264196	9.86002242358775e-10	380.26052	"Kentish (Tuzla)"	1
"~age * sex"	"~Quadratic * age"	"Phi(~age * sex)p(~Quadratic * age)"	8	4942.67272789906	42.6736449312493	5.2617656240399e-10	393.59505	"Kentish (Tuzla)"	1
"~age * sex"	"~sex + time"	"Phi(~age * sex)p(~sex + time)"	10	4943.43581134752	43.4367283797028	3.59277511411325e-10	390.33659	"Kentish (Tuzla)"	1
"~age * sex"	"~time"	"Phi(~age * sex)p(~time)"	9	4946.7816493477	46.7825663798876	6.74358045781741e-11	395.69372	"Kentish (Tuzla)"	1
"~age * sex"	"~Quadratic + age + sex"	"Phi(~age * sex)p(~Quadratic + age + sex)"	8	4958.02002789906	58.0209449312488	2.44628835664179e-13	408.94237	"Kentish (Tuzla)"	1
"~age * sex"	"~Quadratic + age"	"Phi(~age * sex)p(~Quadratic + age)"	7	4961.87614603175	61.877063063931	3.5576419294647e-14	414.80756	"Kentish (Tuzla)"	1
"~age * sex"	"~Quadratic + sex"	"Phi(~age * sex)p(~Quadratic + sex)"	7	4976.53594603175	76.5368630639314	0	429.46736	"Kentish (Tuzla)"	1
"~age * sex"	"~Quadratic * sex"	"Phi(~age * sex)p(~Quadratic * sex)"	8	4978.54382789906	78.5447449312487	0	429.46611	"Kentish (Tuzla)"	1
"~age * sex"	"~Quadratic"	"Phi(~age * sex)p(~Quadratic)"	6	4980.97290277699	80.9738198091754	0	435.91224	"Kentish (Tuzla)"	1
"~age * sex"	"~Time * age * sex"	"Phi(~age * sex)p(~Time * age * sex)"	12	5057.75096088561	157.751877917794	0	500.62556	"Kentish (Tuzla)"	1
"~age * sex"	"~age * Time"	"Phi(~age * sex)p(~age * Time)"	8	5067.79972789906	167.800644931249	0	518.72207	"Kentish (Tuzla)"	1
"~age * sex"	"~Time + age + sex"	"Phi(~age * sex)p(~Time + age + sex)"	8	5095.56422789906	195.565144931249	0	546.48652	"Kentish (Tuzla)"	1
"~age * sex"	"~age + Time"	"Phi(~age * sex)p(~age + Time)"	7	5099.19584603175	199.196763063931	0	552.1272	"Kentish (Tuzla)"	1
"~age * sex"	"~sex + Time"	"Phi(~age * sex)p(~sex + Time)"	7	5108.27434603175	208.275263063931	0	561.20572	"Kentish (Tuzla)"	1
"~age * sex"	"~sex * Time"	"Phi(~age * sex)p(~sex * Time)"	8	5110.18952789906	210.190444931249	0	561.11188	"Kentish (Tuzla)"	1
"~age * sex"	"~Time"	"Phi(~age * sex)p(~Time)"	6	5112.48150277699	212.482419809176	0	567.42085	"Kentish (Tuzla)"	1
"~age * sex"	"~age"	"Phi(~age * sex)p(~age)"	6	5671.06710277699	771.068019809176	0	1126.0064	"Kentish (Tuzla)"	1
"~age * sex"	"~age + sex"	"Phi(~age * sex)p(~age + sex)"	7	5672.59674603175	772.597663063931	0	1125.5281	"Kentish (Tuzla)"	1
"~age * sex"	"~age * sex"	"Phi(~age * sex)p(~age * sex)"	8	5673.94462789906	773.945544931249	0	1124.867	"Kentish (Tuzla)"	1
"~age * sex"	"~1"	"Phi(~age * sex)p(~1)"	5	5675.23749716714	775.238414199323	0	1132.1837	"Kentish (Tuzla)"	1
"~age * sex"	"~sex"	"Phi(~age * sex)p(~sex)"	6	5676.76390277699	776.764819809176	0	1131.7032	"Kentish (Tuzla)"	1
