"Sex_Age"	"estimate"	"species"	"iter"
"Female_Adult"	0.7589385	"Kentish (Tuzla)"	1
"Male_Adult"	0.7653478	"Kentish (Tuzla)"	1
"Female_Juvenile"	0.3796229	"Kentish (Tuzla)"	1
"Male_Juvenile"	0.5429209	"Kentish (Tuzla)"	1
"Female_Chick"	0.452765175659054	"Kentish (Tuzla)"	1
"Male_Chick"	0.165728771013946	"Kentish (Tuzla)"	1
"Female_Adult"	0.7887653	"Kentish (Tuzla)"	2
"Male_Adult"	0.7641392	"Kentish (Tuzla)"	2
"Female_Juvenile"	0.3909817	"Kentish (Tuzla)"	2
"Male_Juvenile"	0.5970552	"Kentish (Tuzla)"	2
"Female_Chick"	0.431866651550373	"Kentish (Tuzla)"	2
"Male_Chick"	0.145224807302637	"Kentish (Tuzla)"	2
"Female_Adult"	0.7200153	"Kentish (Tuzla)"	3
"Male_Adult"	0.7271334	"Kentish (Tuzla)"	3
"Female_Juvenile"	0.4019038	"Kentish (Tuzla)"	3
"Male_Juvenile"	0.556159	"Kentish (Tuzla)"	3
"Female_Chick"	0.448372336104706	"Kentish (Tuzla)"	3
"Male_Chick"	0.383900517348904	"Kentish (Tuzla)"	3
"Female_Adult"	0.777765	"Kentish (Tuzla)"	4
"Male_Adult"	0.7280845	"Kentish (Tuzla)"	4
"Female_Juvenile"	0.4240516	"Kentish (Tuzla)"	4
"Male_Juvenile"	0.5281454	"Kentish (Tuzla)"	4
"Female_Chick"	0.461143409193529	"Kentish (Tuzla)"	4
"Male_Chick"	0.299301872633919	"Kentish (Tuzla)"	4
"Female_Adult"	0.7691347	"Kentish (Tuzla)"	5
"Male_Adult"	0.7525131	"Kentish (Tuzla)"	5
"Female_Juvenile"	0.3762835	"Kentish (Tuzla)"	5
"Male_Juvenile"	0.5750946	"Kentish (Tuzla)"	5
"Female_Chick"	0.468931209382042	"Kentish (Tuzla)"	5
"Male_Chick"	0.14698048045596	"Kentish (Tuzla)"	5
"Female_Adult"	0.7516185	"Kentish (Tuzla)"	6
"Male_Adult"	0.7426552	"Kentish (Tuzla)"	6
"Female_Juvenile"	0.4039588	"Kentish (Tuzla)"	6
"Male_Juvenile"	0.5174221	"Kentish (Tuzla)"	6
"Female_Chick"	0.393782842622581	"Kentish (Tuzla)"	6
"Male_Chick"	0.205120895551643	"Kentish (Tuzla)"	6
"Female_Adult"	0.7559304	"Kentish (Tuzla)"	7
"Male_Adult"	0.7641218	"Kentish (Tuzla)"	7
"Female_Juvenile"	0.4460006	"Kentish (Tuzla)"	7
"Male_Juvenile"	0.6666149	"Kentish (Tuzla)"	7
"Female_Chick"	0.350533896370005	"Kentish (Tuzla)"	7
"Male_Chick"	0.406285574975641	"Kentish (Tuzla)"	7
"Female_Adult"	0.7810995	"Kentish (Tuzla)"	8
"Male_Adult"	0.7531415	"Kentish (Tuzla)"	8
"Female_Juvenile"	0.4376414	"Kentish (Tuzla)"	8
"Male_Juvenile"	0.5936155	"Kentish (Tuzla)"	8
"Female_Chick"	0.390754484188803	"Kentish (Tuzla)"	8
"Male_Chick"	0.305914086815184	"Kentish (Tuzla)"	8
"Female_Adult"	0.7792649	"Kentish (Tuzla)"	9
"Male_Adult"	0.7443017	"Kentish (Tuzla)"	9
"Female_Juvenile"	0.3393201	"Kentish (Tuzla)"	9
"Male_Juvenile"	0.6204492	"Kentish (Tuzla)"	9
"Female_Chick"	0.391024395396592	"Kentish (Tuzla)"	9
"Male_Chick"	0.203141260641244	"Kentish (Tuzla)"	9
"Female_Adult"	0.7827667	"Kentish (Tuzla)"	10
"Male_Adult"	0.7466211	"Kentish (Tuzla)"	10
"Female_Juvenile"	0.3873448	"Kentish (Tuzla)"	10
"Male_Juvenile"	0.6049224	"Kentish (Tuzla)"	10
"Female_Chick"	0.488459756513109	"Kentish (Tuzla)"	10
"Male_Chick"	0.18888327101155	"Kentish (Tuzla)"	10
"Female_Adult"	0.7471336	"Kentish (Tuzla)"	11
"Male_Adult"	0.7554961	"Kentish (Tuzla)"	11
"Female_Juvenile"	0.371088	"Kentish (Tuzla)"	11
"Male_Juvenile"	0.6262132	"Kentish (Tuzla)"	11
"Female_Chick"	0.542385889099828	"Kentish (Tuzla)"	11
"Male_Chick"	0.460594342898401	"Kentish (Tuzla)"	11
"Female_Adult"	0.742634	"Kentish (Tuzla)"	12
"Male_Adult"	0.7396766	"Kentish (Tuzla)"	12
"Female_Juvenile"	0.3950853	"Kentish (Tuzla)"	12
"Male_Juvenile"	0.6045515	"Kentish (Tuzla)"	12
"Female_Chick"	0.427722405507313	"Kentish (Tuzla)"	12
"Male_Chick"	0.343090154589892	"Kentish (Tuzla)"	12
"Female_Adult"	0.7649985	"Kentish (Tuzla)"	13
"Male_Adult"	0.7162811	"Kentish (Tuzla)"	13
"Female_Juvenile"	0.3734352	"Kentish (Tuzla)"	13
"Male_Juvenile"	0.4395378	"Kentish (Tuzla)"	13
"Female_Chick"	0.51356887106717	"Kentish (Tuzla)"	13
"Male_Chick"	0.423057569309575	"Kentish (Tuzla)"	13
"Female_Adult"	0.7637778	"Kentish (Tuzla)"	14
"Male_Adult"	0.7303834	"Kentish (Tuzla)"	14
"Female_Juvenile"	0.3817353	"Kentish (Tuzla)"	14
"Male_Juvenile"	0.6133254	"Kentish (Tuzla)"	14
"Female_Chick"	0.467315410738011	"Kentish (Tuzla)"	14
"Male_Chick"	0.427968925655932	"Kentish (Tuzla)"	14
"Female_Adult"	0.7644651	"Kentish (Tuzla)"	15
"Male_Adult"	0.734495	"Kentish (Tuzla)"	15
"Female_Juvenile"	0.40129	"Kentish (Tuzla)"	15
"Male_Juvenile"	0.4886211	"Kentish (Tuzla)"	15
"Female_Chick"	0.297435238087865	"Kentish (Tuzla)"	15
"Male_Chick"	0.208246972310038	"Kentish (Tuzla)"	15
"Female_Adult"	0.773911	"Kentish (Tuzla)"	16
"Male_Adult"	0.7681316	"Kentish (Tuzla)"	16
"Female_Juvenile"	0.3669026	"Kentish (Tuzla)"	16
"Male_Juvenile"	0.6682534	"Kentish (Tuzla)"	16
"Female_Chick"	0.333845915964229	"Kentish (Tuzla)"	16
"Male_Chick"	0.198964594149564	"Kentish (Tuzla)"	16
"Female_Adult"	0.7844996	"Kentish (Tuzla)"	17
"Male_Adult"	0.726698	"Kentish (Tuzla)"	17
"Female_Juvenile"	0.400221	"Kentish (Tuzla)"	17
"Male_Juvenile"	0.6068206	"Kentish (Tuzla)"	17
"Female_Chick"	0.497658002598843	"Kentish (Tuzla)"	17
"Male_Chick"	0.283568207175588	"Kentish (Tuzla)"	17
"Female_Adult"	0.7599862	"Kentish (Tuzla)"	18
"Male_Adult"	0.7421075	"Kentish (Tuzla)"	18
"Female_Juvenile"	0.3797355	"Kentish (Tuzla)"	18
"Male_Juvenile"	0.5430703	"Kentish (Tuzla)"	18
"Female_Chick"	0.381318275904065	"Kentish (Tuzla)"	18
"Male_Chick"	0.0883680429844325	"Kentish (Tuzla)"	18
"Female_Adult"	0.7748611	"Kentish (Tuzla)"	19
"Male_Adult"	0.7496028	"Kentish (Tuzla)"	19
"Female_Juvenile"	0.492167	"Kentish (Tuzla)"	19
"Male_Juvenile"	0.6771481	"Kentish (Tuzla)"	19
"Female_Chick"	0.485595934601557	"Kentish (Tuzla)"	19
"Male_Chick"	0.307109628064689	"Kentish (Tuzla)"	19
"Female_Adult"	0.7626351	"Kentish (Tuzla)"	20
"Male_Adult"	0.7573575	"Kentish (Tuzla)"	20
"Female_Juvenile"	0.4356531	"Kentish (Tuzla)"	20
