"Phi"	"p"	"model"	"npar"	"AICc"	"DeltaAICc"	"weight"	"Deviance"	"species"	"iter"
"~age * sex"	"~age + time"	"Phi(~age * sex)p(~age + time)"	11	927.793986474259	0	0.623387714681249	180.50762	"White-fronted"	1
"~age * sex"	"~time + age + sex"	"Phi(~age * sex)p(~time + age + sex)"	12	928.86009	1.06610352574091	0.365811033188953	179.49808	"White-fronted"	1
"~age * sex"	"~age * time"	"Phi(~age * sex)p(~age * time)"	16	935.93704591195	8.14305943769068	0.0106295615107019	178.20719	"White-fronted"	1
"~age * sex"	"~time * age * sex"	"Phi(~age * sex)p(~time * age * sex)"	28	944.188484102564	16.3944976283051	0.000171687355980573	160.71141	"White-fronted"	1
"~age * sex"	"~time"	"Phi(~age * sex)p(~time)"	10	966.952699127726	39.1587126534669	1.95682427515334e-09	221.73551	"White-fronted"	1
"~age * sex"	"~sex + time"	"Phi(~age * sex)p(~sex + time)"	11	968.440576474259	40.6465900000001	9.29958068155171e-10	221.15421	"White-fronted"	1
"~age * sex"	"~age * Time"	"Phi(~age * sex)p(~age * Time)"	8	971.725442484472	43.9314560102131	1.79954941043891e-10	230.62733	"White-fronted"	1
"~age * sex"	"~Time * age * sex"	"Phi(~age * sex)p(~Time * age * sex)"	12	972.15507	44.3610835257409	1.45168151240153e-10	222.79306	"White-fronted"	1
"~age * sex"	"~sex * time"	"Phi(~age * sex)p(~sex * time)"	16	974.60291591195	46.8089294376907	4.26902167594698e-11	216.87306	"White-fronted"	1
"~age * sex"	"~age + Time"	"Phi(~age * sex)p(~age + Time)"	7	978.716333410853	50.9223469365937	5.45897492157079e-12	239.66818	"White-fronted"	1
"~age * sex"	"~Time + age + sex"	"Phi(~age * sex)p(~Time + age + sex)"	8	979.873102484472	52.0791160102131	3.06141274874818e-12	238.77498	"White-fronted"	1
"~age * sex"	"~Quadratic * age * sex"	"Phi(~age * sex)p(~Quadratic * age * sex)"	12	997.23586	69.441873525741	0	247.87384	"White-fronted"	1
"~age * sex"	"~Quadratic * age"	"Phi(~age * sex)p(~Quadratic * age)"	8	999.493332484472	71.699346010213	0	258.39522	"White-fronted"	1
"~age * sex"	"~Time"	"Phi(~age * sex)p(~Time)"	6	999.671380959752	71.8773944854933	0	262.66684	"White-fronted"	1
"~age * sex"	"~sex * Time"	"Phi(~age * sex)p(~sex * Time)"	8	1000.16596248447	72.3719760102131	0	259.06785	"White-fronted"	1
"~age * sex"	"~sex + Time"	"Phi(~age * sex)p(~sex + Time)"	7	1000.78578341085	72.9917969365937	0	261.73762	"White-fronted"	1
"~age * sex"	"~Quadratic + age"	"Phi(~age * sex)p(~Quadratic + age)"	7	1010.30338341085	82.5093969365937	0	271.25522	"White-fronted"	1
"~age * sex"	"~Quadratic + age + sex"	"Phi(~age * sex)p(~Quadratic + age + sex)"	8	1011.74308248447	83.9490960102131	0	270.64497	"White-fronted"	1
"~age * sex"	"~Quadratic * sex"	"Phi(~age * sex)p(~Quadratic * sex)"	8	1024.39500248447	96.6010160102129	0	283.29684	"White-fronted"	1
"~age * sex"	"~Quadratic"	"Phi(~age * sex)p(~Quadratic)"	6	1025.94503095975	98.1510444854933	0	288.94053	"White-fronted"	1
"~age * sex"	"~Quadratic + sex"	"Phi(~age * sex)p(~Quadratic + sex)"	7	1027.29884341085	99.5048569365937	0	288.25067	"White-fronted"	1
"~age * sex"	"~age * sex"	"Phi(~age * sex)p(~age * sex)"	8	1055.21600248447	127.422016010213	0	314.1179	"White-fronted"	1
"~age * sex"	"~age"	"Phi(~age * sex)p(~age)"	6	1056.26813095975	128.474144485493	0	319.2636	"White-fronted"	1
"~age * sex"	"~age + sex"	"Phi(~age * sex)p(~age + sex)"	7	1058.22734341085	130.433356936594	0	319.17915	"White-fronted"	1
"~age * sex"	"~1"	"Phi(~age * sex)p(~1)"	5	1075.67443570325	147.880449228987	0	340.70715	"White-fronted"	1
"~age * sex"	"~sex"	"Phi(~age * sex)p(~sex)"	6	1077.44403095975	149.650044485493	0	340.43951	"White-fronted"	1
"~age * sex"	"~age + time"	"Phi(~age * sex)p(~age + time)"	11	989.047919661017	0	0.56643609393553	235.08876	"White-fronted"	2
"~age * sex"	"~time + age + sex"	"Phi(~age * sex)p(~time + age + sex)"	12	990.823481481482	1.77556182046465	0.233126996697927	234.78961	"White-fronted"	2
"~age * sex"	"~time * age * sex"	"Phi(~age * sex)p(~time * age * sex)"	28	991.981240253165	2.93332059214765	0.130673777520838	201.85923	"White-fronted"	2
"~age * sex"	"~age * time"	"Phi(~age * sex)p(~age * time)"	16	993.236450496894	4.1885308358776	0.0697626556727129	228.83934	"White-fronted"	2
"~age * sex"	"~sex * time"	"Phi(~age * sex)p(~sex * time)"	16	1019.25234049689	30.2044208358775	1.56438725904016e-07	254.85524	"White-fronted"	2
"~age * sex"	"~age * Time"	"Phi(~age * sex)p(~age * Time)"	8	1019.55275889571	30.5048392346887	1.34619893859599e-07	271.77951	"White-fronted"	2
"~age * sex"	"~Time * age * sex"	"Phi(~age * sex)p(~Time * age * sex)"	12	1020.62963148148	31.5817118204646	7.85722758964553e-08	264.59577	"White-fronted"	2
"~age * sex"	"~age + Time"	"Phi(~age * sex)p(~age + Time)"	7	1021.31131607963	32.2633964186157	5.58783280834248e-08	275.58739	"White-fronted"	2
"~age * sex"	"~time"	"Phi(~age * sex)p(~time)"	10	1023.19096153846	34.1430418774446	2.18315000824787e-08	271.30015	"White-fronted"	2
"~age * sex"	"~Time + age + sex"	"Phi(~age * sex)p(~Time + age + sex)"	8	1023.35145889571	34.3035392346886	2.01480035914693e-08	275.5782	"White-fronted"	2
"~age * sex"	"~sex + time"	"Phi(~age * sex)p(~sex + time)"	11	1025.03867966102	35.99076	8.66675830959992e-09	271.07956	"White-fronted"	2
"~age * sex"	"~Time"	"Phi(~age * sex)p(~Time)"	6	1039.59264036697	50.5447207059555	5.9910683360405e-12	295.91183	"White-fronted"	2
"~age * sex"	"~Quadratic * age"	"Phi(~age * sex)p(~Quadratic * age)"	8	1040.40965889571	51.3617392346886	3.98190554600137e-12	292.63637	"White-fronted"	2
"~age * sex"	"~Quadratic * age * sex"	"Phi(~age * sex)p(~Quadratic * age * sex)"	12	1040.50378148148	51.4558618204647	3.79885305002431e-12	284.46989	"White-fronted"	2
"~age * sex"	"~sex + Time"	"Phi(~age * sex)p(~sex + Time)"	7	1041.63491607963	52.5869964186157	2.15789215949405e-12	295.91105	"White-fronted"	2
"~age * sex"	"~sex * Time"	"Phi(~age * sex)p(~sex * Time)"	8	1043.46325889571	54.4153392346888	8.64988112533819e-13	295.69002	"White-fronted"	2
"~age * sex"	"~Quadratic + age"	"Phi(~age * sex)p(~Quadratic + age)"	7	1044.48281607963	55.4348964186157	5.1953655413678e-13	298.75893	"White-fronted"	2
"~age * sex"	"~Quadratic + age + sex"	"Phi(~age * sex)p(~Quadratic + age + sex)"	8	1046.47735889571	57.4294392346886	1.91649036439018e-13	298.70412	"White-fronted"	2
"~age * sex"	"~Quadratic"	"Phi(~age * sex)p(~Quadratic)"	6	1057.85164036697	68.8037207059555	0	314.17078	"White-fronted"	2
"~age * sex"	"~Quadratic + sex"	"Phi(~age * sex)p(~Quadratic + sex)"	7	1059.87901607963	70.8310964186156	0	314.15511	"White-fronted"	2
"~age * sex"	"~Quadratic * sex"	"Phi(~age * sex)p(~Quadratic * sex)"	8	1060.82655889571	71.7786392346887	0	313.05331	"White-fronted"	2
"~age * sex"	"~age * sex"	"Phi(~age * sex)p(~age * sex)"	8	1101.79045889571	112.742539234689	0	354.01721	"White-fronted"	2
"~age * sex"	"~age"	"Phi(~age * sex)p(~age)"	6	1103.48064036697	114.432720705956	0	359.79981	"White-fronted"	2
"~age * sex"	"~age + sex"	"Phi(~age * sex)p(~age + sex)"	7	1105.52321607963	116.475296418616	0	359.79931	"White-fronted"	2
"~age * sex"	"~1"	"Phi(~age * sex)p(~1)"	5	1119.61300305344	130.565083392418	0	377.96903	"White-fronted"	2
"~age * sex"	"~sex"	"Phi(~age * sex)p(~sex)"	6	1121.64954036697	132.601620705955	0	377.96869	"White-fronted"	2
"~age * sex"	"~age + time"	"Phi(~age * sex)p(~age + time)"	11	955.613262051282	0	0.634219418070429	190.0081	"White-fronted"	3
"~age * sex"	"~time + age + sex"	"Phi(~age * sex)p(~time + age + sex)"	12	957.441116575342	1.8278545240604	0.254288059722965	189.753	"White-fronted"	3
"~age * sex"	"~age * time"	"Phi(~age * sex)p(~age * time)"	16	959.368421034483	3.75515898320066	0.0970101379749565	183.27662	"White-fronted"	3
"~age * sex"	"~time * age * sex"	"Phi(~age * sex)p(~time * age * sex)"	28	963.172784929577	7.55952287829541	0.014478047557839	161.15976	"White-fronted"	3
"~age * sex"	"~time"	"Phi(~age * sex)p(~time)"	10	980.05922662116	24.4459645698784	3.11792580263345e-06	216.52993	"White-fronted"	3
"~age * sex"	"~sex + time"	"Phi(~age * sex)p(~sex + time)"	11	982.133222051282	26.5199600000001	1.10535909920264e-06	216.52807	"White-fronted"	3
"~age * sex"	"~sex * time"	"Phi(~age * sex)p(~sex * time)"	16	986.697051034483	31.0837889832007	1.12844531754224e-07	210.60525	"White-fronted"	3
"~age * sex"	"~Time * age * sex"	"Phi(~age * sex)p(~Time * age * sex)"	12	997.717536575342	42.1042745240604	4.56470262152571e-10	230.02942	"White-fronted"	3
"~age * sex"	"~age * Time"	"Phi(~age * sex)p(~age * Time)"	8	1002.19906795918	46.5858059079015	4.85579467368627e-11	242.8003	"White-fronted"	3
"~age * sex"	"~age + Time"	"Phi(~age * sex)p(~age + Time)"	7	1003.27050280136	47.6572407500761	2.84185028479036e-11	245.92647	"White-fronted"	3
"~age * sex"	"~Time + age + sex"	"Phi(~age * sex)p(~Time + age + sex)"	8	1005.20047795918	49.5872159079016	1.08271066303965e-11	245.80171	"White-fronted"	3
"~age * sex"	"~Time"	"Phi(~age * sex)p(~Time)"	6	1015.73647288136	60.123210830074	5.58020541112721e-14	260.44028	"White-fronted"	3
"~age * sex"	"~sex * Time"	"Phi(~age * sex)p(~sex * Time)"	8	1017.38399795918	61.7707359079016	2.44846928785304e-14	257.9852	"White-fronted"	3
"~age * sex"	"~sex + Time"	"Phi(~age * sex)p(~sex + Time)"	7	1017.44825280136	61.8349907500761	2.37105647946057e-14	260.10418	"White-fronted"	3
"~age * sex"	"~Quadratic * age * sex"	"Phi(~age * sex)p(~Quadratic * age * sex)"	12	1024.22593657534	68.6126745240605	0	256.53782	"White-fronted"	3
"~age * sex"	"~Quadratic * age"	"Phi(~age * sex)p(~Quadratic * age)"	8	1029.15809795918	73.5448359079015	0	269.75934	"White-fronted"	3
"~age * sex"	"~Quadratic + age"	"Phi(~age * sex)p(~Quadratic + age)"	7	1029.50395280136	73.890690750076	0	272.15993	"White-fronted"	3
"~age * sex"	"~Quadratic + age + sex"	"Phi(~age * sex)p(~Quadratic + age + sex)"	8	1031.43609795918	75.8228359079015	0	272.03736	"White-fronted"	3
"~age * sex"	"~Quadratic"	"Phi(~age * sex)p(~Quadratic)"	6	1038.05567288136	82.4424108300738	0	282.75943	"White-fronted"	3
"~age * sex"	"~Quadratic + sex"	"Phi(~age * sex)p(~Quadratic + sex)"	7	1039.90855280136	84.2952907500761	0	282.56454	"White-fronted"	3
"~age * sex"	"~Quadratic * sex"	"Phi(~age * sex)p(~Quadratic * sex)"	8	1040.95219795918	85.3389359079016	0	281.55345	"White-fronted"	3
"~age * sex"	"~age * sex"	"Phi(~age * sex)p(~age * sex)"	8	1052.56679795918	96.9535359079015	0	293.16802	"White-fronted"	3
"~age * sex"	"~age"	"Phi(~age * sex)p(~age)"	6	1064.26747288136	108.654210830074	0	308.97119	"White-fronted"	3
"~age * sex"	"~age + sex"	"Phi(~age * sex)p(~age + sex)"	7	1065.07835280136	109.465090750076	0	307.73432	"White-fronted"	3
"~age * sex"	"~1"	"Phi(~age * sex)p(~1)"	5	1075.44612284264	119.832860791357	0	322.19078	"White-fronted"	3
"~age * sex"	"~sex"	"Phi(~age * sex)p(~sex)"	6	1075.76957288136	120.156310830074	0	320.47329	"White-fronted"	3
"~age * sex"	"~time * age * sex"	"Phi(~age * sex)p(~time * age * sex)"	28	987.891332214765	0	0.536356228585081	190.62812	"White-fronted"	4
"~age * sex"	"~age + time"	"Phi(~age * sex)p(~age + time)"	11	988.927578841762	1.03624662699667	0.319473788838835	227.95853	"White-fronted"	4
"~age * sex"	"~time + age + sex"	"Phi(~age * sex)p(~time + age + sex)"	12	990.544913921569	2.65358170680349	0.142309988016103	227.49673	"White-fronted"	4
"~age * sex"	"~age * time"	"Phi(~age * sex)p(~age * time)"	16	999.233396842105	11.3420646273402	0.00184737596001605	227.80027	"White-fronted"	4
"~age * sex"	"~sex * time"	"Phi(~age * sex)p(~sex * time)"	16	1009.72910684211	21.8377746273402	9.71495558671745e-06	238.29599	"White-fronted"	4
"~age * sex"	"~time"	"Phi(~age * sex)p(~time)"	10	1014.59517618893	26.7038439741599	8.52682375746157e-07	255.69849	"White-fronted"	4
"~age * sex"	"~age * Time"	"Phi(~age * sex)p(~age * Time)"	8	1014.71869623377	26.827364019001	8.01613919119807e-07	259.94655	"White-fronted"	4
"~age * sex"	"~sex + time"	"Phi(~age * sex)p(~sex + time)"	11	1016.21087884176	28.3195466269967	3.80138549552263e-07	255.24182	"White-fronted"	4
"~age * sex"	"~age + Time"	"Phi(~age * sex)p(~age + Time)"	7	1016.26462350081	28.3732912860452	3.70059373183882e-07	263.54474	"White-fronted"	4
"~age * sex"	"~Time * age * sex"	"Phi(~age * sex)p(~Time * age * sex)"	12	1016.41780392157	28.5264717068035	3.42774655582363e-07	253.36962	"White-fronted"	4
"~age * sex"	"~Time + age + sex"	"Phi(~age * sex)p(~Time + age + sex)"	8	1018.00006623377	30.1087340190011	1.55390622890237e-07	263.22792	"White-fronted"	4
"~age * sex"	"~Time"	"Phi(~age * sex)p(~Time)"	6	1029.3533223301	41.461990115332	5.32226592901837e-10	278.67898	"White-fronted"	4
"~age * sex"	"~sex + Time"	"Phi(~age * sex)p(~sex + Time)"	7	1031.03762350081	43.1462912860451	2.29274216652662e-10	278.31774	"White-fronted"	4
"~age * sex"	"~sex * Time"	"Phi(~age * sex)p(~sex * Time)"	8	1033.02286623377	45.1315340190012	8.49699252534441e-11	278.25073	"White-fronted"	4
"~age * sex"	"~Quadratic * age"	"Phi(~age * sex)p(~Quadratic * age)"	8	1033.09286623377	45.2015340190013	8.20474200437195e-11	278.32069	"White-fronted"	4
"~age * sex"	"~Quadratic * age * sex"	"Phi(~age * sex)p(~Quadratic * age * sex)"	12	1035.09010392157	47.1987717068035	3.02252760441088e-11	272.04192	"White-fronted"	4
"~age * sex"	"~Quadratic + age"	"Phi(~age * sex)p(~Quadratic + age)"	7	1036.15222350081	48.260891286045	1.77719032270632e-11	283.43234	"White-fronted"	4
"~age * sex"	"~Quadratic + age + sex"	"Phi(~age * sex)p(~Quadratic + age + sex)"	8	1037.71366623377	49.8223340190012	8.14087260038309e-12	282.94151	"White-fronted"	4
"~age * sex"	"~Quadratic"	"Phi(~age * sex)p(~Quadratic)"	6	1045.9109223301	58.0195901153321	1.35101264431655e-13	295.23661	"White-fronted"	4
"~age * sex"	"~Quadratic + sex"	"Phi(~age * sex)p(~Quadratic + sex)"	7	1047.45882350081	59.5674912860451	6.23070149388156e-14	294.73896	"White-fronted"	4
"~age * sex"	"~Quadratic * sex"	"Phi(~age * sex)p(~Quadratic * sex)"	8	1049.04906623377	61.1577340190012	2.81332641080228e-14	294.27688	"White-fronted"	4
"~age * sex"	"~age * sex"	"Phi(~age * sex)p(~age * sex)"	8	1073.03386623377	85.1425340190011	0	318.26171	"White-fronted"	4
"~age * sex"	"~age"	"Phi(~age * sex)p(~age)"	6	1075.3881223301	87.4967901153319	0	324.71387	"White-fronted"	4
