"Sex_Age"	"estimate"	"species"	"iter"
"Female_Adult"	0.9088932	"White-fronted"	1
"Male_Adult"	0.9395614	"White-fronted"	1
"Female_Juvenile"	0.4663016	"White-fronted"	1
"Male_Juvenile"	0.3893505	"White-fronted"	1
"Female_Chick"	0.28826646950411	"White-fronted"	1
"Male_Chick"	0.388229369051193	"White-fronted"	1
"Female_Adult"	0.9346403	"White-fronted"	2
"Male_Adult"	0.9369478	"White-fronted"	2
"Female_Juvenile"	0.5018135	"White-fronted"	2
"Male_Juvenile"	0.3566143	"White-fronted"	2
"Female_Chick"	0.245685109259573	"White-fronted"	2
"Male_Chick"	0.135278274416372	"White-fronted"	2
"Female_Adult"	0.9293759	"White-fronted"	3
"Male_Adult"	0.9999999	"White-fronted"	3
"Female_Juvenile"	0.5704842	"White-fronted"	3
"Male_Juvenile"	0.3642258	"White-fronted"	3
"Female_Chick"	0.133882646783372	"White-fronted"	3
"Male_Chick"	0.346582704939203	"White-fronted"	3
"Female_Adult"	0.9529094	"White-fronted"	4
"Male_Adult"	0.9289982	"White-fronted"	4
"Female_Juvenile"	0.4529254	"White-fronted"	4
"Male_Juvenile"	0.3869123	"White-fronted"	4
"Female_Chick"	0.44836035700359	"White-fronted"	4
"Male_Chick"	0.380025772130295	"White-fronted"	4
"Female_Adult"	0.9192038	"White-fronted"	5
"Male_Adult"	0.9306262	"White-fronted"	5
"Female_Juvenile"	0.6410439	"White-fronted"	5
"Male_Juvenile"	0.344226	"White-fronted"	5
"Female_Chick"	0.475715853921308	"White-fronted"	5
"Male_Chick"	0.546841638451606	"White-fronted"	5
"Female_Adult"	0.8828948	"White-fronted"	6
"Male_Adult"	0.9406813	"White-fronted"	6
"Female_Juvenile"	0.5426344	"White-fronted"	6
"Male_Juvenile"	0.4103503	"White-fronted"	6
"Female_Chick"	0.639926597919686	"White-fronted"	6
"Male_Chick"	0.426864503797846	"White-fronted"	6
"Female_Adult"	0.9331579	"White-fronted"	7
"Male_Adult"	0.9397583	"White-fronted"	7
"Female_Juvenile"	0.5174237	"White-fronted"	7
"Male_Juvenile"	0.4407147	"White-fronted"	7
"Female_Chick"	0.457438335144462	"White-fronted"	7
"Male_Chick"	0.470756045378217	"White-fronted"	7
"Female_Adult"	0.9282155	"White-fronted"	8
"Male_Adult"	0.9386821	"White-fronted"	8
"Female_Juvenile"	0.4975967	"White-fronted"	8
"Male_Juvenile"	0.4784462	"White-fronted"	8
"Female_Chick"	0.364730441591335	"White-fronted"	8
"Male_Chick"	0.344065911291437	"White-fronted"	8
"Female_Adult"	0.9086937	"White-fronted"	9
"Male_Adult"	0.9412679	"White-fronted"	9
"Female_Juvenile"	0.555407	"White-fronted"	9
"Male_Juvenile"	0.3223487	"White-fronted"	9
"Female_Chick"	0.195355951434634	"White-fronted"	9
"Male_Chick"	0.311951649426697	"White-fronted"	9
"Female_Adult"	0.9421803	"White-fronted"	10
"Male_Adult"	0.9294789	"White-fronted"	10
"Female_Juvenile"	0.543315	"White-fronted"	10
"Male_Juvenile"	0.3709357	"White-fronted"	10
"Female_Chick"	0.384830643220977	"White-fronted"	10
"Male_Chick"	0.578739851872851	"White-fronted"	10
"Female_Adult"	0.9490392	"White-fronted"	11
"Male_Adult"	0.9243279	"White-fronted"	11
