"sex_age"	"estimate"	"iter"	"population"
"Female_Adult"	0.69944	1	"SP"
"Female_Juvenile"	0.0663485	1	"SP"
"Male_Adult"	0.6840497	1	"SP"
"Male_Juvenile"	0.1033304	1	"SP"
"Female_Adult"	0.6974389	2	"SP"
"Female_Juvenile"	0.1031113	2	"SP"
"Male_Adult"	0.727723	2	"SP"
"Male_Juvenile"	0.1192853	2	"SP"
"Female_Adult"	0.6969685	3	"SP"
"Female_Juvenile"	0.0797805	3	"SP"
"Male_Adult"	0.7207616	3	"SP"
"Male_Juvenile"	0.1213137	3	"SP"
"Female_Adult"	0.6620967	4	"SP"
"Female_Juvenile"	0.0900517	4	"SP"
"Male_Adult"	0.7107905	4	"SP"
"Male_Juvenile"	0.1443249	4	"SP"
"Female_Adult"	0.6302682	5	"SP"
"Female_Juvenile"	0.0660215	5	"SP"
"Male_Adult"	0.7208612	5	"SP"
"Male_Juvenile"	0.1408642	5	"SP"
"Female_Adult"	0.6634865	6	"SP"
"Female_Juvenile"	0.0797839	6	"SP"
"Male_Adult"	0.7457332	6	"SP"
"Male_Juvenile"	0.1727821	6	"SP"
"Female_Adult"	0.6935268	7	"SP"
"Female_Juvenile"	0.0610584	7	"SP"
"Male_Adult"	0.7326319	7	"SP"
"Male_Juvenile"	0.1515577	7	"SP"
"Female_Adult"	0.6599332	8	"SP"
"Female_Juvenile"	0.1124128	8	"SP"
"Male_Adult"	0.6976392	8	"SP"
"Male_Juvenile"	0.133285	8	"SP"
"Female_Adult"	0.699068	9	"SP"
"Female_Juvenile"	0.0632588	9	"SP"
"Male_Adult"	0.6940435	9	"SP"
"Male_Juvenile"	0.1826378	9	"SP"
"Female_Adult"	0.7061928	10	"SP"
"Female_Juvenile"	0.0698851	10	"SP"
"Male_Adult"	0.7536584	10	"SP"
"Male_Juvenile"	0.1203295	10	"SP"
"Female_Adult"	0.6677866	11	"SP"
"Female_Juvenile"	0.0597992	11	"SP"
"Male_Adult"	0.6849482	11	"SP"
"Male_Juvenile"	0.1843043	11	"SP"
"Female_Adult"	0.7074086	12	"SP"
"Female_Juvenile"	0.0669893	12	"SP"
"Male_Adult"	0.6495586	12	"SP"
"Male_Juvenile"	0.1277013	12	"SP"
"Female_Adult"	0.7240286	13	"SP"
"Female_Juvenile"	0.0909132	13	"SP"
"Male_Adult"	0.704525	13	"SP"
"Male_Juvenile"	0.1679315	13	"SP"
"Female_Adult"	0.6606784	14	"SP"
"Female_Juvenile"	0.079479	14	"SP"
"Male_Adult"	0.691253	14	"SP"
"Male_Juvenile"	0.1667822	14	"SP"
"Female_Adult"	0.7045577	15	"SP"
"Female_Juvenile"	0.106137	15	"SP"
"Male_Adult"	0.6876033	15	"SP"
"Male_Juvenile"	0.16419	15	"SP"
"Female_Adult"	0.6709283	16	"SP"
"Female_Juvenile"	0.0634315	16	"SP"
"Male_Adult"	0.7039759	16	"SP"
"Male_Juvenile"	0.1507224	16	"SP"
"Female_Adult"	0.6966447	17	"SP"
"Female_Juvenile"	0.1030381	17	"SP"
"Male_Adult"	0.6820073	17	"SP"
"Male_Juvenile"	0.1830639	17	"SP"
"Female_Adult"	0.7352972	18	"SP"
"Female_Juvenile"	0.0985725	18	"SP"
"Male_Adult"	0.6940197	18	"SP"
"Male_Juvenile"	0.1370899	18	"SP"
"Female_Adult"	0.7168314	19	"SP"
"Female_Juvenile"	0.0861265	19	"SP"
"Male_Adult"	0.7069407	19	"SP"
"Male_Juvenile"	0.1614891	19	"SP"
"Female_Adult"	0.7102501	20	"SP"
"Female_Juvenile"	0.0838172	20	"SP"
"Male_Adult"	0.6503698	20	"SP"
"Male_Juvenile"	0.1735522	20	"SP"
"Female_Adult"	0.6889753	21	"SP"
"Female_Juvenile"	0.0768978	21	"SP"
"Male_Adult"	0.6905077	21	"SP"
"Male_Juvenile"	0.1496586	21	"SP"
"Female_Adult"	0.6845892	22	"SP"
"Female_Juvenile"	0.0992319	22	"SP"
"Male_Adult"	0.7164052	22	"SP"
"Male_Juvenile"	0.1427894	22	"SP"
"Female_Adult"	0.7558002	23	"SP"
"Female_Juvenile"	0.0971193	23	"SP"
"Male_Adult"	0.6989748	23	"SP"
"Male_Juvenile"	0.1738506	23	"SP"
"Female_Adult"	0.695096	24	"SP"
"Female_Juvenile"	0.0859855	24	"SP"
"Male_Adult"	0.7249355	24	"SP"
"Male_Juvenile"	0.1468352	24	"SP"
"Female_Adult"	0.6959935	25	"SP"
"Female_Juvenile"	0.1029269	25	"SP"
"Male_Adult"	0.6953137	25	"SP"
"Male_Juvenile"	0.1340613	25	"SP"
"Female_Adult"	0.6555154	26	"SP"
"Female_Juvenile"	0.0719555	26	"SP"
"Male_Adult"	0.6799622	26	"SP"
"Male_Juvenile"	0.1524741	26	"SP"
"Female_Adult"	0.7101055	27	"SP"
"Female_Juvenile"	0.0646432	27	"SP"
"Male_Adult"	0.6685435	27	"SP"
"Male_Juvenile"	0.191548	27	"SP"
"Female_Adult"	0.6534954	28	"SP"
"Female_Juvenile"	0.0682856	28	"SP"
"Male_Adult"	0.626247	28	"SP"
"Male_Juvenile"	0.1913816	28	"SP"
"Female_Adult"	0.6965095	29	"SP"
"Female_Juvenile"	0.0708145	29	"SP"
"Male_Adult"	0.7110105	29	"SP"
"Male_Juvenile"	0.1827516	29	"SP"
"Female_Adult"	0.6978055	30	"SP"
"Female_Juvenile"	0.0746992	30	"SP"
"Male_Adult"	0.666316	30	"SP"
"Male_Juvenile"	0.129183	30	"SP"
"Female_Adult"	0.6908055	31	"SP"
"Female_Juvenile"	0.0951692	31	"SP"
"Male_Adult"	0.7139829	31	"SP"
"Male_Juvenile"	0.1460373	31	"SP"
"Female_Adult"	0.6802095	32	"SP"
"Female_Juvenile"	0.071007	32	"SP"
"Male_Adult"	0.7175154	32	"SP"
"Male_Juvenile"	0.1321728	32	"SP"
"Female_Adult"	0.5958577	33	"SP"
"Female_Juvenile"	0.0968121	33	"SP"
"Male_Adult"	0.7012037	33	"SP"
"Male_Juvenile"	0.1676208	33	"SP"
"Female_Adult"	0.6930856	34	"SP"
"Female_Juvenile"	0.0888396	34	"SP"
"Male_Adult"	0.6964082	34	"SP"
"Male_Juvenile"	0.1216079	34	"SP"
"Female_Adult"	0.7174296	35	"SP"
"Female_Juvenile"	0.1013648	35	"SP"
"Male_Adult"	0.70461	35	"SP"
"Male_Juvenile"	0.1594422	35	"SP"
"Female_Adult"	0.7017123	36	"SP"
"Female_Juvenile"	0.0861634	36	"SP"
"Male_Adult"	0.6853758	36	"SP"
"Male_Juvenile"	0.1769335	36	"SP"
"Female_Adult"	0.6675411	37	"SP"
"Female_Juvenile"	0.091574	37	"SP"
"Male_Adult"	0.7341137	37	"SP"
"Male_Juvenile"	0.1414579	37	"SP"
"Female_Adult"	0.6912007	38	"SP"
"Female_Juvenile"	0.0861709	38	"SP"
"Male_Adult"	0.6866953	38	"SP"
"Male_Juvenile"	0.182852	38	"SP"
"Female_Adult"	0.6851961	39	"SP"
"Female_Juvenile"	0.101624	39	"SP"
"Male_Adult"	0.7045194	39	"SP"
"Male_Juvenile"	0.158255	39	"SP"
"Female_Adult"	0.6862545	40	"SP"
"Female_Juvenile"	0.0583236	40	"SP"
"Male_Adult"	0.695993	40	"SP"
"Male_Juvenile"	0.1694949	40	"SP"
"Female_Adult"	0.6673784	41	"SP"
"Female_Juvenile"	0.0814415	41	"SP"
"Male_Adult"	0.6840969	41	"SP"
"Male_Juvenile"	0.1545957	41	"SP"
"Female_Adult"	0.714167	42	"SP"
"Female_Juvenile"	0.0914092	42	"SP"
"Male_Adult"	0.6937265	42	"SP"
"Male_Juvenile"	0.1395615	42	"SP"
"Female_Adult"	0.6681974	43	"SP"
"Female_Juvenile"	0.1114285	43	"SP"
"Male_Adult"	0.7019783	43	"SP"
"Male_Juvenile"	0.138046	43	"SP"
"Female_Adult"	0.67449	44	"SP"
"Female_Juvenile"	0.1026057	44	"SP"
"Male_Adult"	0.6872534	44	"SP"
"Male_Juvenile"	0.1471548	44	"SP"
"Female_Adult"	0.6876083	45	"SP"
"Female_Juvenile"	0.0757903	45	"SP"
"Male_Adult"	0.700628	45	"SP"
"Male_Juvenile"	0.1644882	45	"SP"
"Female_Adult"	0.7210261	46	"SP"
"Female_Juvenile"	0.0850572	46	"SP"
"Male_Adult"	0.6913137	46	"SP"
"Male_Juvenile"	0.1288743	46	"SP"
"Female_Adult"	0.6669574	47	"SP"
"Female_Juvenile"	0.0966287	47	"SP"
"Male_Adult"	0.6943323	47	"SP"
"Male_Juvenile"	0.1496365	47	"SP"
"Female_Adult"	0.6800092	48	"SP"
"Female_Juvenile"	0.0914697	48	"SP"
"Male_Adult"	0.687105	48	"SP"
"Male_Juvenile"	0.1175383	48	"SP"
"Female_Adult"	0.6254379	49	"SP"
"Female_Juvenile"	0.0842317	49	"SP"
"Male_Adult"	0.7134786	49	"SP"
"Male_Juvenile"	0.1697327	49	"SP"
"Female_Adult"	0.6346874	50	"SP"
"Female_Juvenile"	0.0576674	50	"SP"
"Male_Adult"	0.7422659	50	"SP"
"Male_Juvenile"	0.1215016	50	"SP"
"Female_Adult"	0.6942578	51	"SP"
"Female_Juvenile"	0.1109328	51	"SP"
"Male_Adult"	0.7358051	51	"SP"
"Male_Juvenile"	0.1536091	51	"SP"
"Female_Adult"	0.6301442	52	"SP"
"Female_Juvenile"	0.0628572	52	"SP"
"Male_Adult"	0.7417889	52	"SP"
"Male_Juvenile"	0.1464102	52	"SP"
"Female_Adult"	0.6817663	53	"SP"
"Female_Juvenile"	0.0802725	53	"SP"
"Male_Adult"	0.679847	53	"SP"
"Male_Juvenile"	0.1464967	53	"SP"
"Female_Adult"	0.6771884	54	"SP"
"Female_Juvenile"	0.0958189	54	"SP"
"Male_Adult"	0.682617	54	"SP"
"Male_Juvenile"	0.1342501	54	"SP"
"Female_Adult"	0.6702937	55	"SP"
"Female_Juvenile"	0.1141653	55	"SP"
"Male_Adult"	0.6925333	55	"SP"
"Male_Juvenile"	0.184523	55	"SP"
"Female_Adult"	0.7125371	56	"SP"
"Female_Juvenile"	0.0646447	56	"SP"
"Male_Adult"	0.6433224	56	"SP"
"Male_Juvenile"	0.1353839	56	"SP"
"Female_Adult"	0.6666908	57	"SP"
"Female_Juvenile"	0.0983673	57	"SP"
"Male_Adult"	0.7197535	57	"SP"
"Male_Juvenile"	0.1680313	57	"SP"
"Female_Adult"	0.6501212	58	"SP"
"Female_Juvenile"	0.0536197	58	"SP"
"Male_Adult"	0.6788616	58	"SP"
"Male_Juvenile"	0.1396115	58	"SP"
"Female_Adult"	0.6956762	59	"SP"
"Female_Juvenile"	0.0929122	59	"SP"
"Male_Adult"	0.7131888	59	"SP"
"Male_Juvenile"	0.1745962	59	"SP"
"Female_Adult"	0.6951258	60	"SP"
"Female_Juvenile"	0.0778631	60	"SP"
"Male_Adult"	0.662865	60	"SP"
"Male_Juvenile"	0.1715219	60	"SP"
"Female_Adult"	0.5857057	61	"SP"
"Female_Juvenile"	0.087335	61	"SP"
"Male_Adult"	0.6982588	61	"SP"
"Male_Juvenile"	0.1540987	61	"SP"
"Female_Adult"	0.6391746	62	"SP"
"Female_Juvenile"	0.0863315	62	"SP"
"Male_Adult"	0.7014191	62	"SP"
"Male_Juvenile"	0.1583472	62	"SP"
"Female_Adult"	0.6823152	63	"SP"
"Female_Juvenile"	0.0704184	63	"SP"
"Male_Adult"	0.7124739	63	"SP"
"Male_Juvenile"	0.2014463	63	"SP"
"Female_Adult"	0.7026689	64	"SP"
"Female_Juvenile"	0.0698651	64	"SP"
"Male_Adult"	0.7371993	64	"SP"
"Male_Juvenile"	0.148019	64	"SP"
"Female_Adult"	0.6934699	65	"SP"
"Female_Juvenile"	0.0887023	65	"SP"
"Male_Adult"	0.7304435	65	"SP"
"Male_Juvenile"	0.1453317	65	"SP"
"Female_Adult"	0.676201	66	"SP"
"Female_Juvenile"	0.0840642	66	"SP"
"Male_Adult"	0.7089321	66	"SP"
"Male_Juvenile"	0.1319826	66	"SP"
"Female_Adult"	0.6777422	67	"SP"
"Female_Juvenile"	0.0692623	67	"SP"
"Male_Adult"	0.6789849	67	"SP"
"Male_Juvenile"	0.1235141	67	"SP"
"Female_Adult"	0.7024296	68	"SP"
"Female_Juvenile"	0.0744395	68	"SP"
"Male_Adult"	0.6912255	68	"SP"
"Male_Juvenile"	0.1767098	68	"SP"
"Female_Adult"	0.6892782	69	"SP"
"Female_Juvenile"	0.0737841	69	"SP"
"Male_Adult"	0.6862527	69	"SP"
"Male_Juvenile"	0.1412028	69	"SP"
"Female_Adult"	0.7068717	70	"SP"
"Female_Juvenile"	0.1120937	70	"SP"
"Male_Adult"	0.7278987	70	"SP"
"Male_Juvenile"	0.139439	70	"SP"
"Female_Adult"	0.697794	71	"SP"
"Female_Juvenile"	0.0889889	71	"SP"
"Male_Adult"	0.6496815	71	"SP"
"Male_Juvenile"	0.1582687	71	"SP"
"Female_Adult"	0.6415217	72	"SP"
"Female_Juvenile"	0.0875902	72	"SP"
"Male_Adult"	0.7004899	72	"SP"
"Male_Juvenile"	0.1729787	72	"SP"
"Female_Adult"	0.7104225	73	"SP"
"Female_Juvenile"	0.1140595	73	"SP"
"Male_Adult"	0.7083532	73	"SP"
"Male_Juvenile"	0.1430952	73	"SP"
"Female_Adult"	0.6448719	74	"SP"
"Female_Juvenile"	0.059239	74	"SP"
"Male_Adult"	0.6965901	74	"SP"
"Male_Juvenile"	0.1101953	74	"SP"
"Female_Adult"	0.6896262	75	"SP"
"Female_Juvenile"	0.0831003	75	"SP"
"Male_Adult"	0.7182302	75	"SP"
"Male_Juvenile"	0.1301518	75	"SP"
"Female_Adult"	0.6291991	76	"SP"
"Female_Juvenile"	0.0944903	76	"SP"
"Male_Adult"	0.693246	76	"SP"
"Male_Juvenile"	0.1750214	76	"SP"
"Female_Adult"	0.663965	77	"SP"
"Female_Juvenile"	0.1087302	77	"SP"
"Male_Adult"	0.7149535	77	"SP"
"Male_Juvenile"	0.1496285	77	"SP"
"Female_Adult"	0.6863019	78	"SP"
"Female_Juvenile"	0.075198	78	"SP"
"Male_Adult"	0.6982641	78	"SP"
"Male_Juvenile"	0.1778572	78	"SP"
"Female_Adult"	0.6617731	79	"SP"
"Female_Juvenile"	0.0817862	79	"SP"
"Male_Adult"	0.6879754	79	"SP"
"Male_Juvenile"	0.123001	79	"SP"
"Female_Adult"	0.6765771	80	"SP"
"Female_Juvenile"	0.1159904	80	"SP"
"Male_Adult"	0.6643775	80	"SP"
