"Sex_Age" "estimate" "iter" "population"
"Female_Adult" 0.7126737 1 "SP"
"Male_Adult" 0.701962 1 "SP"
"Female_Juvenile" 0.1144212 1 "SP"
"Male_Juvenile" 0.2034334 1 "SP"
"Female_Adult" 0.6865111 2 "SP"
"Male_Adult" 0.6715672 2 "SP"
"Female_Juvenile" 0.1323685 2 "SP"
"Male_Juvenile" 0.2492704 2 "SP"
"Female_Adult" 0.713624 3 "SP"
"Male_Adult" 0.6899889 3 "SP"
"Female_Juvenile" 0.1604093 3 "SP"
"Male_Juvenile" 0.2550958 3 "SP"
"Female_Adult" 0.6795083 4 "SP"
"Male_Adult" 0.6788927 4 "SP"
"Female_Juvenile" 0.1647912 4 "SP"
"Male_Juvenile" 0.182625 4 "SP"
"Female_Adult" 0.7463889 5 "SP"
"Male_Adult" 0.6897047 5 "SP"
"Female_Juvenile" 0.1206171 5 "SP"
"Male_Juvenile" 0.2091741 5 "SP"
"Female_Adult" 0.6375891 6 "SP"
"Male_Adult" 0.7290182 6 "SP"
"Female_Juvenile" 0.1508983 6 "SP"
"Male_Juvenile" 0.2246136 6 "SP"
"Female_Adult" 0.6777255 7 "SP"
"Male_Adult" 0.7481152 7 "SP"
"Female_Juvenile" 0.1314531 7 "SP"
"Male_Juvenile" 0.2324399 7 "SP"
"Female_Adult" 0.6111419 8 "SP"
"Male_Adult" 0.6726195 8 "SP"
"Female_Juvenile" 0.1400229 8 "SP"
"Male_Juvenile" 0.21885 8 "SP"
"Female_Adult" 0.6142478 9 "SP"
"Male_Adult" 0.7202767 9 "SP"
"Female_Juvenile" 0.1655129 9 "SP"
"Male_Juvenile" 0.2113909 9 "SP"
"Female_Adult" 0.6441302 10 "SP"
"Male_Adult" 0.6600831 10 "SP"
"Female_Juvenile" 0.126131 10 "SP"
"Male_Juvenile" 0.2099358 10 "SP"
"Female_Adult" 0.7309917 11 "SP"
"Male_Adult" 0.714084 11 "SP"
"Female_Juvenile" 0.1395099 11 "SP"
"Male_Juvenile" 0.2072273 11 "SP"
"Female_Adult" 0.6596014 12 "SP"
"Male_Adult" 0.7009373 12 "SP"
"Female_Juvenile" 0.1241552 12 "SP"
"Male_Juvenile" 0.2184006 12 "SP"
"Female_Adult" 0.6975479 13 "SP"
"Male_Adult" 0.6813663 13 "SP"
"Female_Juvenile" 0.1319714 13 "SP"
"Male_Juvenile" 0.2794901 13 "SP"
"Female_Adult" 0.6743067 14 "SP"
"Male_Adult" 0.716585 14 "SP"
"Female_Juvenile" 0.1578193 14 "SP"
"Male_Juvenile" 0.1974038 14 "SP"
"Female_Adult" 0.6409463 15 "SP"
"Male_Adult" 0.6873337 15 "SP"
"Female_Juvenile" 0.1818537 15 "SP"
"Male_Juvenile" 0.255907 15 "SP"
"Female_Adult" 0.6459468 16 "SP"
"Male_Adult" 0.6984201 16 "SP"
"Female_Juvenile" 0.1684296 16 "SP"
"Male_Juvenile" 0.2414497 16 "SP"
"Female_Adult" 0.7352504 17 "SP"
"Male_Adult" 0.6627446 17 "SP"
"Female_Juvenile" 0.1302398 17 "SP"
"Male_Juvenile" 0.1904831 17 "SP"
"Female_Adult" 0.631289 18 "SP"
"Male_Adult" 0.7141864 18 "SP"
"Female_Juvenile" 0.1796162 18 "SP"
"Male_Juvenile" 0.2599553 18 "SP"
"Female_Adult" 0.6861144 19 "SP"
"Male_Adult" 0.6761945 19 "SP"
"Female_Juvenile" 0.1447481 19 "SP"
"Male_Juvenile" 0.2697002 19 "SP"
"Female_Adult" 0.7043874 20 "SP"
"Male_Adult" 0.7159065 20 "SP"
"Female_Juvenile" 0.1636586 20 "SP"
"Male_Juvenile" 0.2190699 20 "SP"
"Female_Adult" 0.6816598 21 "SP"
"Male_Adult" 0.7240985 21 "SP"
"Female_Juvenile" 0.1555981 21 "SP"
"Male_Juvenile" 0.2269344 21 "SP"
"Female_Adult" 0.7012845 22 "SP"
"Male_Adult" 0.6836051 22 "SP"
"Female_Juvenile" 0.1525339 22 "SP"
"Male_Juvenile" 0.2429208 22 "SP"
"Female_Adult" 0.6750729 23 "SP"
"Male_Adult" 0.7110947 23 "SP"
"Female_Juvenile" 0.1583031 23 "SP"
"Male_Juvenile" 0.2360573 23 "SP"
"Female_Adult" 0.7053633 24 "SP"
"Male_Adult" 0.7559636 24 "SP"
"Female_Juvenile" 0.1522582 24 "SP"
"Male_Juvenile" 0.1973178 24 "SP"
"Female_Adult" 0.651607 25 "SP"
"Male_Adult" 0.7172101 25 "SP"
"Female_Juvenile" 0.1353925 25 "SP"
"Male_Juvenile" 0.1988579 25 "SP"
"Female_Adult" 0.6870008 26 "SP"
"Male_Adult" 0.6608684 26 "SP"
"Female_Juvenile" 0.1097097 26 "SP"
"Male_Juvenile" 0.2653348 26 "SP"
"Female_Adult" 0.6638098 27 "SP"
"Male_Adult" 0.6998483 27 "SP"
"Female_Juvenile" 0.1842733 27 "SP"
"Male_Juvenile" 0.2173538 27 "SP"
"Female_Adult" 0.6305475 28 "SP"
"Male_Adult" 0.7332872 28 "SP"
"Female_Juvenile" 0.1601989 28 "SP"
"Male_Juvenile" 0.2151623 28 "SP"
"Female_Adult" 0.6659293 29 "SP"
"Male_Adult" 0.6860256 29 "SP"
"Female_Juvenile" 0.186738 29 "SP"
"Male_Juvenile" 0.2177096 29 "SP"
"Female_Adult" 0.7049591 30 "SP"
"Male_Adult" 0.6988799 30 "SP"
"Female_Juvenile" 0.1500097 30 "SP"
"Male_Juvenile" 0.2230663 30 "SP"
"Female_Adult" 0.7205903 31 "SP"
"Male_Adult" 0.6778964 31 "SP"
"Female_Juvenile" 0.1575507 31 "SP"
"Male_Juvenile" 0.2357401 31 "SP"
"Female_Adult" 0.572487 32 "SP"
"Male_Adult" 0.670286 32 "SP"
"Female_Juvenile" 0.1605738 32 "SP"
"Male_Juvenile" 0.2402351 32 "SP"
"Female_Adult" 0.6325131 33 "SP"
"Male_Adult" 0.7215935 33 "SP"
"Female_Juvenile" 0.16685 33 "SP"
"Male_Juvenile" 0.2379879 33 "SP"
"Female_Adult" 0.7009605 34 "SP"
"Male_Adult" 0.6602488 34 "SP"
"Female_Juvenile" 0.1527907 34 "SP"
"Male_Juvenile" 0.1613769 34 "SP"
"Female_Adult" 0.6808263 35 "SP"
"Male_Adult" 0.6846346 35 "SP"
"Female_Juvenile" 0.1951462 35 "SP"
"Male_Juvenile" 0.2284357 35 "SP"
"Female_Adult" 0.6624738 36 "SP"
"Male_Adult" 0.6698724 36 "SP"
"Female_Juvenile" 0.1895851 36 "SP"
"Male_Juvenile" 0.2367863 36 "SP"
"Female_Adult" 0.6604496 37 "SP"
"Male_Adult" 0.7017143 37 "SP"
"Female_Juvenile" 0.1633557 37 "SP"
"Male_Juvenile" 0.2561225 37 "SP"
"Female_Adult" 0.7138683 38 "SP"
"Male_Adult" 0.6628872 38 "SP"
"Female_Juvenile" 0.1878329 38 "SP"
"Male_Juvenile" 0.2169763 38 "SP"
"Female_Adult" 0.6505624 39 "SP"
"Male_Adult" 0.6887622 39 "SP"
"Female_Juvenile" 0.1981141 39 "SP"
"Male_Juvenile" 0.2320316 39 "SP"
"Female_Adult" 0.6355781 40 "SP"
"Male_Adult" 0.6901777 40 "SP"
"Female_Juvenile" 0.1543452 40 "SP"
"Male_Juvenile" 0.218446 40 "SP"
"Female_Adult" 0.678494 41 "SP"
"Male_Adult" 0.7380474 41 "SP"
"Female_Juvenile" 0.1487351 41 "SP"
"Male_Juvenile" 0.1973061 41 "SP"
"Female_Adult" 0.6223877 42 "SP"
"Male_Adult" 0.7001423 42 "SP"
"Female_Juvenile" 0.1398477 42 "SP"
"Male_Juvenile" 0.195038 42 "SP"
"Female_Adult" 0.6939639 43 "SP"
"Male_Adult" 0.6722379 43 "SP"
"Female_Juvenile" 0.1495158 43 "SP"
"Male_Juvenile" 0.2410265 43 "SP"
"Female_Adult" 0.6831834 44 "SP"
"Male_Adult" 0.7013535 44 "SP"
"Female_Juvenile" 0.1925712 44 "SP"
